id,document
479385,米 吻仔魚 小白菜 蛋黃 高湯
474407,白米 水 鹽 小白菜 糖 吻仔魚 胡椒粉 蒜末 米酒
467864,金針菇 小白菜 蒜頭 辣椒 香油 鹽巴白胡椒粉
460978,蚵白菜 胡蘿蔔 白飯 洋蔥 蒜頭 韭菜 薑 熟黑芝麻 蝦皮 熟白芝麻 砂糖 粗辣椒片 韓式粗辣椒粉 玉筋魚露 鯷魚魚露 鯷魚高湯
462213,小白菜 雞絞肉 醬油 水 鹽巴 大蒜粉 胡椒粉 香油
447706,小白菜段 薑絲 蒜碎 辣椒 酒 味霖 醬油 昆布柴魚高湯 香油 九層塔葉
449916,小白菜 嫩薑絲 油 鹽
446118,小白菜 甜不辣條 雞粉 鹽巴 糖
448828,雞腿肉 小白菜 水 鹽 米酒
453904,小白菜 炸腐竹 鹽 食用油 醬油 薑 蒜片 花椒 乾辣椒切小段
429631,小白菜 蒜末 鹽巴 雞蛋 柴魚粉
434384,小白菜 蒜頭 沙拉油 鹽巴
436784,小白菜 薑絲 塩 水 油
438263,小白菜 薑絲 鹽及鮮味炒手 沙拉油
433844,小白菜 豆皮 鹽 薑 味精 蒜 米酒 辣椒
422712,小白菜 薑
439385,豬肉片 小白菜 蛋
437922,小白菜 豬肉片 鹽巴 蒜頭 提鮮調料鮮味炒手或雞粉 醬油 辣椒 米酒 薑 胡椒粉 蒜頭 辣椒
425372,小白菜 鮮香菇 辣椒 蒜頭 蔥 米酒 鹽 白胡椒
434838,小白菜 統一肉燥麵特大號 統一肉燥麵特大號調味包 泰山玄米油
424940,白飯或隔夜飯 小白菜 白胡椒粉 胡蘿蔔 鹽巴 雞蛋
428985,小白菜 鹽 蔥末 蒜末 韓式大醬 韓式辣椒醬 砂糖 芝麻油 熟白芝麻
416776,小白菜 雞蛋 鹽 白胡椒粉
435823,日正油蔥酥 小白菜 台鹽精製鹽 雞蛋 康寶鮮味炒手 水 小磨坊白胡椒粉 泰山玄米油 福壽純芝麻油
415973,蘑菇 小白菜 鹽 蒜 味精 香油 米酒 水
425292,小白菜 蝦仁 薑 蒜 鹽
479390,小白菜 鹹鯖魚片 鹽 紅辣椒 米酒 薑 糖
438332,愛之味麻婆豆腐罐頭 豬絞肉 起司
418495,餛飩 小白菜 鹽巴
418842,小白菜 薑絲
428101,無骨雞腿排 小白菜
439244,雪花牛 小白菜 透抽
428700,小白菜 老薑 純素豆腐乳 植物油 鹽 砂糖 香菇粉
469925,米紙 蚵仔 小白菜 雞蛋
474024,鱸魚肉 米粉 小白菜 蔥 鹽巴 米酒 飲用水
411308,小白菜 粗鹽 薑 蔥 蒜頭 麵粉 韭菜 蘋果 昆布高湯 胡蘿蔔 洋蔥 熟白芝麻 蝦皮 金鉤蝦 魚露 韓式粗辣椒粉
434368,小白菜 沸水 現成蒜香醬 有蓋耐熱盒
413963,小白菜 豆包 主鍋 蒜頭 十字刀頭 油 蝦米 紅蘿蔔 醬油 米酒 糖
476181,火鍋肉片 小白菜 盬 蒽 味精 雞蛋 素蠔油 黃麵
476487,豬肉 蒜頭 紅蘿蔔切絲 小白菜或青江菜 鹽巴 烏醋
474764,鯛魚片 小白菜 牛蕃茄 蒜頭 蔥花 麵條 辣豆瓣醬 水
472273,南瓜 高麗菜 小玉米 蕃茄 豆腐 雪白菇 小白菜 鹽巴
405783,小白菜 薑絲 蒜頭
473712,蝦仁 雞蛋 番茄醬 越南米紙 蒜蓉醬 小白菜 食用油
417460,全麥麵粉全粒粉 雞蛋 小白菜 鹽 烹大師鰹魚粉 橄欖油
474064,洋蔥 薑 小卷圈 明蝦 竹夾魚片 扇貝 小白菜
406925,小白菜 美白菇 鹽巴 蒜末 柴魚粉 薑絲
408206,小白菜 肉絲 米酒 冬粉 白胡椒粉 鰹魚高湯或醬油 鹽 醬油 水 太白粉 油
468979,小白菜 雞蛋豆腐 康寶雞湯塊
