id,name,document
476284,九層塔薑絲蛤蜊湯,蛤蜊 老薑 九層塔 米酒 食鹽 雞粉
474705,台式羅勒燒雞,超市雞胸肉 九層塔 米酒 辣椒
478176,台式早午餐-九層塔厚蛋,雞蛋 九層塔 蔥餅 貝貝南瓜 富士蘋果 冷凍黑莓 冷凍覆盆莓
476026,九層塔薑絲大蒜炒蛤蜊,蛤蜊吐好沙 辣椒 青蔥段 九層塔 薑絲 蒜頭 米酒 醬油
477606,涼拌蒜香九層塔鹽水鴨,鴨肉 鴨胗 小黃瓜 小磨坊蒜香九層塔 紅辣椒 玉米筍 蒜頭 青蔥
475123,九層塔起司烘蛋,雞蛋 聖女番茄 乳酪絲 九層塔
476542,九層塔芝麻厚燒餅/Vegan純素,低筋麵粉 高筋麵粉 九層塔 植物油 糖 速發酵母 白芝麻
475734,十分鐘上菜-炸蒜香九層塔風味香菇,新鮮香菇 小磨坊蒜香九層塔 雞蛋 白胡椒粉 樹薯粉
470474,九層塔骨燉排骨湯,排骨 九層塔骨 荸薺 白胡椒粉 黑蠔菇 枸杞 九層塔
467048,九層塔醬拌麵,九層塔 蒜頭 安食小品醬鹽 細砂糖 米酒 安食小品黑豆醬油 麵條
466528,九層塔醬香豆腐,九層塔 蒜頭 安食小品醬鹽 細砂糖 米酒 安食小品黑豆醬油 板豆腐
462631,九層塔拋豬,豬絞肉細絞 義大利ORO去皮切丁罐頭 醬油 蒜末 韓國魚露或泰國魚露 長辣椒 新鮮檸檬汁半顆 朝天椒 二砂糖 九層塔 米酒頭
466042,九層塔蛋起司吐司,吐司 起司 蛋 九層塔 黑胡椒粒 奇異果可略 砂糖橘可略 熟毛豆莢
456490,九層塔蛋,九層塔葉 雞蛋 胡椒粉
462579,九層塔起司豆腐三明治,板豆腐 起司片 九層塔 醬油膏 糖
461098,九層塔香蒜麵包,湯種麵糊約80克 高粉 低粉 香蒜醬 糖 速酵 湯種 九層塔 優格
456597,九層塔菇菇,蘑菇 有機白舞菇 羅漢果糖 九層塔 黑豆桑醬油 薑 麻油
466635,水炒香辣九層塔牛肉絲,牛肉絲 紅辣椒 九層塔 糖
459428,青醬（九層塔版）,九層塔 帕馬森起司粉 松子 蒜頭 黑胡椒 鯷魚
453947,三杯九層塔蛤蜊,蛤蜊 薑 麻油 紅辣椒 醬油 蒜頭 砂糖 九層塔 米酒
452953,九層塔煎蛋餅,雞蛋 義美蛋餅皮 九層塔葉
467438,法式番茄羅勒起司大圓一超簡單,水手牌法國麵包粉 酵母 糖 番茄羅勒醬 乳酪
379428,快燜鮮甜九層塔蛤蜊,蛤蜊 九層塔 姜絲 米酒
448142,九層塔炒蛋,蛋 九層塔 醬油 可省略
450744,九層塔炒麵腸,麵腸 九層塔 薑絲蒜末 米酒
449881,九層塔蛋炒飯,白飯或隔夜飯 九層塔 雞蛋 醬油
464974,超簡單四步驟，九層塔酥脆蚵仔酥這樣做！,蚵仔 地瓜粉 九層塔 胡椒粉
453640,九層塔海鮮櫛瓜煎餅,櫛瓜 蝦花蝦 吻仔魚 胡蘿蔔絲 九層塔 蛋
464260,青醬（九層塔核桃青醬）風味食材／打勻,九層塔 核桃 黑胡椒 味精
452414,九層塔翠蘋果炒雞肉,雞胸肉 九層塔葉 華盛頓翠玉蘋果 醬油 糖 胡椒粉 洋蔥 胡蘿蔔 蓮藕粉
454884,九層塔香蒜奶油抹醬,蒜頭 蔥 九層塔 義式香料 Kolin 歌林多功能食物調理 無鹽奶油 細砂糖 起司粉
460562,茄子也可以好看又少油！｜涼拌九層塔茄子,茄子 蒜末 薑泥 辣椒末 九層塔切絲 羅漢果糖 米醋 醬油
445241,九層塔蚵仔湯,蚵仔 蔥花 薑絲 豆腐 米酒 白醋 九層塔
449539,蒜香九層塔香吳郭魚,吳郭魚 九層塔 豆瓣醬 蒜頭 醬油 蔥段 黑醋 辣椒
