id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
476284,九層塔薑絲蛤蜊湯,https://icook.tw/recipes/476284,蛤蜊、老薑、九層塔、米酒、食鹽、雞粉、熱水,蛤蜊600g | 老薑適量 | 九層塔少許 | 米酒2大匙 | 食鹽1/2茶匙 | 雞粉1/2茶匙 | 熱水1公升,鍋中水燒開，加入薑絲、米酒、鹽、雞粉熬煮5分鐘 | 下入處理乾淨的蛤蜊，煮至蛤蜊打開 | 嘗試味道，把湯裝到碗中，然後加入少許九層塔,九層塔薑絲蛤蜊湯。食材：蛤蜊600g，老薑適量，九層塔少許，米酒2大匙，食鹽1/2茶匙，雞粉1/2茶匙，熱水1公升。做法：鍋中水燒開，加入薑絲、米酒、鹽、雞粉熬煮5分鐘，下入處理乾淨的蛤蜊，煮至蛤蜊打開，嘗試味道，把湯裝到碗中，然後加入少許九層塔。,九層塔/476284_九層塔薑絲蛤蜊湯.jpg
477239,蒜香九層塔鮭魚,https://icook.tw/recipes/477239,鮭魚、檸檬、小磨坊-蒜香九層塔、鹽、米酒,鮭魚1片 | 檸檬1/4顆 | 小磨坊~蒜香九層塔1/8 茶匙 | 小磨坊~蒜香九層塔1/4茶匙 | 鹽1/2茶匙 | 米酒1茶匙,"1.準備所有材料，鮭魚去鱗片與內臟清洗之。 | 2.鮭魚加入所有醃料醃漬60分鐘(使其入味)。 | 3.醃漬完成後將鮭魚沖洗掉表面醃料(避免表面易焦黑)，用廚房紙巾吸乾表面的水份(防止煎時噴油)。 | 4.起鍋，開中小火，倒入2茶匙的油，油熱後放入鮭魚，煎至底面呈金黃色。 | 5.再翻面煎至兩面金黃上色即可關火。 | 6.起鍋盛盤，切檸檬瓣(片)擺上；再撒上""蒜香九層塔""即完成。 | 7.美味上桌!","蒜香九層塔鮭魚。食材：鮭魚1片，檸檬1/4顆，小磨坊~蒜香九層塔1/8 茶匙，小磨坊~蒜香九層塔1/4茶匙，鹽1/2茶匙，米酒1茶匙。做法：1.準備所有材料，鮭魚去鱗片與內臟清洗之。，2.鮭魚加入所有醃料醃漬60分鐘(使其入味)。，3.醃漬完成後將鮭魚沖洗掉表面醃料(避免表面易焦黑)，用廚房紙巾吸乾表面的水份(防止煎時噴油)。，4.起鍋，開中小火，倒入2茶匙的油，油熱後放入鮭魚，煎至底面呈金黃色。，5.再翻面煎至兩面金黃上色即可關火。，6.起鍋盛盤，切檸檬瓣(片)擺上；再撒上""蒜香九層塔""即完成。，7.美味上桌!。",九層塔/477239_蒜香九層塔鮭魚.jpg
477596,蒜香九層塔三色蛋捲,https://icook.tw/recipes/477596,雞蛋、皮蛋、小磨坊-蒜香九層塔、鹹蛋、米酒、鹽,雞蛋3顆 | 皮蛋1顆 | 鹹蛋1顆 | 小磨坊~蒜香九層塔1/4茶匙 | 米酒1大匙 | 鹽1／8茶匙,"1.準備所有的食材。 | 2.鹹蛋與皮蛋去殼，切丁。 | 3.打蛋，加入所有調味料打勻。 | 4.再加入鹹蛋與皮蛋拌勻。 | 5.用平底鍋或玉子燒鍋，開小火，加入1茶匙的油，倒入1 | 3的蛋液。 | 6.煎至半凝固即可捲起呈圓柱狀，再將其推至一端，再倒入1 | 3的蛋液，續煎，重複步驟6.的步驟直至蛋液煎完。
(每下一次蛋液前，若油量不足，可以再補上一層薄油)。 | 7.完成捲取的蛋捲，可靠鍋邊緣稍整型，使其漂亮定型，外表金黃上色即可關火。 | 8.起鍋切塊。 | 9.盛盤上菜。","蒜香九層塔三色蛋捲。食材：雞蛋3顆，皮蛋1顆，鹹蛋1顆，小磨坊~蒜香九層塔1/4茶匙，米酒1大匙，鹽1／8茶匙。做法：1.準備所有的食材。，2.鹹蛋與皮蛋去殼，切丁。，3.打蛋，加入所有調味料打勻。，4.再加入鹹蛋與皮蛋拌勻。，5.用平底鍋或玉子燒鍋，開小火，加入1茶匙的油，倒入1，3的蛋液。，6.煎至半凝固即可捲起呈圓柱狀，再將其推至一端，再倒入1，3的蛋液，續煎，重複步驟6.的步驟直至蛋液煎完。
(每下一次蛋液前，若油量不足，可以再補上一層薄油)。，7.完成捲取的蛋捲，可靠鍋邊緣稍整型，使其漂亮定型，外表金黃上色即可關火。，8.起鍋切塊。，9.盛盤上菜。。",九層塔/477596_蒜香九層塔三色蛋捲.jpg
474705,台式羅勒燒雞,https://icook.tw/recipes/474705,超市雞胸肉、九層塔、米酒、辣椒、食用油、鹽,超市雞胸肉1盒 | 九層塔1把 | 米酒少許 | 辣椒適量 | 食用油適量 | 鹽適量,雞胸肉切成塊狀，用米酒稍微醃製 | 將百慕達電烤盤設定至220度，待鐵板升溫，指示燈熄滅後倒入油，在熱油中加入切好的蒜末跟辣椒進行爆香，待香味出來後放旁邊備用 | 雞肉下去煎，煎到大概8分熟後放入剛剛備用的蒜頭辣椒，撒上適量的鹽巴 | 起鍋前，加入洗淨的九層塔進行拌炒，待香氣出來以後就可以請大家上桌吃飯了,台式羅勒燒雞。食材：超市雞胸肉1盒，九層塔1把，米酒少許，辣椒適量，食用油適量，鹽適量。做法：雞胸肉切成塊狀，用米酒稍微醃製，將百慕達電烤盤設定至220度，待鐵板升溫，指示燈熄滅後倒入油，在熱油中加入切好的蒜末跟辣椒進行爆香，待香味出來後放旁邊備用，雞肉下去煎，煎到大概8分熟後放入剛剛備用的蒜頭辣椒，撒上適量的鹽巴，起鍋前，加入洗淨的九層塔進行拌炒，待香氣出來以後就可以請大家上桌吃飯了。,九層塔/474705_台式羅勒燒雞.jpg
478176,台式早午餐-九層塔厚蛋,https://icook.tw/recipes/478176,雞蛋、九層塔、蔥餅、鹽、貝貝南瓜、油、富士蘋果、冷凍黑莓、冷凍覆盆莓,雞蛋4顆 | 九層塔1/2手把 | 鹽1/6小匙 | 油2小匙 | 蔥餅現成的 | 貝貝南瓜1顆 | 富士蘋果1顆 | 冷凍黑莓20顆 | 冷凍覆盆莓20顆,"●雞蛋洗過。
●貝貝南瓜(日本栗子南瓜)，刷洗乾淨。
●蘋果可以在手掌上灑鹽用雙手搓蘋果●主食我用朋友推薦的老麵蔥餅第一次買吃看看，也可以搭配喜歡的歐包或饅頭。 | ●貝貝南瓜切舟，電鍋外鍋100CC淨水，蒸至跳起。 | ●鍋子要煎蛋順便先烙餅的概念，蔥餅簡單回春可以這樣做，噴點淨水，鍋小火蓋鍋乾烙一面2分鐘水蒸煎軟，若沒要煎蛋，蔥餅可以放電鍋蒸。 | 九層塔厚蛋煎法:
●蛋打在碗裡，加(油1小匙)打散，再把洗過的九層塔葉子不要梗吃起來才細緻加進來。 | ●鍋小火加(油1小匙)倒入蛋汁，搖晃鍋子讓蛋汁均勻平鋪在鍋中，蓋上鍋蓋悶煎1分鐘讓蛋定型。 | ●1分鐘到，打開鍋蓋用炒匙將蛋皮翻面，再次蓋鍋煎1分鐘就變成成厚蛋。 | ●先熄火，用炒匙左右圓向內摺。 | ●再對半摺像摺棉被一樣，就跟蔥餅大小差不多，吃的時候可以塞進蔥餅裡吃也可以用刀叉切著優雅吃。 | ●最後，所有都備好的時再從冷凍取出冷凍莓果，用乾淨湯匙取想要的份量，今天來消滅剩下的黑莓順補補膠質清清血管。 | ●也來點微酸甜的冷凍覆盆莓。 | 集合所有的好食材，加上九層塔厚蛋簡單就有台式風味早午餐，吃飽運動去。","台式早午餐-九層塔厚蛋。食材：雞蛋4顆，九層塔1/2手把，鹽1/6小匙，油2小匙，蔥餅現成的，貝貝南瓜1顆，富士蘋果1顆，冷凍黑莓20顆，冷凍覆盆莓20顆。做法：●雞蛋洗過。
●貝貝南瓜(日本栗子南瓜)，刷洗乾淨。
●蘋果可以在手掌上灑鹽用雙手搓蘋果●主食我用朋友推薦的老麵蔥餅第一次買吃看看，也可以搭配喜歡的歐包或饅頭。，●貝貝南瓜切舟，電鍋外鍋100CC淨水，蒸至跳起。，●鍋子要煎蛋順便先烙餅的概念，蔥餅簡單回春可以這樣做，噴點淨水，鍋小火蓋鍋乾烙一面2分鐘水蒸煎軟，若沒要煎蛋，蔥餅可以放電鍋蒸。，九層塔厚蛋煎法:
●蛋打在碗裡，加(油1小匙)打散，再把洗過的九層塔葉子不要梗吃起來才細緻加進來。，●鍋小火加(油1小匙)倒入蛋汁，搖晃鍋子讓蛋汁均勻平鋪在鍋中，蓋上鍋蓋悶煎1分鐘讓蛋定型。，●1分鐘到，打開鍋蓋用炒匙將蛋皮翻面，再次蓋鍋煎1分鐘就變成成厚蛋。，●先熄火，用炒匙左右圓向內摺。，●再對半摺像摺棉被一樣，就跟蔥餅大小差不多，吃的時候可以塞進蔥餅裡吃也可以用刀叉切著優雅吃。，●最後，所有都備好的時再從冷凍取出冷凍莓果，用乾淨湯匙取想要的份量，今天來消滅剩下的黑莓順補補膠質清清血管。，●也來點微酸甜的冷凍覆盆莓。，集合所有的好食材，加上九層塔厚蛋簡單就有台式風味早午餐，吃飽運動去。。",九層塔/478176_台式早午餐-九層塔厚蛋.jpg
476026,九層塔薑絲大蒜炒蛤蜊,https://icook.tw/recipes/476026,蛤蜊、辣椒、青蔥段、九層塔、薑絲、蒜頭、米酒、醬油、水、食用油,蛤蜊300g | 辣椒1根 可不加或加半根 | 青蔥段少許 | 九層塔一把 | 薑絲一小撮 | 蒜頭3瓣（拍碎或切末 | 米酒2大匙 | 醬油1大匙 | 水1～2大匙 | 食用油少許,"泡沙準備好的蛤蜊，沖洗乾淨，瀝乾水分備用。
香氣一出來，整個鍋就是台味炸鍋的感覺啦！ | 熱鍋後下油，先放入薑絲＋蒜末＋辣椒＋蔥段，中小火炒香。 | 加入蛤蜊，轉中火快速翻炒。 | 接著倒入米酒＋醬油＋水，拌一下，然後蓋鍋悶煮2～3分鐘。
看到蛤蜊開始打開就是成功一半！ | 全部打開後，轉大火拌炒讓湯汁稍微收一點。 | 關火前撒入九層塔快速翻一下，馬上起鍋（九層塔不要炒太久會黑）","九層塔薑絲大蒜炒蛤蜊。食材：蛤蜊300g，辣椒1根 可不加或加半根，青蔥段少許，九層塔一把，薑絲一小撮，蒜頭3瓣（拍碎或切末，米酒2大匙，醬油1大匙，水1～2大匙，食用油少許。做法：泡沙準備好的蛤蜊，沖洗乾淨，瀝乾水分備用。
香氣一出來，整個鍋就是台味炸鍋的感覺啦！，熱鍋後下油，先放入薑絲＋蒜末＋辣椒＋蔥段，中小火炒香。，加入蛤蜊，轉中火快速翻炒。，接著倒入米酒＋醬油＋水，拌一下，然後蓋鍋悶煮2～3分鐘。
看到蛤蜊開始打開就是成功一半！，全部打開後，轉大火拌炒讓湯汁稍微收一點。，關火前撒入九層塔快速翻一下，馬上起鍋（九層塔不要炒太久會黑）。",九層塔/476026_九層塔薑絲大蒜炒蛤蜊.jpg
477606,涼拌蒜香九層塔鹽水鴨,https://icook.tw/recipes/477606,鴨肉、鴨胗、小黃瓜、小磨坊蒜香九層塔、紅辣椒、鹽巴、玉米筍、蒜頭、香油、青蔥,鴨肉0.5隻 | 鴨胗5個 | 小黃瓜2根 | 小磨坊蒜香九層塔適量 | 紅辣椒1根 | 鹽巴0.5小匙 | 玉米筍10根 | 蒜頭5瓣 | 香油1小匙 | 青蔥2根,小黃瓜洗淨，切去頭尾後切滾刀塊，放入鹽巴抓拌，殺青去澀水，擠乾水分後，蒜頭切成末放入。 | 煮一鍋水，待水沸騰後，將玉米筍清洗乾淨，一分為2，放入鍋中川燙3分鐘，撈出備用。 | 將處理好的玉米筍 、小黃瓜及燙熟的鴨胗放入料理碗中，鴨胗可以買市售的，或是用薑蔥蒜進行水煮，放涼後切厚片即可。 | 將切好的鴨肉放入料理碗內，鴨肉可以購買市售的，或是川燙鴨胗時一起入水川燙，記得可以放在湯汁中浸泡到水溫降低，這種方式能讓鴨肉吃來軟嫩可口。 | 青蔥洗淨切成蔥花，放入鍋中準備做調味動作。 | 加入小磨坊蒜香九層塔調香，透過調味料的運用，能夠快速將肉類的香氣提升。 | 加入香油提香。 | 將所有食材拌勻即可上菜。 | 開動嘍！,涼拌蒜香九層塔鹽水鴨。食材：鴨肉0.5隻，鴨胗5個，小黃瓜2根，小磨坊蒜香九層塔適量，紅辣椒1根，鹽巴0.5小匙，玉米筍10根，蒜頭5瓣，香油1小匙，青蔥2根。做法：小黃瓜洗淨，切去頭尾後切滾刀塊，放入鹽巴抓拌，殺青去澀水，擠乾水分後，蒜頭切成末放入。，煮一鍋水，待水沸騰後，將玉米筍清洗乾淨，一分為2，放入鍋中川燙3分鐘，撈出備用。，將處理好的玉米筍 、小黃瓜及燙熟的鴨胗放入料理碗中，鴨胗可以買市售的，或是用薑蔥蒜進行水煮，放涼後切厚片即可。，將切好的鴨肉放入料理碗內，鴨肉可以購買市售的，或是川燙鴨胗時一起入水川燙，記得可以放在湯汁中浸泡到水溫降低，這種方式能讓鴨肉吃來軟嫩可口。，青蔥洗淨切成蔥花，放入鍋中準備做調味動作。，加入小磨坊蒜香九層塔調香，透過調味料的運用，能夠快速將肉類的香氣提升。，加入香油提香。，將所有食材拌勻即可上菜。，開動嘍！。,九層塔/477606_涼拌蒜香九層塔鹽水鴨.jpg
475123,九層塔起司烘蛋,https://icook.tw/recipes/475123,雞蛋、聖女番茄、乳酪絲、九層塔、胡椒鹽、食用油,雞蛋4顆 | 聖女番茄100克 | 乳酪絲50克 | 九層塔35克 | 胡椒鹽4克 | 食用油2小匙,九層塔切碎；聖女番茄切半；雞蛋打散，加入胡椒鹽拌勻。 | 小煎鍋用中小火熱鍋加油，加入九層塔番茄拌炒。 | 倒入全部蛋液，加入乳酪絲。 | 邊加熱邊攪拌，至蛋半熟。 | 加蓋維持中小火，烘3分鐘，再轉小火續烘3分鐘。 | 至表面烘乾，即可開蓋起出盛盤。,九層塔起司烘蛋。食材：雞蛋4顆，聖女番茄100克，乳酪絲50克，九層塔35克，胡椒鹽4克，食用油2小匙。做法：九層塔切碎；聖女番茄切半；雞蛋打散，加入胡椒鹽拌勻。，小煎鍋用中小火熱鍋加油，加入九層塔番茄拌炒。，倒入全部蛋液，加入乳酪絲。，邊加熱邊攪拌，至蛋半熟。，加蓋維持中小火，烘3分鐘，再轉小火續烘3分鐘。，至表面烘乾，即可開蓋起出盛盤。。,九層塔/475123_九層塔起司烘蛋.jpg
476542,九層塔芝麻厚燒餅/Vegan純素,https://icook.tw/recipes/476542,低筋麵粉、高筋麵粉、九層塔、水、植物油、糖、速發酵母、胡椒鹽、白芝麻、鹽,低筋麵粉100g | 高筋麵粉200g | 水175g | 植物油10g | 速發酵母3g | 糖25g | 鹽3g | 九層塔110g | 植物油30g | 糖4g | 胡椒鹽3g | 糖15g | 水15g | 白芝麻適量,在攪拌盆中先加入水、油、糖、酵母、麵粉，低速混拌成團後再倒入鹽攪拌混合 | 麵團攪打至可拉出厚膜即可停止整形收圓，靜置於密封盒中發酵約30-35 分鐘 | 將九層塔葉片洗淨，瀝乾水份切成小片狀，加入油、糖、胡椒鹽拌勻 | 準備灑料需塗抹的糖水，糖+水攪拌融化備用 | 在取出發酵好的麵團上面塗抹少數植物油微整形（較不黏手），撖開成約45X30大小的長方片狀 | 將調味好的1 | 2餡料平舖至麵團約2 | 3處 | 把麵皮折至1 | 3處將餡料蓋住 | 將剩餘餡料平舖上方 | 折回另一邊麵皮將餡料蓋住成長條狀 | 將糖水塗抹至麵團表面，撒上適量白芝麻 | 將長條麵團切分成8份平舖到烤盤上，放置烤箱內發酵約30-35分鐘 | 烤箱預熱至200度烤7分鐘，取出烤盤轉向再烤5-7分鐘，表面微焦上色即可取出,九層塔芝麻厚燒餅/Vegan純素。食材：低筋麵粉100g，高筋麵粉200g，水175g，植物油10g，速發酵母3g，糖25g，鹽3g，九層塔110g，植物油30g，糖4g，胡椒鹽3g，糖15g，水15g，白芝麻適量。做法：在攪拌盆中先加入水、油、糖、酵母、麵粉，低速混拌成團後再倒入鹽攪拌混合，麵團攪打至可拉出厚膜即可停止整形收圓，靜置於密封盒中發酵約30-35 分鐘，將九層塔葉片洗淨，瀝乾水份切成小片狀，加入油、糖、胡椒鹽拌勻，準備灑料需塗抹的糖水，糖+水攪拌融化備用，在取出發酵好的麵團上面塗抹少數植物油微整形（較不黏手），撖開成約45X30大小的長方片狀，將調味好的1，2餡料平舖至麵團約2，3處，把麵皮折至1，3處將餡料蓋住，將剩餘餡料平舖上方，折回另一邊麵皮將餡料蓋住成長條狀，將糖水塗抹至麵團表面，撒上適量白芝麻，將長條麵團切分成8份平舖到烤盤上，放置烤箱內發酵約30-35分鐘，烤箱預熱至200度烤7分鐘，取出烤盤轉向再烤5-7分鐘，表面微焦上色即可取出。,九層塔/476542_九層塔芝麻厚燒餅_Vegan純素.jpg
475734,十分鐘上菜-炸蒜香九層塔風味香菇,https://icook.tw/recipes/475734,新鮮香菇、小磨坊蒜香九層塔、鹽巴、雞蛋、白胡椒粉、樹薯粉、炸油,新鮮香菇10朵 | 小磨坊蒜香九層塔適量 | 鹽巴1小匙 | 雞蛋1顆 | 白胡椒粉1小匙 | 樹薯粉1大匙 | 炸油1杯,將香菇一朵切成4瓣，加入一匙的鹽巴、白胡椒粉和雞蛋拌勻，再加入一大匙樹薯粉混合，作為調味及粉漿混合。 | 加熱食用油，將裹上樹薯粉的香菇放入鍋中油炸，不要一直翻動，記得等表皮的炸漿呈現酥狀的時候再翻動。 | 炸至表皮金黃之後撈出，記得瀝乾多餘油脂，能讓炸皮吃來更酥脆美味。 | 上桌前記得撒上小磨坊蒜香九層塔調味調香，透過風味調味料的運用，就算沒有九層塔一樣能夠吃出市售鹽酥雞攤炸香菇的美味。 | 開動嘍,十分鐘上菜-炸蒜香九層塔風味香菇。食材：新鮮香菇10朵，小磨坊蒜香九層塔適量，鹽巴1小匙，雞蛋1顆，白胡椒粉1小匙，樹薯粉1大匙，炸油1杯。做法：將香菇一朵切成4瓣，加入一匙的鹽巴、白胡椒粉和雞蛋拌勻，再加入一大匙樹薯粉混合，作為調味及粉漿混合。，加熱食用油，將裹上樹薯粉的香菇放入鍋中油炸，不要一直翻動，記得等表皮的炸漿呈現酥狀的時候再翻動。，炸至表皮金黃之後撈出，記得瀝乾多餘油脂，能讓炸皮吃來更酥脆美味。，上桌前記得撒上小磨坊蒜香九層塔調味調香，透過風味調味料的運用，就算沒有九層塔一樣能夠吃出市售鹽酥雞攤炸香菇的美味。，開動嘍。,九層塔/475734_十分鐘上菜-炸蒜香九層塔風味香菇.jpg
