# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 201 組相似食譜
# 門檻 0.2: 59 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
470056,九層塔雜炊,467396,九層塔煎蛋,1.0
467048,九層塔醬拌麵,466528,九層塔醬香豆腐,0.773
467131,鐵板九層塔蛋,456490,九層塔蛋,0.744
467131,鐵板九層塔蛋,452953,九層塔煎蛋餅,0.68
456490,九層塔蛋,452953,九層塔煎蛋餅,0.506
467131,鐵板九層塔蛋,452410,蘋果加九層塔煎蛋,0.497
475734,十分鐘上菜-炸蒜香九層塔風味香菇,463326,九層塔烘蛋,0.409
456490,九層塔蛋,452414,九層塔翠蘋果炒雞肉,0.384
476284,九層塔薑絲蛤蜊湯,379428,快燜鮮甜九層塔蛤蜊,0.373
470474,九層塔骨燉排骨湯,463326,九層塔烘蛋,0.37
456490,九層塔蛋,452410,蘋果加九層塔煎蛋,0.37
453947,三杯九層塔蛤蜊,379428,快燜鮮甜九層塔蛤蜊,0.369
470056,九層塔雜炊,463326,九層塔烘蛋,0.354
467396,九層塔煎蛋,463326,九層塔烘蛋,0.354
474705,台式羅勒燒雞,476026,九層塔薑絲大蒜炒蛤蜊,0.349
456490,九層塔蛋,464974,超簡單四步驟，九層塔酥脆蚵仔酥這樣做！,0.344
452953,九層塔煎蛋餅,452410,蘋果加九層塔煎蛋,0.338
476026,九層塔薑絲大蒜炒蛤蜊,449539,蒜香九層塔香吳郭魚,0.307
448142,九層塔炒蛋,449881,九層塔蛋炒飯,0.304
