# 分析摘要
# 最高相似度: 0.726
# 建議門檻: 0.58 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 27
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 160 組相似食譜
# 門檻 0.2: 68 組相似食譜
# 門檻 0.3: 27 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
478582,冬瓜排骨蛤蠣湯,458513,薑絲冬瓜排骨湯,0.726
474677,冬瓜蛤蠣排骨湯,458401,冬瓜蛤蜊湯,0.557
476451,冬瓜排骨湯,458513,薑絲冬瓜排骨湯,0.528
476451,冬瓜排骨湯,477994,荷葉冬瓜排骨湯(燜燒鍋版),0.524
466517,冬瓜肝連湯,467123,冬瓜玉米肝連肉湯,0.477
478999,醬燒冬瓜,474677,冬瓜蛤蠣排骨湯,0.45
467657,清燉肉燥冬瓜,461452,腐乳燒冬瓜,0.417
478999,醬燒冬瓜,458401,冬瓜蛤蜊湯,0.397
461272,香滷冬瓜,452463,冬瓜滷,0.397
479463,DIY古早味黑糖冬瓜蜜,462251,黑糖冬瓜糖露 (減糖),0.387
478582,冬瓜排骨蛤蠣湯,476451,冬瓜排骨湯,0.383
474677,冬瓜蛤蠣排骨湯,472020,#276 蛤蜊冬瓜雞湯,0.362
476317,冬瓜仙草,470966,冬瓜果凍拿鐵咖啡☕️,0.36
476451,冬瓜排骨湯,461876,冬瓜蓮子薏仁排骨湯,0.353
479463,DIY古早味黑糖冬瓜蜜,472801,黑糖冬瓜糖塊,0.348
458513,薑絲冬瓜排骨湯,461876,冬瓜蓮子薏仁排骨湯,0.345
463523,冬瓜薏仁肉片湯,461876,冬瓜蓮子薏仁排骨湯,0.336
476451,冬瓜排骨湯,474677,冬瓜蛤蠣排骨湯,0.334
467984,香菇清蒸滷冬瓜,466517,冬瓜肝連湯,0.329
474677,冬瓜蛤蠣排骨湯,458513,薑絲冬瓜排骨湯,0.326
474677,冬瓜蛤蠣排骨湯,461876,冬瓜蓮子薏仁排骨湯,0.325
464677,菜脯燒冬瓜,458513,薑絲冬瓜排骨湯,0.32
478999,醬燒冬瓜,467657,清燉肉燥冬瓜,0.319
467657,清燉肉燥冬瓜,464677,菜脯燒冬瓜,0.308
468453,雞肉蕈菇蒸冬瓜,464677,菜脯燒冬瓜,0.304
461452,腐乳燒冬瓜,460460,蝦、肉丸冬瓜湯麵缐,0.304
466517,冬瓜肝連湯,464635,蝦皮冬瓜湯,0.301
