id,name,document
479557,南瓜布丁,貝貝南瓜 牛奶 糖 蛋
478985,南瓜麵線 (南瓜簡單吃懶人包),貝貝南瓜 鮮菇 蒜瓣 蔥白 手工麵麵 白胡椒粉
478143,南瓜沙拉,南瓜 雞蛋 玉米筍 玉米粒 蘋果 紅蘿蔔小
478036,南瓜小米粥,小米 栗子南瓜約300g 薑末 紅棗 苟杞
478970,南瓜濃湯,中型南瓜 洋蔥 義大利香料 牛奶 胡椒粉
478300,南瓜梅花肉,南瓜半個
476135,南瓜饅頭,蒸熟的南瓜 中筋麵粉 糖 速發酵母粉 鮮奶
476919,香料烤南瓜,貝貝南瓜小 黑胡椒 義大利香料 紅椒粉
475826,味噌南瓜豬,南瓜 豬肉片 味噌 米酒 味醂
471965,南瓜片炒雞胸,南瓜 雞胸肉 雞粉 米酒 太白粉
472830,金沙南瓜,帶皮貝貝南瓜 地瓜粉 鹹蛋黃 米酒去腥用 蒜頭切末
479528,南瓜玫瑰花饅頭(奶素),中筋麵粉 速發酵母 耐高糖酵母 南瓜去皮 植物油 煉乳 砂糖
469856,烤雞肉南瓜,雞胸肉切丁 南瓜切塊 四季豆切段 黑胡椒粉 蠔油 糖 蒜末
476867,栗子南瓜豆豉肉,栗子南瓜 梅花肉 蒜頭 素蠔油 豆鼓
473917,南瓜蔥油餅塔,南瓜中小型 冷凍蔥油餅 牛奶 糖 葡萄乾
475357,南瓜馬鈴薯義大利麵,小南瓜 馬鈴薯 紅蘿蔔 黑胡椒粉 義大利螺旋麵 豬骨高湯 培根片 羅勒葉粉 大蒜 起司絲 有鹽奶油
459787,炸南瓜片,南瓜 蒜末 胡椒粉 麵粉 太白粉
469314,南瓜塔,蔥抓餅皮 南瓜 水果醋 沙拉醬
472234,栗子南瓜湯,栗子南瓜 豆腐 雞湯塊 肉絲 胡椒粉 紅蘿蔔 蒜頭末 雞蛋
467671,南瓜炒米粉（金瓜米粉）,米粉 紅蘿蔔絲 蔥 乾香菇切絲 黑木耳 蒸熟南瓜塊 五花肉切條 蝦米 醬油 黑胡椒
468326,佃煮南瓜,栗子南瓜 醬油 清酒 米酒 味醂 砂糖
473379,南瓜洋蔥蔬菜玉米濃湯,康寶玉米濃湯粉 紅蘿蔔絲 南瓜 高麗菜絲
459396,金瓜米粉,米粉 豬肉絲 蝦米 糖 醬油 乾香菇 紅蘿蔔蘿蔔 高麗菜 南瓜 洋蔥 胡椒 米酒 南瓜泥
472762,薯泥南瓜煎餅,馬鈴薯丁 洋蔥丁 栗子南瓜泥 蛋液 酥炸粉或麵粉 胡椒粉 綠花椰菜末
470451,南瓜粉蒸肉,南瓜 豬小排 醬油 冰糖 蒸肉粉
467614,南瓜麵包,水手牌特級強力粉高筋 水手牌超級蛋糕粉低筋 棉線 南瓜 奶粉 速發酵母 糖 奶油
473604,南瓜鮮菇雞肉炊飯,南瓜 去骨雞腿肉 白米 白胡椒粉 烹大師昆布風味 洋蔥 醬油 鴻喜菇 鮮香菇 蔥
458001,南瓜炒蛋,南瓜 雞蛋 雞粉
