# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 861
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 138 組相似食譜
# 門檻 0.2: 51 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
468539,氣炸南瓜,470493,氣炸南瓜片,1.0
479210,清爽版南瓜濃湯,468901,南瓜湯,0.565
479210,清爽版南瓜濃湯,474930,清炒南瓜,0.538
474930,清炒南瓜,468539,氣炸南瓜,0.531
474930,清炒南瓜,470493,氣炸南瓜片,0.531
471965,南瓜片炒雞胸,458001,南瓜炒蛋,0.432
468704,南瓜米粉,459396,金瓜米粉,0.426
469857,煮南瓜,468326,佃煮南瓜,0.386
478970,南瓜濃湯,479210,清爽版南瓜濃湯,0.371
475826,味噌南瓜豬,468326,佃煮南瓜,0.35
477732,蒜香金沙栗子南瓜、烤南瓜子,474930,清炒南瓜,0.338
468539,氣炸南瓜,458001,南瓜炒蛋,0.334
470493,氣炸南瓜片,458001,南瓜炒蛋,0.334
479557,南瓜布丁,479210,清爽版南瓜濃湯,0.333
478143,南瓜沙拉,458001,南瓜炒蛋,0.312
472343,南瓜炒米粉/10分鐘,459396,金瓜米粉,0.309
468901,南瓜湯,468539,氣炸南瓜,0.304
468901,南瓜湯,470493,氣炸南瓜片,0.304
477973,~南瓜濃湯~,468901,南瓜湯,0.303
