id,name,document
479148,培根四季豆,四季豆 培根 七味粉 胡椒粉
478763,四季豆炒蘑菇,四季豆 蘑菇 蒜末
479531,四季豆炒牛肉,牛肉 四季豆 誠泰蔭油 米酒
451942,蝦醬敏豆,冷凍敏豆 蒜末 潘泰諾華星蝦醬 蝦米 魚露 蝦皮 米酒
474777,辣香四季豆,四季豆 大紅辣椒 醬油膏 老抽 蒜末
475355,乾煸四季豆,四季豆切段 豬絞肉 蔥切末 蒜頭切末 醬油 蝦米 辣椒切段 白胡椒粉 糖 清水
474898,四季豆炒肉末,豬絞肉 四季豆 醬油膏 醬油 米酒 辣椒末
474543,四季豆翠綠煮法,四季豆 食鹽 小蘇打粉 清水
473900,油炒四季豆,四季豆 蒜頭切碎 味精 胡椒粉
478313,干煸魚香四季豆,四季豆 薑末 豆瓣醬 蒜末 醬油 蔥花分蔥白 蔥綠 糖 豬絞肉 米酒
469554,四季豆炒蛋,四季豆 蛋 蒜頭 胡椒粉
476351,清爽涼拌四季豆(純素),四季豆 食鹽 黑胡椒粉 砂糖 白胡椒粉 味精
476293,椒鹽豆包炒四季豆,生豆包 四季豆 蔥切末 蒜頭切末 白胡椒粉 辣椒 花椒粉 糖
472055,四季豆蒼蠅頭,四季豆 豬絞肉 豆豉 辣椒 醬油 白胡椒
469852,四季豆水晶蒼蠅頭,皮蛋 四季豆 豬絞肉 辣椒 米酒 蒜末 豆豉醬 薄鹽醬油
475071,lanni 涼拌蒜末四季豆,四季豆 蒜末 黑胡椒粉
461976,四季豆醬炒玉米筍,四季豆 玉米筍 雞粉 芝麻 烤肉醬
474361,蝦皮蒜香四季豆,四季豆 蝦皮 蒜末 辣椒 胡椒粉
469125,椒鹽四季豆炒蛋,四季豆 蒜頭 椒鹽粉 蛋 辣豆瓣醬 蔥 蠔油 辣椒 糖
469346,涼拌四季豆 / 家常菜,四季豆 蒜瓣 蔥 辣椒 白芝麻 淡醬油薄鹽醬油
476415,氣炸四季豆雞胸肉豆包卷,李錦記 頭道零添加原釀醬油 豆包 四季豆 雞胸肉 黑胡椒 雞蛋
464875,金沙四季豆,四季豆 鹹蛋 白砂糖 米酒
468428,四季豆番茄炒蛋,小粒牛番茄 雞蛋 四季豆 番茄醬 醬油 砂糖
457625,番茄四季豆,牛番茄 番茄 台灣敏豆四季豆 李錦記舊庄特級蠔油 冷開水
479126,香煎雞腿排同步完成炒蘑菇四季豆,去骨雞腿排 蘑菇 胡椒粉 四季豆 雞蛋 七味粉 麵粉
466689,四季豆鮭魚炒飯,甜玉米 洋蔥 鮭魚菲力 飯 四季豆 蛋
459457,四季豆炒五花肉絲,四季豆 五花肉 醬油 紅蘿蔔絲 米酒 蒜末 雞粉
472594,蒜香四季豆（不用油炸）,四季豆 蒜碎 山葵胡椒粉
470238,金沙乾煸四季豆,四季豆 鹹蛋 蒜末 白芝麻
467448,四季豆炒雞丁,雞胸肉塊 四季豆 盬 杏鮑菇 胡椒粉 蒜頭 薄盬酱油
476788,榛果伍仁辣拌四季豆,四季豆 奧勒岡榛果油經典 奧勒岡榛果油頂級 榛果伍仁辣椒醬
471654,四季豆花枝豆皮卷,宏裕行花枝漿 四季豆丁 麵粉 豆皮
460932,四季豆捲餅,蛋餅皮 四季豆 素香鬆 胡麻醬
456620,四季豆炒香腸,四季豆 香腸
475057,香甜鮭魚佐四季豆｜烤箱料理｜5步驟,四季豆 黑胡椒粒 蒜頭切片
431254,敏豆炒蝦仁,敏豆 奶油 蝦仁 蒜末 黑胡椒
460290,四季豆肉末,豬絞肉 四季豆 醬油 砂糖 蒜頭 辣椒
466869,乾扁四季豆（氣炸鍋）,四季豆 絞肉 蒜頭 蝦米 醬油 胡椒粉
469124,四季豆炒杏鮑菇,四季豆 杏鮑菇 醬油 蒜頭 蠔油 黑胡椒
466559,四季豆炒素雞,大素雞 四季豆 蒜末 酱油 盬
462489,蒜炒四季豆,四季豆 蒜頭 榛果油 米酒
457815,烤四季豆,四季豆 蒜頭
471656,酸辣四季豆肉排絲醬,肉排絲 紅辣椒丁 糯米醋 糯米椒丁 薑未 米酒 蒜未 豆乾丁 味精
461659,四季豆炒雞胸肉,四季豆 雞胸肉 辣椒 蒜頭 BB椒香辣油
471861,阿廣四季豆（避風塘蟹口味）,四季豆 肉片 避風塘蟹香蒜酥 蒜頭
461567,菜脯四季豆,菜脯碎 四季豆 絞肉 蒜末 辣椒 砂糖 胡椒粉 雞晶粉
467718,涼拌四季豆＊白芥末風味,四季豆 白芥末醃漬調味料 蒜末可略 滾水 冰開水
