id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479148,培根四季豆,https://icook.tw/recipes/479148,四季豆、培根、七味粉、鹽巴、胡椒粉,四季豆20條 | 培根10片 | 七味粉適量 | 鹽巴適量 | 胡椒粉適量,四季豆挑好對切成兩段 | 滾水將四季豆川燙30秒撈起，灑少許鹽巴及胡椒粉 | 每四段四季豆用培根捲起來 | 捲好的培根四季豆上面灑上七味粉，放入氣炸鍋或烤箱，190度烤15分鐘 | 簡單完成一道菜,培根四季豆。食材：四季豆20條，培根10片，七味粉適量，鹽巴適量，胡椒粉適量。做法：四季豆挑好對切成兩段，滾水將四季豆川燙30秒撈起，灑少許鹽巴及胡椒粉，每四段四季豆用培根捲起來，捲好的培根四季豆上面灑上七味粉，放入氣炸鍋或烤箱，190度烤15分鐘，簡單完成一道菜。,四季豆(敏豆)/479148_培根四季豆.jpg
478763,四季豆炒蘑菇,https://icook.tw/recipes/478763,四季豆、蘑菇、蒜末、胡椒鹽,四季豆200g | 蘑菇100g | 蒜末1小匙 | 胡椒鹽少許,四季豆去掉蒂頭洗淨 | 蘑菇洗淨切對半 | 鍋中放油，油熱放入蒜末下去炒，然後放入蘑菇下去炒 | 最後倒入四季豆下去與蘑菇一起炒，最後撒些胡椒鹽一起炒,四季豆炒蘑菇。食材：四季豆200g，蘑菇100g，蒜末1小匙，胡椒鹽少許。做法：四季豆去掉蒂頭洗淨，蘑菇洗淨切對半，鍋中放油，油熱放入蒜末下去炒，然後放入蘑菇下去炒，最後倒入四季豆下去與蘑菇一起炒，最後撒些胡椒鹽一起炒。,四季豆(敏豆)/478763_四季豆炒蘑菇.jpg
479531,四季豆炒牛肉,https://icook.tw/recipes/479531,牛肉、四季豆、誠泰蔭油、米酒,牛肉4人份 | 四季豆4人份 | 誠泰蔭油適量 | 米酒適量,"四季豆先滾水汆燙煮熟
注意:不能煮太軟，要保留脆脆的口感! | 牛肉用米酒抓醃去腥 | 將牛肉放入炒鍋拌炒，稍微變色後再加入誠泰蔭油 | 放入四季豆與牛肉一起拌炒均勻後就完成囉
(我沒另外加鹽巴，所以起鍋前可以先試味道，不夠鹹的話就再加入蔭油)","四季豆炒牛肉。食材：牛肉4人份，四季豆4人份，誠泰蔭油適量，米酒適量。做法：四季豆先滾水汆燙煮熟
注意:不能煮太軟，要保留脆脆的口感!，牛肉用米酒抓醃去腥，將牛肉放入炒鍋拌炒，稍微變色後再加入誠泰蔭油，放入四季豆與牛肉一起拌炒均勻後就完成囉
(我沒另外加鹽巴，所以起鍋前可以先試味道，不夠鹹的話就再加入蔭油)。",四季豆(敏豆)/479531_四季豆炒牛肉.jpg
451942,蝦醬敏豆,https://icook.tw/recipes/451942,冷凍敏豆、蒜末、潘泰諾華星蝦醬、蝦米、魚露、蝦皮、米酒、水,冷凍敏豆300克 | 蒜末1.5大匙 | 蝦米1大匙 | 蝦皮1大匙 | 潘泰諾華星蝦醬1.5大匙 | 魚露1.5茶匙 | 米酒10毫升 | 水30毫升,蝦米、蝦皮稍微清洗一下，將蒜頭切末備用。 | 將調味料組的所有材料都調合在一起攪拌均勻。 | 起油鍋，用中火將蒜末、蝦米、蝦皮拌炒至有香味，然後直接將冷凍豆子直接加入拌炒。 | 炒至豆子七分熟後，將調味料倒入鍋中一起拌炒，炒到水份全部收乾即可起鍋食用。,蝦醬敏豆。食材：冷凍敏豆300克，蒜末1.5大匙，蝦米1大匙，蝦皮1大匙，潘泰諾華星蝦醬1.5大匙，魚露1.5茶匙，米酒10毫升，水30毫升。做法：蝦米、蝦皮稍微清洗一下，將蒜頭切末備用。，將調味料組的所有材料都調合在一起攪拌均勻。，起油鍋，用中火將蒜末、蝦米、蝦皮拌炒至有香味，然後直接將冷凍豆子直接加入拌炒。，炒至豆子七分熟後，將調味料倒入鍋中一起拌炒，炒到水份全部收乾即可起鍋食用。。,四季豆(敏豆)/451942_蝦醬敏豆.jpg
474777,辣香四季豆,https://icook.tw/recipes/474777,四季豆、大紅辣椒、醬油膏、老抽、蒜末,四季豆1包 | 大紅辣椒1根 | 醬油膏1匙 | 老抽1茶匙 | 蒜末1顆,"1:把豆子挑乾淨，洗乾淨
2:豆子斜切 | 熱油鍋放入蒜末、豆子快炒，
放油膏、老抽翻炒至八分熟放辣椒快翻幾下即可","辣香四季豆。食材：四季豆1包，大紅辣椒1根，醬油膏1匙，老抽1茶匙，蒜末1顆。做法：1:把豆子挑乾淨，洗乾淨
2:豆子斜切，熱油鍋放入蒜末、豆子快炒，
放油膏、老抽翻炒至八分熟放辣椒快翻幾下即可。",四季豆(敏豆)/474777_辣香四季豆.jpg
475355,乾煸四季豆,https://icook.tw/recipes/475355,四季豆切段、豬絞肉、蔥切末、蒜頭切末、醬油、蝦米、鹽巴、辣椒切段、白胡椒粉、香油、糖、清水,四季豆切段400公克 | 豬絞肉200公克 | 蔥切末1根 | 蒜頭切末5瓣 | 蝦米1大湯匙 | 辣椒切段1根 | 香油1大湯匙 | 醬油1大湯匙 | 鹽巴1/4大湯匙 | 白胡椒粉1/4大湯匙 | 糖1/4大湯匙 | 清水15cc,冷鍋加入2大湯匙的油，開中火等到油熱加入四季豆及鹽巴煸至表皮皺皺的(約五分鐘)盛起備用 | 加入豬絞肉炒至肉汁完全蒸發，只剩下豬油的程度 | 加入蒜頭、蝦米、四季豆及剩下的調味料拌炒1分鐘 | 加入香油、辣椒及蔥花拌炒一下即可收工,乾煸四季豆。食材：四季豆切段400公克，豬絞肉200公克，蔥切末1根，蒜頭切末5瓣，蝦米1大湯匙，辣椒切段1根，香油1大湯匙，醬油1大湯匙，鹽巴1/4大湯匙，白胡椒粉1/4大湯匙，糖1/4大湯匙，清水15cc。做法：冷鍋加入2大湯匙的油，開中火等到油熱加入四季豆及鹽巴煸至表皮皺皺的(約五分鐘)盛起備用，加入豬絞肉炒至肉汁完全蒸發，只剩下豬油的程度，加入蒜頭、蝦米、四季豆及剩下的調味料拌炒1分鐘，加入香油、辣椒及蔥花拌炒一下即可收工。,四季豆(敏豆)/475355_乾煸四季豆.jpg
474898,四季豆炒肉末,https://icook.tw/recipes/474898,豬絞肉、四季豆、醬油膏、醬油、胡椒鹽、米酒、辣椒末,豬絞肉200克 | 四季豆200克 | 醬油膏1小匙 | 醬油1大匙 | 胡椒鹽適量 | 米酒1小匙 | 辣椒末1小匙,準備絞肉200克、四季豆200克 | 四季豆洗淨後，將兩邊頭尾捏斷順著纖維把較粗的纖維去除，將四季豆切成小丁。 | 熱鍋熱油炒香辣椒末 | 下四季豆末，炒半熟 | 倒入肉末，慢慢拌開 | 肉末變表面炒白後加入醬油膏拌炒，加入米酒。 | 加入200cc飲用水燒開後，加入黑胡椒粉，醬油，悶煮7-8分鐘 | 盛裝上桌,四季豆炒肉末。食材：豬絞肉200克，四季豆200克，醬油膏1小匙，醬油1大匙，胡椒鹽適量，米酒1小匙，辣椒末1小匙。做法：準備絞肉200克、四季豆200克，四季豆洗淨後，將兩邊頭尾捏斷順著纖維把較粗的纖維去除，將四季豆切成小丁。，熱鍋熱油炒香辣椒末，下四季豆末，炒半熟，倒入肉末，慢慢拌開，肉末變表面炒白後加入醬油膏拌炒，加入米酒。，加入200cc飲用水燒開後，加入黑胡椒粉，醬油，悶煮7-8分鐘，盛裝上桌。,四季豆(敏豆)/474898_四季豆炒肉末.jpg
474543,四季豆翠綠煮法,https://icook.tw/recipes/474543,四季豆、食用油、食鹽、小蘇打粉、清水,四季豆600g | 食用油1大匙 | 食鹽1茶匙 | 小蘇打粉1/2茶匙 | 清水1.5ℓ,掐住四季豆頭尾，撕去粗纖維，然後切丁備用 | 起一大鍋滾水，加入(一大勺油、)一勺食鹽、小半勺食用鹼，然後下入四季豆 | 保持開蓋【小蘇打遇熱會產生大量泡沫，須注意鋪鍋】 | 中火煮5分鐘即可 | 撈出，用冷水投涼即可【大約投個3次左右】,四季豆翠綠煮法。食材：四季豆600g，食用油1大匙，食鹽1茶匙，小蘇打粉1/2茶匙，清水1.5ℓ。做法：掐住四季豆頭尾，撕去粗纖維，然後切丁備用，起一大鍋滾水，加入(一大勺油、)一勺食鹽、小半勺食用鹼，然後下入四季豆，保持開蓋【小蘇打遇熱會產生大量泡沫，須注意鋪鍋】，中火煮5分鐘即可，撈出，用冷水投涼即可【大約投個3次左右】。,四季豆(敏豆)/474543_四季豆翠綠煮法.jpg
473900,油炒四季豆,https://icook.tw/recipes/473900,四季豆、蒜頭切碎、油、鹽巴、味精、胡椒粉,四季豆20根 | 蒜頭切碎3顆 | 油9湯匙 | 鹽巴半茶匙 | 味精半茶匙 | 胡椒粉少許,加入油，並均勻分散於鍋中，油稍微冒泡 | 加入切好的四季豆、撒入胡椒粉、加入半茶匙鹽巴及味精，大火快炒至四季豆油亮亮的樣子即可,油炒四季豆。食材：四季豆20根，蒜頭切碎3顆，油9湯匙，鹽巴半茶匙，味精半茶匙，胡椒粉少許。做法：加入油，並均勻分散於鍋中，油稍微冒泡，加入切好的四季豆、撒入胡椒粉、加入半茶匙鹽巴及味精，大火快炒至四季豆油亮亮的樣子即可。,四季豆(敏豆)/473900_油炒四季豆.jpg
478313,干煸魚香四季豆,https://icook.tw/recipes/478313,四季豆、薑末、豆瓣醬、蒜末、醬油、蔥花(分蔥白、蔥綠)、糖、豬絞肉、鹽、米酒,四季豆250克 | 薑末1-2大匙 | 蒜末1-2大匙 | 蔥花(分蔥白 | 蔥綠)1-2根 | 豬絞肉50克 | 米酒適量 | 豆瓣醬1大匙 | 醬油適量 | 糖少許 | 鹽適量,將四季豆摘去老筋，洗淨切小段 | 起油鍋(倒入略多的油)，將四季豆炸至表皮起皺，撈出瀝油 | 承上鍋，倒出多餘的油，倒入豬絞肉拌炒至變白，撒入少許米酒，加入蒜末、薑末、蔥白末炒香，加入豆瓣醬炒香，用醬油、鹽、糖調味 | 倒回作法2的四季豆，快速拌勻，起鍋前撒入蔥綠末拌勻即可,干煸魚香四季豆。食材：四季豆250克，薑末1-2大匙，蒜末1-2大匙，蔥花(分蔥白，蔥綠)1-2根，豬絞肉50克，米酒適量，豆瓣醬1大匙，醬油適量，糖少許，鹽適量。做法：將四季豆摘去老筋，洗淨切小段，起油鍋(倒入略多的油)，將四季豆炸至表皮起皺，撈出瀝油，承上鍋，倒出多餘的油，倒入豬絞肉拌炒至變白，撒入少許米酒，加入蒜末、薑末、蔥白末炒香，加入豆瓣醬炒香，用醬油、鹽、糖調味，倒回作法2的四季豆，快速拌勻，起鍋前撒入蔥綠末拌勻即可。,四季豆(敏豆)/478313_干煸魚香四季豆.jpg
