# 分析摘要
# 最高相似度: 0.713
# 建議門檻: 0.57 (最高相似度的80%)
# 總食譜組合數: 1081
# 當前分析門檻: 0.3
# 符合門檻組合數: 35
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 224 組相似食譜
# 門檻 0.2: 79 組相似食譜
# 門檻 0.3: 35 組相似食譜
# 門檻 0.4: 11 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
469554,四季豆炒蛋,457815,烤四季豆,0.713
469554,四季豆炒蛋,466869,乾扁四季豆（氣炸鍋）,0.553
462489,蒜炒四季豆,457815,烤四季豆,0.485
472055,四季豆蒼蠅頭,460290,四季豆肉末,0.48
469554,四季豆炒蛋,467448,四季豆炒雞丁,0.478
460290,四季豆肉末,457815,烤四季豆,0.431
476351,清爽涼拌四季豆(純素),475071,lanni 涼拌蒜末四季豆,0.423
457815,烤四季豆,471861,阿廣四季豆（避風塘蟹口味）,0.418
464875,金沙四季豆,470238,金沙乾煸四季豆,0.417
475355,乾煸四季豆,476293,椒鹽豆包炒四季豆,0.411
457815,烤四季豆,461659,四季豆炒雞胸肉,0.403
479148,培根四季豆,479126,香煎雞腿排同步完成炒蘑菇四季豆,0.398
466869,乾扁四季豆（氣炸鍋）,457815,烤四季豆,0.395
474361,蝦皮蒜香四季豆,461567,菜脯四季豆,0.387
478763,四季豆炒蘑菇,479126,香煎雞腿排同步完成炒蘑菇四季豆,0.378
469554,四季豆炒蛋,474361,蝦皮蒜香四季豆,0.376
469125,椒鹽四季豆炒蛋,469124,四季豆炒杏鮑菇,0.368
469124,四季豆炒杏鮑菇,457815,烤四季豆,0.368
467448,四季豆炒雞丁,469124,四季豆炒杏鮑菇,0.367
466869,乾扁四季豆（氣炸鍋）,461567,菜脯四季豆,0.367
468428,四季豆番茄炒蛋,460290,四季豆肉末,0.363
473900,油炒四季豆,469554,四季豆炒蛋,0.359
474898,四季豆炒肉末,460290,四季豆肉末,0.352
479148,培根四季豆,469554,四季豆炒蛋,0.349
451942,蝦醬敏豆,474361,蝦皮蒜香四季豆,0.349
469346,涼拌四季豆 / 家常菜,470238,金沙乾煸四季豆,0.347
469554,四季豆炒蛋,462489,蒜炒四季豆,0.346
469125,椒鹽四季豆炒蛋,457815,烤四季豆,0.342
467448,四季豆炒雞丁,457815,烤四季豆,0.341
460290,四季豆肉末,461659,四季豆炒雞胸肉,0.328
460290,四季豆肉末,461567,菜脯四季豆,0.328
460290,四季豆肉末,466869,乾扁四季豆（氣炸鍋）,0.322
478763,四季豆炒蘑菇,475071,lanni 涼拌蒜末四季豆,0.317
474898,四季豆炒肉末,478313,干煸魚香四季豆,0.314
469554,四季豆炒蛋,460290,四季豆肉末,0.308
