id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
476647,栗子地瓜蘋果汁,https://icook.tw/recipes/476647,栗子地瓜小、富士蘋果、冰開水,栗子地瓜小2條 | 富士蘋果2 | 冰開水適量,栗子地瓜事先蒸熟，冷凍保存，想吃隨時可取用。略退冰至可以切斷，切大塊。蘋果不去皮，去籽切塊備用。 | 冰水略淹過食材。打均勻即可飲用。,栗子地瓜蘋果汁。食材：栗子地瓜小2條，富士蘋果2，冰開水適量。做法：栗子地瓜事先蒸熟，冷凍保存，想吃隨時可取用。略退冰至可以切斷，切大塊。蘋果不去皮，去籽切塊備用。，冰水略淹過食材。打均勻即可飲用。。,地瓜/476647_栗子地瓜蘋果汁.jpg
479552,地瓜布蕾,https://icook.tw/recipes/479552,瓜瓜園冰烤地瓜、配方奶、蛋黃,瓜瓜園冰烤地瓜1-2條 | 配方奶100ml | 蛋黃2顆,將地瓜蒸熟後壓成泥，皮的部分不用保留 | 將蛋黃和配方奶均勻混合在地瓜泥中，並過篩倒入容器內 | 用鋁箔紙把容器蓋住，放進電鍋蒸30分鐘就完成了,地瓜布蕾。食材：瓜瓜園冰烤地瓜1-2條，配方奶100ml，蛋黃2顆。做法：將地瓜蒸熟後壓成泥，皮的部分不用保留，將蛋黃和配方奶均勻混合在地瓜泥中，並過篩倒入容器內，用鋁箔紙把容器蓋住，放進電鍋蒸30分鐘就完成了。,地瓜/479552_地瓜布蕾.jpg
479553,地瓜松露巧克力,https://icook.tw/recipes/479553,地瓜、防潮可可粉、無鹽奶油、牛奶、蜂蜜、無糖可可粉,地瓜150克 | 防潮可可粉適量 | 無鹽奶油10克 | 牛奶1大匙 | 蜂蜜1/2大匙 | 無糖可可粉2小匙,地瓜去皮切塊，泡水10分鐘備用。 | 將地瓜用紙巾擦乾，600W微波3分鐘。 | 趁熱加入A，盡量壓成均勻的巧克力地瓜泥。 | 搓成8個球形。 | 裹上防潮可可粉即完成。,地瓜松露巧克力。食材：地瓜150克，防潮可可粉適量，無鹽奶油10克，牛奶1大匙，蜂蜜1/2大匙，無糖可可粉2小匙。做法：地瓜去皮切塊，泡水10分鐘備用。，將地瓜用紙巾擦乾，600W微波3分鐘。，趁熱加入A，盡量壓成均勻的巧克力地瓜泥。，搓成8個球形。，裹上防潮可可粉即完成。。,地瓜/479553_地瓜松露巧克力.jpg
479551,地瓜泥沙拉,https://icook.tw/recipes/479551,瓜瓜園蒸地瓜、小黃瓜、紅蘿蔔、洋蔥、雞蛋、牛奶、黑胡椒,瓜瓜園蒸地瓜2條 | 小黃瓜半根 | 紅蘿蔔半根 | 洋蔥半顆 | 雞蛋1顆 | 牛奶適量 | 黑胡椒適量,將地瓜蒸熟後壓成泥，雞蛋煮成全熟的水煮蛋 | 將小黃瓜、紅蘿蔔、洋蔥、水煮蛋都切成丁 | 把洋蔥泡冷水去辛，小黃瓜丁及紅蘿蔔丁用熱水川燙至軟化 | 將所有食材混合均勻並加入適量牛奶增加濕度與風味 | 撒上適量黑胡椒調味後就完成！,地瓜泥沙拉。食材：瓜瓜園蒸地瓜2條，小黃瓜半根，紅蘿蔔半根，洋蔥半顆，雞蛋1顆，牛奶適量，黑胡椒適量。做法：將地瓜蒸熟後壓成泥，雞蛋煮成全熟的水煮蛋，將小黃瓜、紅蘿蔔、洋蔥、水煮蛋都切成丁，把洋蔥泡冷水去辛，小黃瓜丁及紅蘿蔔丁用熱水川燙至軟化，將所有食材混合均勻並加入適量牛奶增加濕度與風味，撒上適量黑胡椒調味後就完成！。,地瓜/479551_地瓜泥沙拉.jpg
479550,地瓜蔬菜球,https://icook.tw/recipes/479550,小黃瓜、玉米筍、瓜瓜園冰烤地瓜,小黃瓜半條 | 玉米筍4-6根 | 瓜瓜園冰烤地瓜2-3條,把小黃瓜、玉米筍煮熟後一起切碎 | 再把冰烤地瓜去皮後，和切碎的蔬菜混合捏成球狀，就完成了！,地瓜蔬菜球。食材：小黃瓜半條，玉米筍4-6根，瓜瓜園冰烤地瓜2-3條。做法：把小黃瓜、玉米筍煮熟後一起切碎，再把冰烤地瓜去皮後，和切碎的蔬菜混合捏成球狀，就完成了！。,地瓜/479550_地瓜蔬菜球.jpg
479554,高蛋白地瓜蛋糕,https://icook.tw/recipes/479554,瓜瓜園冰烤地瓜、高蛋白粉、無糖豆漿、奇亞籽、堅果、水、泡打粉,瓜瓜園冰烤地瓜80克 | 高蛋白粉20克 | 無糖豆漿30毫升 | 奇亞籽5克 | 堅果適量 | 水30毫升 | 泡打粉5克,將瓜瓜園冰烤地瓜退冰後剝皮，搗成泥狀 | 準備馬芬紙杯，內層薄塗一層油防沾 | 將所有食材（除了堅果）伴勻，倒進紙杯中 | 電鍋外層加一碗水，放進蛋糕麵糊 | 開關跳起後，撒上堅果就完成囉,高蛋白地瓜蛋糕。食材：瓜瓜園冰烤地瓜80克，高蛋白粉20克，無糖豆漿30毫升，奇亞籽5克，堅果適量，水30毫升，泡打粉5克。做法：將瓜瓜園冰烤地瓜退冰後剝皮，搗成泥狀，準備馬芬紙杯，內層薄塗一層油防沾，將所有食材（除了堅果）伴勻，倒進紙杯中，電鍋外層加一碗水，放進蛋糕麵糊，開關跳起後，撒上堅果就完成囉。,地瓜/479554_高蛋白地瓜蛋糕.jpg
478739,燙地瓜葉,https://icook.tw/recipes/478739,地瓜葉、醬油、醬油膏、油,地瓜葉1把 | 醬油1大匙 | 醬油膏1大匙 | 油1小匙,"準備一鍋熱水加少許鹽巴將地瓜葉湯熟
將所有調味拌一拌即可完成","燙地瓜葉。食材：地瓜葉1把，醬油1大匙，醬油膏1大匙，油1小匙。做法：準備一鍋熱水加少許鹽巴將地瓜葉湯熟
將所有調味拌一拌即可完成。",地瓜/478739_燙地瓜葉.jpg
475642,蒸地瓜,https://icook.tw/recipes/475642,地瓜,地瓜8大顆,"地瓜洗乾淨
切塊
水滾蒸15-20分即可地瓜本身就有甜味
所以不需要調味","蒸地瓜。食材：地瓜8大顆。做法：地瓜洗乾淨
切塊
水滾蒸15-20分即可地瓜本身就有甜味
所以不需要調味。",地瓜/475642_蒸地瓜.jpg
478350,皮蛋地瓜葉,https://icook.tw/recipes/478350,地瓜葉、皮蛋、太白粉、蒜頭、水、香油、白胡椒粉,地瓜葉1大把 | 皮蛋2顆 | 蒜頭10克 | 香油1小匙 | 白胡椒粉適量 | 太白粉1小匙 | 水2小匙,"熱鍋下油（油比平常炒青菜多一點點）
再加點香油1小匙、蒜頭3個切片炒香，
再下切好的皮蛋2個，
等皮蛋泡出白泡泡再下梗、地瓜葉，
炒的方式由下往上拉（最好用筷子🥢或夾子比較順手）、一小匙鹽、少許胡椒粉，加點水，
最後芶欠（太白粉1:2水）倒入一些攪拌即可上桌。 | 長輩說好吃😋","皮蛋地瓜葉。食材：地瓜葉1大把，皮蛋2顆，蒜頭10克，香油1小匙，白胡椒粉適量，太白粉1小匙，水2小匙。做法：熱鍋下油（油比平常炒青菜多一點點）
再加點香油1小匙、蒜頭3個切片炒香，
再下切好的皮蛋2個，
等皮蛋泡出白泡泡再下梗、地瓜葉，
炒的方式由下往上拉（最好用筷子🥢或夾子比較順手）、一小匙鹽、少許胡椒粉，加點水，
最後芶欠（太白粉1:2水）倒入一些攪拌即可上桌。，長輩說好吃😋。",地瓜/478350_皮蛋地瓜葉.jpg
477635,地瓜泥蒸蛋,https://icook.tw/recipes/477635,瓜瓜園冰烤地瓜、雞蛋、胡蘿蔔、溫水,瓜瓜園冰烤地瓜1顆 | 雞蛋1顆 | 胡蘿蔔0.5根 | 溫水60ml,在小碗裡打入一顆雞蛋，打散後加入約 60ml 溫水拌勻，再用濾網過篩把泡沫去除，讓蛋液更細緻，蒸出來口感會更滑順喔！（水量決定了蒸蛋的口感，水多一點會比較嫩滑，水少一點則會比較紮實，可以依照毛孩的喜好調整。） | 因為瓜瓜園的地瓜是已經清洗過的，所以可以直接去皮後壓成泥狀，放入碗中當基底，再將加水後的蛋液倒入，最後放胡蘿蔔絲。 | 電鍋外鍋加一杯水，再放入電鍋蒸10-15分鐘，記得在鍋蓋跟鍋子中間放一根筷子，讓蒸氣散出來，蒸蛋表面才會平滑喔！,地瓜泥蒸蛋。食材：瓜瓜園冰烤地瓜1顆，雞蛋1顆，胡蘿蔔0.5根，溫水60ml。做法：在小碗裡打入一顆雞蛋，打散後加入約 60ml 溫水拌勻，再用濾網過篩把泡沫去除，讓蛋液更細緻，蒸出來口感會更滑順喔！（水量決定了蒸蛋的口感，水多一點會比較嫩滑，水少一點則會比較紮實，可以依照毛孩的喜好調整。），因為瓜瓜園的地瓜是已經清洗過的，所以可以直接去皮後壓成泥狀，放入碗中當基底，再將加水後的蛋液倒入，最後放胡蘿蔔絲。，電鍋外鍋加一杯水，再放入電鍋蒸10-15分鐘，記得在鍋蓋跟鍋子中間放一根筷子，讓蒸氣散出來，蒸蛋表面才會平滑喔！。,地瓜/477635_地瓜泥蒸蛋.jpg
