# 分析摘要
# 最高相似度: 0.492
# 建議門檻: 0.39 (最高相似度的80%)
# 總食譜組合數: 1035
# 當前分析門檻: 0.3
# 符合門檻組合數: 10
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 102 組相似食譜
# 門檻 0.2: 41 組相似食譜
# 門檻 0.3: 10 組相似食譜
# 門檻 0.4: 1 組相似食譜
# 門檻 0.5: 0 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
475980,拔絲地瓜,468701,地瓜球,0.492
475642,蒸地瓜,473982,地瓜圓,0.398
475642,蒸地瓜,470275,焗烤地瓜,0.398
476887,藍家小館-地瓜蒸蛋,473434,焗烤馬鈴薯/地瓜,0.377
477936,地瓜起司蛋糕,478697,甜椒地瓜起司泥沙拉,0.373
472364,地瓜薑湯,469696,黑糖地瓜圓,0.343
472364,地瓜薑湯,475972,地瓜粉圓綠豆甜湯,0.339
475642,蒸地瓜,472364,地瓜薑湯,0.322
478078,地瓜圓/紫薯芋圓,474468,肉鬆地瓜起司圓,0.305
476990,地瓜布朗尼,478410,【低負擔】地瓜布朗尼,0.302
