id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
473169,地瓜葉煎蛋,https://icook.tw/recipes/473169,地瓜葉、蛋、鹽巴、米酒、胡椒粉,地瓜葉沒限制 | 蛋3顆 | 鹽巴1匙 | 米酒1小匙 | 胡椒粉1小匙,將地瓜葉梗切除 留葉片切碎 | 加入蛋、鹽巴、米酒、胡椒粉攪拌均勻,地瓜葉煎蛋。食材：地瓜葉沒限制，蛋3顆，鹽巴1匙，米酒1小匙，胡椒粉1小匙。做法：將地瓜葉梗切除 留葉片切碎，加入蛋、鹽巴、米酒、胡椒粉攪拌均勻。,地瓜葉/473169_地瓜葉煎蛋.jpg
475926,油潑辣子涼拌地瓜葉梗,https://icook.tw/recipes/475926,地瓜葉、白芝麻、油波辣子、鹽、雞粉,地瓜葉1包 | 白芝麻1小匙 | 油波辣子1大匙 | 鹽少許 | 雞粉少許,將地瓜葉保留硬感去除葉子洗淨瀝乾備用 | 煮一鍋熱水加入鹽放入地瓜葉梗川燙後瀝乾 | 上路油潑辣子、鹽、雞粉、香油調味撒上白芝麻即完成,油潑辣子涼拌地瓜葉梗。食材：地瓜葉1包，白芝麻1小匙，油波辣子1大匙，鹽少許，雞粉少許。做法：將地瓜葉保留硬感去除葉子洗淨瀝乾備用，煮一鍋熱水加入鹽放入地瓜葉梗川燙後瀝乾，上路油潑辣子、鹽、雞粉、香油調味撒上白芝麻即完成。,地瓜葉/475926_油潑辣子涼拌地瓜葉梗.jpg
460406,地瓜葉炒肉片,https://icook.tw/recipes/460406,地瓜葉、豬里脊、雞粉、油蔥酥、鹽、米酒、香油、糖,地瓜葉300克 | 豬里脊150克 | 油蔥酥1大匙 | 雞粉1茶匙 | 鹽1茶匙 | 米酒1大匙 | 鹽1小匙 | 香油1小匙 | 糖1茶匙,豬肉片使用香油糖鹽米酒醃漬10分鐘，再加入太白粉醃5分鐘 | 熱鍋將豬肉片煎熟盛起 | 熱鍋放入地瓜葉加一點水翻炒至菜葉熟軟加入油蔥酥、雞粉、鹽翻炒，加入豬肉片混合即可,地瓜葉炒肉片。食材：地瓜葉300克，豬里脊150克，油蔥酥1大匙，雞粉1茶匙，鹽1茶匙，米酒1大匙，鹽1小匙，香油1小匙，糖1茶匙。做法：豬肉片使用香油糖鹽米酒醃漬10分鐘，再加入太白粉醃5分鐘，熱鍋將豬肉片煎熟盛起，熱鍋放入地瓜葉加一點水翻炒至菜葉熟軟加入油蔥酥、雞粉、鹽翻炒，加入豬肉片混合即可。,地瓜葉/460406_地瓜葉炒肉片.jpg
461635,素鬆拌炒地瓜葉,https://icook.tw/recipes/461635,地瓜葉、蒜末、鹽、素鬆、雞粉,地瓜葉600克 | 蒜末1小匙 | 素鬆3大匙 | 鹽1小匙 | 雞粉1小匙,將地瓜葉洗淨備用 | 熱油國加入地瓜葉飯炒汁熟，加入雞粉與鹽、再放入兩湯匙的素鬆，起鍋後與地瓜葉上在淋上一湯匙的素鬆即可,素鬆拌炒地瓜葉。食材：地瓜葉600克，蒜末1小匙，素鬆3大匙，鹽1小匙，雞粉1小匙。做法：將地瓜葉洗淨備用，熱油國加入地瓜葉飯炒汁熟，加入雞粉與鹽、再放入兩湯匙的素鬆，起鍋後與地瓜葉上在淋上一湯匙的素鬆即可。,地瓜葉/461635_素鬆拌炒地瓜葉.jpg
469343,椒香地瓜葉,https://icook.tw/recipes/469343,地瓜葉、蒜碎、辣椒、酒、味霖、醬油、花椒粉、香油、昆布柴魚高湯,地瓜葉25g | 蒜碎1顆份 | 辣椒1根 | 酒3cc | 味霖5cc | 醬油2cc | 花椒粉1/4小匙 | 香油1/4小匙 | 昆布柴魚高湯15cc,"地瓜葉剪掉硬梗部分洗淨,川燙10秒鐘撈起放涼輕輕得擰乾段切備用. | 取小鍋子,放入蒜碎,辣椒,酒,味霖,醬油及花椒粉煮滾出香氣,續倒入昆布柴魚高湯. | 放入步驟1地瓜葉邊拌邊加熱收汁加香油攪拌盛盤即可.","椒香地瓜葉。食材：地瓜葉25g，蒜碎1顆份，辣椒1根，酒3cc，味霖5cc，醬油2cc，花椒粉1/4小匙，香油1/4小匙，昆布柴魚高湯15cc。做法：地瓜葉剪掉硬梗部分洗淨,川燙10秒鐘撈起放涼輕輕得擰乾段切備用.，取小鍋子,放入蒜碎,辣椒,酒,味霖,醬油及花椒粉煮滾出香氣,續倒入昆布柴魚高湯.，放入步驟1地瓜葉邊拌邊加熱收汁加香油攪拌盛盤即可.。",地瓜葉/469343_椒香地瓜葉.jpg
469901,清炒辣味地瓜葉,https://icook.tw/recipes/469901,地瓜葉、蒜蓉辣椒醬、薑絲、鹽、水,地瓜葉250克 | 蒜蓉辣椒醬1大匙 | 薑絲20克 | 鹽1小匙 | 水1杯,"❶地瓜葉挑嫩葉 | 再準備一些薑絲
❷炒鍋少許油炒香薑絲 | 再加適量蒜蓉辣醬炒香
❸放入地瓜葉 | 再加入1杯水 | 地瓜葉軟化 | 燜煮1分鐘
❹地瓜葉軟化 | 加點鹽巴調味後 | 拌炒均勻即可","清炒辣味地瓜葉。食材：地瓜葉250克，蒜蓉辣椒醬1大匙，薑絲20克，鹽1小匙，水1杯。做法：❶地瓜葉挑嫩葉，再準備一些薑絲
❷炒鍋少許油炒香薑絲，再加適量蒜蓉辣醬炒香
❸放入地瓜葉，再加入1杯水，地瓜葉軟化，燜煮1分鐘
❹地瓜葉軟化，加點鹽巴調味後，拌炒均勻即可。",地瓜葉/469901_清炒辣味地瓜葉.jpg
461785,豆芽地瓜葉,https://icook.tw/recipes/461785,地瓜葉、豆芽、蒜泥、雞粉或鹽巴、香油,地瓜葉200克 | 豆芽150克 | 蒜泥1大匙 | 雞粉或鹽巴1小匙 | 香油1大匙,"食材 | ❶豆芽洗淨、地瓜葉挑嫩葉洗淨
❷滾水加點鹽巴，將豆芽、地瓜葉燙熟瀝乾
❸加點蒜泥、少許雞粉或鹽巴調味，淋點香油，拌勻即可","豆芽地瓜葉。食材：地瓜葉200克，豆芽150克，蒜泥1大匙，雞粉或鹽巴1小匙，香油1大匙。做法：食材，❶豆芽洗淨、地瓜葉挑嫩葉洗淨
❷滾水加點鹽巴，將豆芽、地瓜葉燙熟瀝乾
❸加點蒜泥、少許雞粉或鹽巴調味，淋點香油，拌勻即可。",地瓜葉/461785_豆芽地瓜葉.jpg
467399,紅麴煮地瓜葉,https://icook.tw/recipes/467399,地瓜葉、茗荷切絲、蒜碎、辣椒、酒、味霖、紅麴醬、昆布柴魚高湯,地瓜葉32g | 茗荷切絲8g | 蒜碎1顆份 | 辣椒1根 | 酒3cc | 味霖3cc | 紅麴醬1/2小匙 | 昆布柴魚高湯15cc,"地瓜葉川燙放涼擰乾段切備用.若葉子嫩少澀味的話不需川燙. | 取小鍋子,放入茗荷絲,蒜碎,辣椒,酒,味霖及紅麴醬煮滾出香氣,續倒入昆布柴魚高湯. | 再滾放入步驟1地瓜葉,邊拌邊加熱收汁即可.","紅麴煮地瓜葉。食材：地瓜葉32g，茗荷切絲8g，蒜碎1顆份，辣椒1根，酒3cc，味霖3cc，紅麴醬1/2小匙，昆布柴魚高湯15cc。做法：地瓜葉川燙放涼擰乾段切備用.若葉子嫩少澀味的話不需川燙.，取小鍋子,放入茗荷絲,蒜碎,辣椒,酒,味霖及紅麴醬煮滾出香氣,續倒入昆布柴魚高湯.，再滾放入步驟1地瓜葉,邊拌邊加熱收汁即可.。",地瓜葉/467399_紅麴煮地瓜葉.jpg
458050,蒜酥拌炒地瓜葉,https://icook.tw/recipes/458050,地瓜葉、蒜酥、鹽、雞粉,地瓜葉600克 | 蒜酥2大匙 | 鹽2匙 | 雞粉1匙,將地瓜葉洗淨瀝乾備用 | 熱油鍋大火，放入地瓜葉翻炒熟錢，再將基本語言吧，加入調味 | 熄火後撒上蒜酥翻炒即可,蒜酥拌炒地瓜葉。食材：地瓜葉600克，蒜酥2大匙，鹽2匙，雞粉1匙。做法：將地瓜葉洗淨瀝乾備用，熱油鍋大火，放入地瓜葉翻炒熟錢，再將基本語言吧，加入調味，熄火後撒上蒜酥翻炒即可。,地瓜葉/458050_蒜酥拌炒地瓜葉.jpg
462892,地瓜葉蛋餅（2）,https://icook.tw/recipes/462892,地瓜葉、蛋餅、雞蛋、披薩起司、米酒,地瓜葉適量 | 蛋餅1張 | 雞蛋1顆 | 披薩起司適量 | 米酒適量,1）自家窗台~發芽蕃薯的盆栽。 | 2）食材說明： | 3）熱油鍋~蒜片~蕃薯葉~炒熟。（可以淋上適量的米酒） | 4）也可煮鍋水，入滾水燙熟，灑點胡椒鹽拌好。 | 4）打蛋入油鍋。 | 5）加上蛋餅皮。 | 6）蛋餅皮定型~翻面~鋪上地瓜葉。 | 7）捲好~定型~先等待 | 8）小火~放入起司~至融化 | 9）放入蛋餅~利用鍋鏟滾動~包裹成形,地瓜葉蛋餅（2）。食材：地瓜葉適量，蛋餅1張，雞蛋1顆，披薩起司適量，米酒適量。做法：1）自家窗台~發芽蕃薯的盆栽。，2）食材說明：，3）熱油鍋~蒜片~蕃薯葉~炒熟。（可以淋上適量的米酒），4）也可煮鍋水，入滾水燙熟，灑點胡椒鹽拌好。，4）打蛋入油鍋。，5）加上蛋餅皮。，6）蛋餅皮定型~翻面~鋪上地瓜葉。，7）捲好~定型~先等待，8）小火~放入起司~至融化，9）放入蛋餅~利用鍋鏟滾動~包裹成形。,地瓜葉/462892_地瓜葉蛋餅（2）.jpg
