# 分析摘要
# 最高相似度: 0.748
# 建議門檻: 0.60 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 51
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 144 組相似食譜
# 門檻 0.2: 92 組相似食譜
# 門檻 0.3: 51 組相似食譜
# 門檻 0.4: 24 組相似食譜
# 門檻 0.5: 14 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
466704,廚房小白-水煮地瓜葉,452640,燙地瓜葉拌油蔥酥,0.748
466704,廚房小白-水煮地瓜葉,443120,水炒地瓜葉,0.748
461739,皮蛋炒地瓜葉,451856,地瓜葉炒皮蛋,0.722
461739,皮蛋炒地瓜葉,462028,炒地皮（地瓜葉炒皮蛋）,0.706
461739,皮蛋炒地瓜葉,449865,蒜香地瓜葉,0.675
457016,皮蛋絞肉炒地瓜葉,443120,水炒地瓜葉,0.646
452640,燙地瓜葉拌油蔥酥,450350,肉燥燙青菜（地瓜葉）,0.638
469343,椒香地瓜葉,467399,紅麴煮地瓜葉,0.592
469343,椒香地瓜葉,447112,鮮胡椒地瓜葉,0.579
461635,素鬆拌炒地瓜葉,442985,蒜拌地瓜葉,0.562
452640,燙地瓜葉拌油蔥酥,443120,水炒地瓜葉,0.56
467399,紅麴煮地瓜葉,447112,鮮胡椒地瓜葉,0.554
462028,炒地皮（地瓜葉炒皮蛋）,451856,地瓜葉炒皮蛋,0.509
450350,肉燥燙青菜（地瓜葉）,442985,蒜拌地瓜葉,0.503
451856,地瓜葉炒皮蛋,449865,蒜香地瓜葉,0.487
478739,燙地瓜葉,459089,私房菜❤️秒殺地瓜葉,0.484
457016,皮蛋絞肉炒地瓜葉,466704,廚房小白-水煮地瓜葉,0.484
466704,廚房小白-水煮地瓜葉,450350,肉燥燙青菜（地瓜葉）,0.478
462028,炒地皮（地瓜葉炒皮蛋）,449865,蒜香地瓜葉,0.477
469901,清炒辣味地瓜葉,455491,豆醬蕃薯葉,0.472
458050,蒜酥拌炒地瓜葉,443120,水炒地瓜葉,0.458
459089,私房菜❤️秒殺地瓜葉,449865,蒜香地瓜葉,0.447
463011,蕃薯葉,442985,蒜拌地瓜葉,0.408
469408,地瓜葉鹹幕斯,451856,地瓜葉炒皮蛋,0.406
462892,地瓜葉蛋餅（2）,439662,地瓜葉蛋捲,0.388
475926,油潑辣子涼拌地瓜葉梗,460358,柴魚醬油拌清燙地瓜葉,0.386
448818,蒜香地瓜葉 / 家常菜,450619,燙青菜 /日本地瓜葉 / 家常菜,0.384
457016,皮蛋絞肉炒地瓜葉,461739,皮蛋炒地瓜葉,0.382
469408,地瓜葉鹹幕斯,449865,蒜香地瓜葉,0.38
461635,素鬆拌炒地瓜葉,443120,水炒地瓜葉,0.365
457016,皮蛋絞肉炒地瓜葉,452640,燙地瓜葉拌油蔥酥,0.362
449865,蒜香地瓜葉,446916,地瓜葉炒菇菇,0.362
450812,地瓜葉飯糰,460358,柴魚醬油拌清燙地瓜葉,0.361
475926,油潑辣子涼拌地瓜葉梗,443120,水炒地瓜葉,0.358
452640,燙地瓜葉拌油蔥酥,448818,蒜香地瓜葉 / 家常菜,0.358
450350,肉燥燙青菜（地瓜葉）,443120,水炒地瓜葉,0.358
473169,地瓜葉煎蛋,469408,地瓜葉鹹幕斯,0.351
460406,地瓜葉炒肉片,452640,燙地瓜葉拌油蔥酥,0.345
460406,地瓜葉炒肉片,443120,水炒地瓜葉,0.345
461739,皮蛋炒地瓜葉,456444,皮蛋地瓜葉 / 家常小菜,0.341
469343,椒香地瓜葉,469408,地瓜葉鹹幕斯,0.337
458050,蒜酥拌炒地瓜葉,461571,lanni 鱸魚地瓜葉飯湯,0.332
473169,地瓜葉煎蛋,456329,地瓜葉草仔粿,0.33
473169,地瓜葉煎蛋,451856,地瓜葉炒皮蛋,0.329
461635,素鬆拌炒地瓜葉,458050,蒜酥拌炒地瓜葉,0.327
469408,地瓜葉鹹幕斯,467399,紅麴煮地瓜葉,0.322
475926,油潑辣子涼拌地瓜葉梗,458050,蒜酥拌炒地瓜葉,0.32
475926,油潑辣子涼拌地瓜葉梗,450812,地瓜葉飯糰,0.32
460406,地瓜葉炒肉片,458050,蒜酥拌炒地瓜葉,0.309
469408,地瓜葉鹹幕斯,447112,鮮胡椒地瓜葉,0.304
461739,皮蛋炒地瓜葉,459089,私房菜❤️秒殺地瓜葉,0.302
