id,name,document
476189,涼拌大白菜,山東大白菜 蔥段 乾辣椒絲 香菜 蒜末 味醂 白醋 花生米 醬油 白胡椒粉
472702,大白菜捲,絞肉 醬油 黑麻油 白胡椒 薑泥蒜泥 青蔥 大白菜
471026,滷大白菜,圓形大白菜 雞蛋 乾蝦仁 胡椒粉 乾香菇 醬油 豬肉絲 乾干貝可省 鳥蛋可省
474469,大白菜煨豆腐湯,大白菜 板豆腐 雞蛋 豆皮 薑 蔥花 安食小品醬鹽 安食小品柴魚粉 白胡椒粉
451304,包心大白菜炒火腿絲,包心大白菜 火腿 雞粉 蒜末 糖 日式醬油
463863,大白菜煎餅,大白菜 雞蛋 黑芝麻 麵粉
473080,富貴花開一大白菜燒肉,大白菜 新東陽培根片 白蘿蔔 火鍋牛肉片 蔥段 薑泥
470308,涼拌大白菜(五辛素),山東大白菜 胡蘿蔔 乾辣椒 白醋 青蔥 白糖 香菜 食鹽 蒜頭 味精
455364,絞肉炒包心大白菜,絞肉 包心白菜 雞粉 日式醬油
449548,大白菜炒米粉,米粉 大白菜 醬油 香菇 雞粉 紅蘿蔔絲 糖 胡椒粉
457864,大白菜鹹粥,白米飯約一杯米 大白菜 洋蔥 蒜頭 蝦米 乾香菇 蝦仁 白胡椒
459110,大白菜燒雞蛋豆腐,大白菜 雞蛋豆腐 蝦米 豬絞肉 蒜末 李錦記舊庄特級蠔油 醬油
449672,大白菜悶油豆腐,大白菜 油豆腐 雞粉 冬粉 日式醬油 蒜末 糖
454267,大白菜炒豬肉,大白菜 豬肉片 蒜末
464916,懶出新高度零出錯麵筋大白菜,麵筋罐頭 大白菜 鮮味炒手
470422,大白菜豆腐粉絲煲/黃芽白豆腐粉絲煲,大白菜 雞蛋豆腐 醬油 粉絲 蠔油 蒜末 櫻花蝦
449152,大白菜水餃,豬絞肉 大白菜 芹菜末 蔥末 蝦皮 糖 雞粉 麻油 醬油 白胡椒粉 雞蛋
453590,胡椒葉香大白菜,大白菜切絲 粗辣椒粉 蒜碎 酒 味霖 山西陳醋 昆布柴魚高湯 泰國胡椒葉絲
450542,辣豆瓣燜大白菜,大白菜 紅蘿蔔 鮮黑木耳 老薑 香菜末可略 辣豆瓣醬
431345,大白菜炒五花肉片,大白菜 蔥 醬油 薑片 蒜頭 柴魚粉 五花豬肉片 乾香菇 洋蔥
431868,大白菜炒虱目魚丸,大白菜 虱目魚丸 蒜末 醬油 蔥花 柴魚粉
423814,大白菜湯圓,大白菜 肉絲 香菇 湯圓 蒜頭 洋蔥
446043,三絲清炒大白菜(五辛素),山東白 包心白 乾木耳 胡蘿蔔 蒜頭 嫩薑 香菇粉 白胡椒粉 植物油 清水
478495,開陽白菜,大白菜 蝦米 香菇 杏鮑菇 太白粉 蒜
474752,素獅子頭（2）,大白菜 蕃茄 菇 素丸子
439586,[簡單料理] 簡單卻美味的蒸千層大白菜,大白菜 豬肉火鍋用五花肉片
472243,簡單肉羹,大白菜 豬肉 木薯粉
407170,炒大白菜,大白菜切大塊 蒜末 乾香菇泡軟 紅蘿蔔片 黑木耳隨意加 辣椒 乾豆皮 醬油 地瓜粉水24 雞蛋打散 味素
475293,鍋燒麵.烏龍湯麵,鍋燒麵 蛋 大白菜 火鍋肉片
410030,大白菜燉冬粉,韓式冬粉or冬粉 大白菜 老薑 豬肉薄片or五花肉片 乾辣椒 洋蔥 八角 醬油 蠔油 豆瓣醬 白胡椒粉 米酒 蔥段 韓式芝麻油
435037,【老菜脯大白菜香菇雞湯】春分節氣燉湯,高家老菜脯 雞腿 大白菜 香菇 薑片 蛤蜊 紅棗
472300,酸白菜 製作~簡單隨手做,大白菜 無碘海塩 養樂多 過濾水
471221,芫茜南瓜白菜米漿粥,梗米 香菜梗 大白菜葉 南瓜
473836,黃金泡菜/黃金白菜,大白菜 紅蘿蔔 白醋 白糖 蒜 辣椒 魚露
471620,自製酸白菜,大白菜 洗米水 高濃度白酒
409597,清爽豆皮大白菜,大白菜 紅蘿蔔 蒜頭 白胡椒
404848,涼拌大白菜絲,大白菜 蒜末 花生 辣椒絲 香菜 豆乾 壽司醋 雞粉 糖
472494,全素丸子～素獅子頭,素雞排 素豬排 大白菜 薑末 香菇 荸薺 蕃茄 蛋黃
431964,【老菜脯大白菜年糕肉絲湯】立春節氣燉湯,高家老菜脯 年糕 大白菜 肉絲 香菇 老薑乾片 紅蘿蔔
475683,獅子頭,豬絞肉 洋蔥 荸薺 蛋 麵粉 木薯粉 大白菜 蕃茄 豆皮厚 栗子
412379,涼拌大白菜～道地外省味兒,大白菜 紅黃橘甜椒 青椒 醬油 韓國冬粉 蠔油 香菜 白醋or檸檬汁 花生 烏醋 白芝麻 韓式芝麻油 味淋 蒜末 薑泥
478578,魚翅雞,米酒 枸杞 紅棗 薑片 香菇 蝦米 魚翅 香菇水 雞腿肉 雪白菇 杏鮑菇 山東大白菜
406100,大白菜炒韓式魚板,大白菜 韓式魚板 紅蘿蔔 白胡椒 蒜頭
397861,大白菜炒麵,大白菜 蒜 紅蘿蔔 黑木耳 麵條 豬肉絲 魚露 太白粉 胡椒
472264,十分鐘上菜-白菜豆皮素食年菜,山東大白菜 紅蘿蔔 香菇 豆皮 白胡椒粉
477053,微辣黃金泡菜(五辛素),山東大白菜 食鹽 胡蘿蔔 蘋果醋 豆腐乳 蒜頭 紅辣椒 砂糖 薑黃粉 味精
431828,千層白菜豬肉鍋,梅花豬肉片 大白菜 高湯水或米酒 白胡椒
