# 分析摘要
# 最高相似度: 0.775
# 建議門檻: 0.62 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 17
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 175 組相似食譜
# 門檻 0.2: 51 組相似食譜
# 門檻 0.3: 17 組相似食譜
# 門檻 0.4: 4 組相似食譜
# 門檻 0.5: 1 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
409597,清爽豆皮大白菜,406100,大白菜炒韓式魚板,0.775
451304,包心大白菜炒火腿絲,449672,大白菜悶油豆腐,0.432
470308,涼拌大白菜(五辛素),477053,微辣黃金泡菜(五辛素),0.422
405945,家常大白菜,472264,十分鐘上菜-白菜豆皮素食年菜,0.404
457864,大白菜鹹粥,409597,清爽豆皮大白菜,0.387
459110,大白菜燒雞蛋豆腐,470422,大白菜豆腐粉絲煲/黃芽白豆腐粉絲煲,0.387
457864,大白菜鹹粥,431345,大白菜炒五花肉片,0.37
451304,包心大白菜炒火腿絲,455364,絞肉炒包心大白菜,0.365
455364,絞肉炒包心大白菜,449672,大白菜悶油豆腐,0.361
463746,蝦皮炒大白菜,475293,鍋燒麵.烏龍湯麵,0.361
478495,開陽白菜,478578,魚翅雞,0.356
475487,龜甲萬味自慢–日式醬燒醬｜白菜豚肉哥倆好,431828,千層白菜豬肉鍋,0.34
423814,大白菜湯圓,431964,【老菜脯大白菜年糕肉絲湯】立春節氣燉湯,0.335
409597,清爽豆皮大白菜,431828,千層白菜豬肉鍋,0.332
474752,素獅子頭（2）,405945,家常大白菜,0.323
474469,大白菜煨豆腐湯,472264,十分鐘上菜-白菜豆皮素食年菜,0.311
431345,大白菜炒五花肉片,431868,大白菜炒虱目魚丸,0.309
