id,name,document
472679,炒大陸妹,大陸妹 龜甲萬 昆布香菇料亭和露 蒜頭
473934,燙青菜(大陸妹),水培大陸妹 塩 醬油膏 油葱酥 蒜末 皮蛋選用 沙茶醬
457559,蒜拌大陸妹(福山萵苣),大陸妹福山萵苣 蒜頭 黑胡椒粒可略
463737,燙大陸妹,大陸菜 蒜頭
457350,蠔油福山萵苣,福山萵苣大陸妹 李錦記舊庄特級蠔油 新鮮香菇 蒜頭 辣椒 薑 砂糖 太白粉水
457944,大陸妹鮪魚海苔煎蛋,大陸妹生菜 鮪魚罐頭 雞蛋 白芝麻 韓國海苔碎
450349,肉燥燙青菜（大陸妹）,大陸妹 北部滷肉燥 蠔油
453855,大陸妹炒豬肉片,大陸妹 豬肉片 胡蘿蔔 薑片 蒜頭 春風蜂巢藍捲筒廚房紙巾 醬油 米酒 砂糖 蓮藕粉
453093,蒜香冬菜大陸妹,大陸妹 蒜末 冬菜
450225,清炒大陸妹菜,大陸妹 調味
446047,大陸妹炒燒肉,大陸妹 燒肉 雞粉 蒜末 糖
448879,油蔥酥炒山上大陸妹,山上大陸妹 油蔥酥 白芝麻
432465,醬拌福山萵苣,福山萵苣大陸妹 黑白芝麻 醬油 醬油膏 味霖
441959,清炒油蔥大陸妹,大陸妹 蒜頭 油蔥
444435,冬菜炒大陸妹或萵苣,大陸妹 冬菜 蒜頭 辣椒
435893,腐乳大陸妹~簡單隨手做,大陸妹 豆腐乳 蒜末 塩
436874,鵝油香蒜炒大陸妹,大陸妹 蒜頭 辣椒 洋蔥 鵝油香蔥
430882,xo醬炒大陸妹,大陸妹 蒜頭 xo醬 柴魚粉
473790,肉絲炒時蔬,肉絲 高麗菜 雞粉 大陸妹生菜 米酒 紅蘿蔔片 玉米筍 香菜
454274,蒜香萵苣,福山萵苣大陸妹 蒜末 糖
451330,肉骨茶麵疙瘩,肉骨茶湯底 大陸妹 麵疙瘩
454384,時蔬蛋花湯,白菜 大陸妹福山萵苣 蔥花 蛋 烹大師昆布風味
424188,蒜炒大陸妹～可素食,大陸妹 蒜頭 鰹魚粉素食可不加
456907,青菜蛋花湯(二),福山萵苣大陸妹 雞蛋 青蒜 青蔥 雞粉 白胡椒粉 雞高湯 清水
475494,龜甲萬味自慢–薑汁燒肉醬｜薑燒肉漢堡,龜甲萬味自慢薑汁燒肉醬 漢堡麵包 豬肉 大陸妹 洋蔥 美乃滋 太白粉
434291,免開火蒜香大陸妹/熱水瓶料理/5分鐘,大陸妹 鵝油香蒜 沸水 保鮮盒
426480,晚餐：椒鹽雪花豬、滷味、炒大陸妹,雪花豬 素雞 大豆干 蒟蒻 大陸妹
416414,綜合菇炒大陸妹,大陸妹 金針菇 鴻禧菇 蒜瓣 薑 安食小品柴魚粉 安食小品黑豆油膏
423604,15🍱蜜汁豬排肉、炒大陸妹,豬排肉 大陸妹
467595,古早味油蔥a菜雞（自己紀錄用）,無骨雞腿排 大陸妹 油蔥醬 蛋 麻油 蠔油 太白粉 米酒
459458,香煎雞腿排牛奶鍋麵,雞腿排 洋蔥絲 雞粉 南瓜 大陸妹 板豆腐 米血 牛奶 鴻禧菇 意麵
459037,和風燴雞胸油豆腐悶粉絲,雞胸肉 油豆腐 白醋 冬粉 米酒 大陸妹 糖 紅蘿蔔片 醬油 味醂 雞粉
453205,大陸妺+皮蛋,大陸妹 皮蛋 蒜頭橄欖油 醬油膏
473828,秘傳牛肉彩椒義大利麵,牛小排 秘傳燒肉醬 蒜頭 巴西里 胡椒粉 彩椒 黑美人菇 米酒或紹興 奶油 櫛瓜 Barilla 義大利麵 大鮮香菇 蔬菜大陸妹
460354,蝦肉蔬果沙拉🥗,大陸妹 小黃瓜 北鼻番茄 蘋果 梨子 馬鈴薯 蝦子 腰果 美乃滋醬
467462,~水煮肉片~,豬肉片肉片 薑末 辣豆瓣醬 蒜末 醬油 香菜末 白醋 辣油 乾辣椒 細砂糖 花椒 冷開水 大陸妹 太白粉 太白粉水
411524,酸辣黑木耳醬拌大陸妹．柯媽媽の植物燕窩,大陸妹 昆布醬油 黑木耳菇菇醬青檸酸辣
463683,韓式豬肉蛋白質鍋,梅花豬火鍋肉片 金針菇 韓式辣醬 嫩豆腐 鰹魚 柴魚醬油 蔥花 胡椒粉 雞蛋 大陸妹 手工丸子 韓式拉麵
465802,古早味芋頭米粉湯,大甲芋頭塊 炊粉 鮮魚頭熬湯用 台灣乾香菇 老薑片 台灣油蔥酥 青蔥 青菜大陸妹 白胡椒粉
