id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
472679,炒大陸妹,https://icook.tw/recipes/472679,大陸妹、龜甲萬 昆布香菇料亭和露、蒜頭,大陸妹1株 | 龜甲萬 昆布香菇料亭和露1大匙 | 蒜頭1瓣,蒜頭爆香後加入大陸妹炒軟 | 最後再加入料亭和露稍微拌一下就可以上桌 | 好吃,炒大陸妹。食材：大陸妹1株，龜甲萬 昆布香菇料亭和露1大匙，蒜頭1瓣。做法：蒜頭爆香後加入大陸妹炒軟，最後再加入料亭和露稍微拌一下就可以上桌，好吃。,大陸妹/472679_炒大陸妹.jpg
473934,燙青菜(大陸妹),https://icook.tw/recipes/473934,(水培)大陸妹、塩、醬油膏、油葱酥、蒜末、皮蛋(選用)、沙茶醬、熱水,(水培)大陸妹500克 | 塩1小搓 | 油葱酥1大匙 | 皮蛋(選用)2顆 | 醬油膏2大匙 | 蒜末3瓣 | 沙茶醬1匙 | 熱水2大匙,"準備食材。

※看到另一篇食譜加了皮蛋，看起來很不錯！可惜我冰箱沒皮蛋。😩
※參考食譜https: | icook.tw | recipes | 453205 | 1.先煮一大鍋熱水，加塩。
2.青菜摘掉枯黃爛葉，沖水洗淨。
3.水滾後，將菜放進鍋內。
4.煮到葉呈翠綠，梗顔色由白轉透。
5.撈起、瀝乾。 | 煮青菜期間，調配醬料，拌勻備用。 | 1.青菜撈出後，去蒂頭，再腰斬切半。
2.查看蒂頭中心，若仍有白色(未熟)，可再回鍋燙一下梗。

※我買的應該是水培的，沒有土，所以整株下鍋煮後，才切。擺盤也比較方便。
如果是土培的，我會清洗後，切了才下鍋煮。免的土沒洗淨，煮後還夾帶土。 | 將醬料淋在菜上。 | 撒上油葱酥。

完成！","燙青菜(大陸妹)。食材：(水培)大陸妹500克，塩1小搓，油葱酥1大匙，皮蛋(選用)2顆，醬油膏2大匙，蒜末3瓣，沙茶醬1匙，熱水2大匙。做法：準備食材。

※看到另一篇食譜加了皮蛋，看起來很不錯！可惜我冰箱沒皮蛋。😩
※參考食譜https:，icook.tw，recipes，453205，1.先煮一大鍋熱水，加塩。
2.青菜摘掉枯黃爛葉，沖水洗淨。
3.水滾後，將菜放進鍋內。
4.煮到葉呈翠綠，梗顔色由白轉透。
5.撈起、瀝乾。，煮青菜期間，調配醬料，拌勻備用。，1.青菜撈出後，去蒂頭，再腰斬切半。
2.查看蒂頭中心，若仍有白色(未熟)，可再回鍋燙一下梗。

※我買的應該是水培的，沒有土，所以整株下鍋煮後，才切。擺盤也比較方便。
如果是土培的，我會清洗後，切了才下鍋煮。免的土沒洗淨，煮後還夾帶土。，將醬料淋在菜上。，撒上油葱酥。

完成！。",大陸妹/473934_燙青菜(大陸妹).jpg
457559,蒜拌大陸妹(福山萵苣),https://icook.tw/recipes/457559,大陸妹(福山萵苣)、蒜頭、鹽、食用油、黑胡椒粒(可略),大陸妹(福山萵苣)500g | 蒜頭3瓣 | 鹽1茶匙 | 食用油1大匙 | 鹽1/4茶匙 | 食用油1大匙 | 黑胡椒粒(可略)1/10茶匙,1.準備食材。 | 2.大陸妹一葉一葉撥下，清洗乾淨；蒜頭去蒂去膜，切末。 | 3.蒜末放入盤中，加入調味料B備用。 | 4.起鍋，放入約1200cc的水，開大火煮滾，再加入調味料A。 | 5.放入大陸妹。 | 6.翻拌一下，汆燙約1分鐘，轉透綠色即可。 | 7.撈起大陸妹瀝乾水份，放入步驟3.餐盤中，將其拌勻即可。 | 8.簡單美味上桌!,蒜拌大陸妹(福山萵苣)。食材：大陸妹(福山萵苣)500g，蒜頭3瓣，鹽1茶匙，食用油1大匙，鹽1/4茶匙，食用油1大匙，黑胡椒粒(可略)1/10茶匙。做法：1.準備食材。，2.大陸妹一葉一葉撥下，清洗乾淨；蒜頭去蒂去膜，切末。，3.蒜末放入盤中，加入調味料B備用。，4.起鍋，放入約1200cc的水，開大火煮滾，再加入調味料A。，5.放入大陸妹。，6.翻拌一下，汆燙約1分鐘，轉透綠色即可。，7.撈起大陸妹瀝乾水份，放入步驟3.餐盤中，將其拌勻即可。，8.簡單美味上桌!。,大陸妹/457559_蒜拌大陸妹(福山萵苣).jpg
463737,燙大陸妹,https://icook.tw/recipes/463737,大陸菜、蒜頭、油、鹽巴,大陸菜1包 | 蒜頭1小顆 | 油1湯匙 | 鹽巴1小匙,"1大陸妹較外面的老葉拔除不要食用（網路料理群友分享老葉較容易有苦味）保留嫩葉後清洗乾淨至旁邊瀝水
2蒜頭去皮切末（看個人喜愛蒜末、蒜片皆可） | 鍋微熱放少許油接著在放入蒜末、鹽巴稍拌炒一下盛起（約7-90秒）避免蒜頭焦掉苦味 | 原鍋不用清洗放飲用水煮滾（鍋中少許油青菜燙起來較油亮好看） | 水滾放下大陸妹川燙約3-4分鐘後盛起稍微瀝一下水
（喜歡脆一點口感約3-4分，軟爛口感約5-6分） | 川燙稍瀝水後與步驟2蒜油拌勻盛盤","燙大陸妹。食材：大陸菜1包，蒜頭1小顆，油1湯匙，鹽巴1小匙。做法：1大陸妹較外面的老葉拔除不要食用（網路料理群友分享老葉較容易有苦味）保留嫩葉後清洗乾淨至旁邊瀝水
2蒜頭去皮切末（看個人喜愛蒜末、蒜片皆可），鍋微熱放少許油接著在放入蒜末、鹽巴稍拌炒一下盛起（約7-90秒）避免蒜頭焦掉苦味，原鍋不用清洗放飲用水煮滾（鍋中少許油青菜燙起來較油亮好看），水滾放下大陸妹川燙約3-4分鐘後盛起稍微瀝一下水
（喜歡脆一點口感約3-4分，軟爛口感約5-6分），川燙稍瀝水後與步驟2蒜油拌勻盛盤。",大陸妹/463737_燙大陸妹.jpg
457350,蠔油福山萵苣,https://icook.tw/recipes/457350,福山萵苣(大陸妹)、李錦記舊庄特級蠔油、新鮮香菇、蒜頭、辣椒、薑、砂糖、水、太白粉水,福山萵苣(大陸妹)450 克 | 李錦記舊庄特級蠔油30 克 | 新鮮香菇5 朵 | 蒜頭15克 | 辣椒3克 | 薑5克 | 砂糖10克 | 水200CC | 太白粉水少許,"採買好所需要的食材. | 將福山萵苣一片片摘下乾淨,新鮮香菇切小丁,薑切末,蒜頭切末. | 煮一鍋熱水,將清洗好的福山萵苣汆燙好,撈出瀝乾水份,鋪在盤中. | 油熱後將薑末.蒜末.辣椒放入油鍋中,開中小火炒出薑末和蒜末的香氣. | 將切好的新鮮香菇丁放入炒出菇的水份. | 添加李錦記舊庄特級蠔油和砂糖砂糖,拌炒均勻,加入水熬煮約2分鐘,讓香菇丁吸飽醬汁的味道,最後用少許太白粉水芶薄芡汁. | 將蠔油香菇丁醬汁全部淋在福山萵苣上,蠔油福山萵苣就完成囉~","蠔油福山萵苣。食材：福山萵苣(大陸妹)450 克，李錦記舊庄特級蠔油30 克，新鮮香菇5 朵，蒜頭15克，辣椒3克，薑5克，砂糖10克，水200CC，太白粉水少許。做法：採買好所需要的食材.，將福山萵苣一片片摘下乾淨,新鮮香菇切小丁,薑切末,蒜頭切末.，煮一鍋熱水,將清洗好的福山萵苣汆燙好,撈出瀝乾水份,鋪在盤中.，油熱後將薑末.蒜末.辣椒放入油鍋中,開中小火炒出薑末和蒜末的香氣.，將切好的新鮮香菇丁放入炒出菇的水份.，添加李錦記舊庄特級蠔油和砂糖砂糖,拌炒均勻,加入水熬煮約2分鐘,讓香菇丁吸飽醬汁的味道,最後用少許太白粉水芶薄芡汁.，將蠔油香菇丁醬汁全部淋在福山萵苣上,蠔油福山萵苣就完成囉~。",大陸妹/457350_蠔油福山萵苣.jpg
457944,大陸妹鮪魚海苔煎蛋,https://icook.tw/recipes/457944,大陸妹生菜、鮪魚罐頭、雞蛋、白芝麻、韓國海苔碎,大陸妹生菜8片 | 鮪魚罐頭1大匙 | 雞蛋2顆 | 白芝麻少許 | 韓國海苔碎1大匙,"打入兩顆雞蛋，並加入鮪魚攪拌。將生菜切成細片狀後加入。 | 放入熱鍋中，灑上白芝麻跟韓國海苔碎。
煎至半熟，用盤子輔助翻面再煎熟。 這樣就完成啦！","大陸妹鮪魚海苔煎蛋。食材：大陸妹生菜8片，鮪魚罐頭1大匙，雞蛋2顆，白芝麻少許，韓國海苔碎1大匙。做法：打入兩顆雞蛋，並加入鮪魚攪拌。將生菜切成細片狀後加入。，放入熱鍋中，灑上白芝麻跟韓國海苔碎。
煎至半熟，用盤子輔助翻面再煎熟。 這樣就完成啦！。",大陸妹/457944_大陸妹鮪魚海苔煎蛋.jpg
450349,肉燥燙青菜（大陸妹）,https://icook.tw/recipes/450349,大陸妹、北部滷肉燥、鹽、蠔油,大陸妹3把 | 北部滷肉燥2大匙 | 鹽1小匙 | 蠔油1大匙,大陸妹清洗切段備用 | 燙青菜水加入鹽巴煮滾放入大陸妹約1分鐘後撈起 | 淋上蠔油與滷肉燥（可參考前篇北部滷肉燥食譜）,肉燥燙青菜（大陸妹）。食材：大陸妹3把，北部滷肉燥2大匙，鹽1小匙，蠔油1大匙。做法：大陸妹清洗切段備用，燙青菜水加入鹽巴煮滾放入大陸妹約1分鐘後撈起，淋上蠔油與滷肉燥（可參考前篇北部滷肉燥食譜）。,大陸妹/450349_肉燥燙青菜（大陸妹）.jpg
453855,大陸妹炒豬肉片,https://icook.tw/recipes/453855,大陸妹、豬肉片、胡蘿蔔、鹽巴、薑片、蒜頭、春風蜂巢藍捲筒廚房紙巾、醬油、米酒、砂糖、蓮藕粉,大陸妹1台斤 | 豬肉片100克 | 胡蘿蔔0.5條 | 鹽巴2小匙 | 薑片1片 | 蒜頭2小瓣 | 春風蜂巢藍捲筒廚房紙巾5張 | 醬油1大匙 | 米酒1小匙 | 砂糖1大匙 | 蓮藕粉1茶匙,大陸妹洗乾淨後用春風蜂巢藍捲筒廚房紙巾擦乾水漬，再把豬肉片切小片後先醃過（醬油+米酒+砂糖+蓮藕粉） | 豬肉片跟胡蘿蔔、蒜頭切片、薑先拌炒 | 加入大陸妹炒熟，加入鹽巴和醬油繼續翻炒 | 裝盤出菜,大陸妹炒豬肉片。食材：大陸妹1台斤，豬肉片100克，胡蘿蔔0.5條，鹽巴2小匙，薑片1片，蒜頭2小瓣，春風蜂巢藍捲筒廚房紙巾5張，醬油1大匙，米酒1小匙，砂糖1大匙，蓮藕粉1茶匙。做法：大陸妹洗乾淨後用春風蜂巢藍捲筒廚房紙巾擦乾水漬，再把豬肉片切小片後先醃過（醬油+米酒+砂糖+蓮藕粉），豬肉片跟胡蘿蔔、蒜頭切片、薑先拌炒，加入大陸妹炒熟，加入鹽巴和醬油繼續翻炒，裝盤出菜。,大陸妹/453855_大陸妹炒豬肉片.jpg
453093,蒜香冬菜大陸妹,https://icook.tw/recipes/453093,大陸妹、蒜末、冬菜,大陸妹1包 | 蒜末2瓣 | 冬菜1大匙,"1.蒜頭切末
2.大陸妹過流水洗淨 | 熱油鍋下蒜頭炒香後
倒入半杯水大火煮開
加入大陸妹拌炒 | 大陸妹微軟後轉中火加入冬菜拌炒均勻約1分，不宜炒太久，冬菜會失去口感 | 盛盤即可","蒜香冬菜大陸妹。食材：大陸妹1包，蒜末2瓣，冬菜1大匙。做法：1.蒜頭切末
2.大陸妹過流水洗淨，熱油鍋下蒜頭炒香後
倒入半杯水大火煮開
加入大陸妹拌炒，大陸妹微軟後轉中火加入冬菜拌炒均勻約1分，不宜炒太久，冬菜會失去口感，盛盤即可。",大陸妹/453093_蒜香冬菜大陸妹.jpg
450225,清炒大陸妹菜,https://icook.tw/recipes/450225,大陸妹、調味,大陸妹1把 | 調味1小匙,將大陸妹菜洗淨，切成適當的大小 | 熱鍋後下一點油，把大陸妹菜下鍋拌炒，拌炒均勻後再加入一點點水蓋鍋悶一下，後將鍋蓋掀開加入調味料，稍微再拌炒一下即可，起鍋就可呈盤享用嘍～,清炒大陸妹菜。食材：大陸妹1把，調味1小匙。做法：將大陸妹菜洗淨，切成適當的大小，熱鍋後下一點油，把大陸妹菜下鍋拌炒，拌炒均勻後再加入一點點水蓋鍋悶一下，後將鍋蓋掀開加入調味料，稍微再拌炒一下即可，起鍋就可呈盤享用嘍～。,大陸妹/450225_清炒大陸妹菜.jpg
