# 分析摘要
# 最高相似度: 0.813
# 建議門檻: 0.65 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 22
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 161 組相似食譜
# 門檻 0.2: 62 組相似食譜
# 門檻 0.3: 22 組相似食譜
# 門檻 0.4: 6 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
455363,XO醬炒大陸妹,404090,Xo醬拌大陸妹,0.813
455363,XO醬炒大陸妹,430882,xo醬炒大陸妹,0.617
453093,蒜香冬菜大陸妹,444435,冬菜炒大陸妹或萵苣,0.571
430882,xo醬炒大陸妹,404090,Xo醬拌大陸妹,0.502
410979,家常菜|燙大陸妹(feat.豆油伯),457537,奧莉廚房 金蘭醬油 手切滷肉飯,0.466
444435,冬菜炒大陸妹或萵苣,436874,鵝油香蒜炒大陸妹,0.449
453093,蒜香冬菜大陸妹,435893,腐乳大陸妹~簡單隨手做,0.399
432465,醬拌福山萵苣,410979,家常菜|燙大陸妹(feat.豆油伯),0.398
453093,蒜香冬菜大陸妹,454274,蒜香萵苣,0.394
461112,大陸妹配湯包,453855,大陸妹炒豬肉片,0.388
435893,腐乳大陸妹~簡單隨手做,454274,蒜香萵苣,0.371
455363,XO醬炒大陸妹,474170,燙青菜 / 擺盤分享,0.366
404090,Xo醬拌大陸妹,410979,家常菜|燙大陸妹(feat.豆油伯),0.349
453093,蒜香冬菜大陸妹,446047,大陸妹炒燒肉,0.345
446047,大陸妹炒燒肉,435893,腐乳大陸妹~簡單隨手做,0.325
448879,油蔥酥炒山上大陸妹,410979,家常菜|燙大陸妹(feat.豆油伯),0.325
410979,家常菜|燙大陸妹(feat.豆油伯),453205,大陸妺+皮蛋,0.323
446047,大陸妹炒燒肉,454274,蒜香萵苣,0.32
450225,清炒大陸妹菜,474170,燙青菜 / 擺盤分享,0.312
474170,燙青菜 / 擺盤分享,423604,15🍱蜜汁豬排肉、炒大陸妹,0.312
467134,"有時來點口味重的料理🤤
麻油薑泥麵線",461700,什麼？印加果油可以拌麵？🤔印加果油拌麵,0.309
432465,醬拌福山萵苣,454274,蒜香萵苣,0.305
