id,name,document
479070,減脂料理～大黃瓜玉米雞丁,玉米 大黃瓜 鹽味雞胸肉 蒜頭
475843,大黃瓜蒸肉,大黃瓜 絞肉 太白粉 米酒 白胡椒 醬油
477943,大黃瓜鑲肉,大黃瓜 豬絞肉 蝦仁漿 胡蘿蔔 蔥 胡椒粉
476586,大黃瓜貢丸湯,大黃瓜 貢丸 香菜 米酒 白胡椒粒 雞粉 白胡椒粉 清水
462759,大黃瓜炒麵腸,大黃瓜 麵腸 雞粉 糖
460567,大黃瓜排骨湯,大黃瓜 排骨 雞粉
478109,大黃瓜薏仁排骨湯—新手0️⃣失敗,排骨 大黃瓜 米酒 薏仁
468448,lanni 胡瓜炒蛋,胡瓜切條 紅蘿蔔絲 柴魚粉 糖 蛋蔥一點鹽打散
459297,大黃瓜炒魚板,大黃瓜 魚板 雞粉 紅蘿蔔片 蒜末 糖
466778,大黃瓜炒貢丸,大黃瓜 貢丸 木耳 紅蘿蔔 蒜頭 鮮味炒手 蠔油 白胡椒
464550,清炒大黃瓜,大黃瓜 蒜頭 白胡椒粉
461186,大黃瓜小籠包,灣仔碼頭灌湯小籠包 豬肉口味 大黃瓜 鰹魚粉 白芝麻 太白粉
467842,微波版胡瓜炒甜不辣,胡瓜 甜不辣 胡蘿蔔片 白胡椒粉 蒜末
460725,大黃瓜玉米魚丸湯,大黃瓜刺瓜 玉米 胡蘿蔔片 魚丸 香菜或芹菜末 鹽巴與胡椒粉
466440,涼拌大黃瓜(五辛素),大黃瓜淨重 蒜頭 辣椒 香菜 話梅 食鹽 味精 砂糖 白醋
466441,酸辣涼拌大黃瓜(五辛素),大黃瓜淨重 蒜頭 辣椒 烏醋 醬油 韓式粗辣椒粉 砂糖 味精
466373,《認真系》大黃瓜鑲蔬肉,絞肉 胡蘿蔔 醬油 洋蔥 白胡椒粉 香菇 蔥 太白粉 薑 米酒 大黃瓜
452329,炒大黃瓜,大黃瓜 胡蘿蔔 蒜頭 黑木耳 醬油 糖
456089,🥒大黃瓜排骨湯,大黃瓜 排骨 薑絲 貢丸 內鍋水 外鍋水第一次 外鍋水第二次
454322,大黃瓜鑲豆腐肉/家常菜,大黃瓜 雞胸肉 米酒 板豆腐 醬油 馬鈴薯 胡椒粉 胡蘿蔔 烹大師干貝風味 雞蛋取蛋白
445158,胡瓜火鍋湯,胡瓜 南瓜 山藥 沙梨橄欖 梅花肉片 花技蝦丸 青菜
442427,大黃瓜丸子湯,大黃瓜 魚丸或貢丸 白胡椒粉
444177,腐竹大黃瓜,大黃瓜 腐竹 蒜片 辣椒 蔥花 胡椒粉 米酒
444637,甜不辣蒜炒胡瓜,甜不辣 胡瓜 蒜末 辣椒可去籽 素蘑菇精或鮮味炒手
441311,大黃瓜封肉,大黃瓜 紅蘿蔔 豬腳肉 醬油 米酒 蠔油 白胡椒 花椒粉 太白粉抓醃 太白粉勾芡 清水勾芡 清水電鍋外鍋 蒜末 細砂糖
456261,醃漬大黃瓜——風味食材／鹽醃、醋泡、油漬,大黃瓜 白醋 黑胡椒 花椒
439990,清爽大黃瓜炒雞胸,大黃瓜 紅蘿蔔 玉米筍 木耳 雞胸肉 美人菇
448456,🌺大黃瓜鑲花枝漿蝦仁🌺,大黃瓜 花枝漿 烏醋 中小型白蝦 醬油 有機枸杞可不加
436268,蝦皮大黃瓜,大黃瓜 蝦皮 薑 蔥 細糖
438456,電鍋大黃瓜鑲肉,大黃瓜 豬肉末 醬油 蝦米 太白粉
444654,#249 大黃瓜鑲肉｜刺瓜封肉,大黃瓜 豬絞肉 蒜頭 砂糖 紅辣椒 醬油 青蔥 米酒 白胡椒粉 香菜 高湯罐頭 或清水 太白粉 太白粉水 高湯清水
444479,法式高纖｜低碳大黃瓜鑲肉,大黃瓜 37 肥瘦比例絞肉 蔥花 蒜米 油蔥酥 紅辣椒末 黑胡椒粉 無糖醬油 白胡椒粉 米醋 赤藻醣
425852,大黃瓜蝦仁炒蛋,蝦仁 蛋 大黃瓜 香菇素蠔油 蒜頭
447174,蒸土魠/粉蒸肉/大黃瓜雞湯-By 格麗思,排骨肉 芋頭塊 粉蒸肉粉 土魠魚 大黃瓜 藥膳包 雞肉
439052,#236 黑輪炒刺瓜｜黑輪炒大黃瓜,大黃瓜 黑輪 蒜頭 白胡椒粉 紅蘿蔔 鰹魚粉 砂糖也可以 木耳 太白粉水 清水 柴魚片
416943,大黃瓜炒蛋,大黃瓜 紅蘿蔔 雞蛋 蒜瓣 安食小品柴魚粉 安食小品黑豆油膏
423918,胡瓜鮮菇湯,胡瓜 香菇 白胡椒粉
416781,大黃瓜煎蛋,雞蛋 大黃瓜 安食小品醬鹽 胡椒粉
420354,【全素】大黃瓜,大黃瓜 里仁 麻油當歸醬 黑胡椒粉
414976,大黃瓜雞湯,市售去骨土雞腿塊 大黃瓜 無油雞高湯 米酒
470448,黃瓜蓮藕排骨玉米湯,排骨 玉米 蓮藕片 大黃瓜 味精
465655,黃瓜蛤蠣丸子湯,大黃瓜 蛤蠣 丸子
422357,lanni 大黃瓜肉丸湯,大黃瓜切款片 豬絞肉 胡椒粉 薑水 太白粉 蔥花
