# 分析摘要
# 最高相似度: 0.571
# 建議門檻: 0.46 (最高相似度的80%)
# 總食譜組合數: 903
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 148 組相似食譜
# 門檻 0.2: 56 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
475843,大黃瓜蒸肉,466373,《認真系》大黃瓜鑲蔬肉,0.571
467842,微波版胡瓜炒甜不辣,444637,甜不辣蒜炒胡瓜,0.563
466440,涼拌大黃瓜(五辛素),466441,酸辣涼拌大黃瓜(五辛素),0.537
462759,大黃瓜炒麵腸,460567,大黃瓜排骨湯,0.468
460567,大黃瓜排骨湯,478109,大黃瓜薏仁排骨湯—新手0️⃣失敗,0.424
464550,清炒大黃瓜,442427,大黃瓜丸子湯,0.417
467842,微波版胡瓜炒甜不辣,423918,胡瓜鮮菇湯,0.407
466373,《認真系》大黃瓜鑲蔬肉,423918,胡瓜鮮菇湯,0.399
460567,大黃瓜排骨湯,470448,黃瓜蓮藕排骨玉米湯,0.347
479070,減脂料理～大黃瓜玉米雞丁,464550,清炒大黃瓜,0.344
477943,大黃瓜鑲肉,422357,lanni 大黃瓜肉丸湯,0.342
460567,大黃瓜排骨湯,459297,大黃瓜炒魚板,0.335
464550,清炒大黃瓜,439052,#236 黑輪炒刺瓜｜黑輪炒大黃瓜,0.332
475843,大黃瓜蒸肉,438456,電鍋大黃瓜鑲肉,0.327
464550,清炒大黃瓜,452329,炒大黃瓜,0.323
464550,清炒大黃瓜,425852,大黃瓜蝦仁炒蛋,0.322
466373,《認真系》大黃瓜鑲蔬肉,452329,炒大黃瓜,0.307
479070,減脂料理～大黃瓜玉米雞丁,470448,黃瓜蓮藕排骨玉米湯,0.304
464550,清炒大黃瓜,423918,胡瓜鮮菇湯,0.303
