id,name,document
474339,清炒抱子芥菜／娃娃菜,芥菜娃娃菜 薑絲 糖
475255,培根炒娃娃菜,培根 娃娃菜 菇類 鮮味炒手 薑片
478468,娃娃菜捲蝦滑,娃娃菜 市售蝦仁漿 蒜末 蔥絲 醬油 白芝麻 醬油膏 糖 胡椒粉
472740,麻油娃娃菜,娃娃菜 薑片 醬油膏 美白菇 枸杞 黑麻油 米酒
471987,糖醋娃娃菜,娃娃菜 味精 米酒 砂糖 糯米醋
466518,娃娃菜燜魯豬皮,娃娃菜 滷豬皮 雞粉 糖
474157,香菇炒娃娃菜,香菇 娃娃菜 蒜頭 蝦皮
466044,燒肉末燴娃娃菜,燒肉末 娃娃菜 雞粉 金針菇 蒜末
477736,娃娃菜炒鴻喜菇,娃娃菜 鴻喜菇 五花豬肉片 醬油 味霖
474483,清炒娃娃菜心,娃娃菜心 紅蘿蔔 薑
472310,豆腐乳燴娃娃菜,娃娃菜 豆腐乳 豆腐乳汁 白芝麻
471878,娃娃菜炒香菇,娃娃菜 新鮮香菇 柴魚粉 蒜末 辣椒末
474154,麻油薑絲炒娃娃菜,娃娃菜 薑 枸杞 麻油 米酒
475747,千層娃娃菜肉片鍋,娃娃菜 豬肉片 鴻禧菇 白胡椒 蒜頭 紅蘿蔔 小魚乾 青蔥切蔥花 白芝麻
459464,乳酪奶汁娃娃菜,娃娃菜 鴻禧菇 雞粉 紅蘿蔔片 乳酪 牛奶 蒜末
469179,牛奶娃娃菜燉雞,去骨雞腿肉 娃娃菜 牛奶 鴻喜菇 片栗粉 雪白菇 米酒 薑 味醂 高湯粉 粗粒黑胡椒
473750,清炒娃娃菜腐皮,娃娃菜 全聯腐皮 蝦米 蒜頭 醬油 味醂 胡椒
470519,扁魚炒娃娃菜,娃娃菜 扁魚干 紅蘿蔔切絲 蒜頭
474439,芥菜娃娃菜燴炒豬肉片,芥菜娃娃菜 全聯里肌肉 醬油 蒜末 黑糖 白芝麻 太白粉 蠔油
469203,蒜香蝦米娃娃菜,娃娃菜 蒜末 蝦米
466710,紅燒豆腐娃娃菜,高山娃娃菜 板豆腐 蒜末 辣椒切圈 醬油 糖
465022,辣油爆炒娃娃菜,娃娃菜 豬絞肉 辣豆瓣醬 蒜仁 細砂糖 紅辣椒 辣油 乾辣椒 白胡椒 醬油
472538,酸辣泡椒娃娃菜(五辛素),娃娃菜 大白菜 青辣椒 白醋 紅辣椒 砂糖 老薑 米酒 蒜頭 食鹽3 青花椒 味精 紅花椒 冷開水
472578,椒麻涼拌娃娃菜(五辛素),娃娃菜 大白菜 紅辣椒 植物油 青辣椒 細紅辣椒粉 醬油 老薑 熟白芝麻 白醋 蒜頭 砂糖 八角 食鹽 花椒粒 味精
464266,香菇蛋香娃娃菜,娃娃菜 香菇 蝦米 蒜末 雞蛋
465914,寶寶食譜｜娃娃菜肉卷,娃娃菜 豬絞肉 紅蘿蔔 屏科大薄鹽醬油膏 玉米粉
476704,龜甲萬味自慢-親子丼用醬/娃娃菜煲豆腐,龜甲萬味自慢親子丼用醬 雞蛋豆腐 娃娃菜 紅蘿蔔
462927,酸辣娃娃菜金針菇,娃娃菜 金針菇 BB椒香辣油 蒜頭 烏醋 辣椒 白開水
465993,涼拌娃娃菜(五辛素),娃娃菜 韭菜 青蔥 烏醋 薑 醬油 蒜頭 細辣椒粉 紅辣椒 花椒粒 砂糖 味精 植物油
458527,蠔油干貝娃娃菜,乾干貝 娃娃菜 日本太白粉 蒜頭 辣椒 李錦記舊庄特級蠔油
462050,清冰箱料理/娃娃菜滷,娃娃菜 乾香菇鈕扣菇 鮮香菇 白胡椒 板豆腐 紅蘿蔔 蝦仁 雞蛋 青蔥 蒜頭 蝦米
450424,鴻禧菇炒娃娃菜,翠玉娃娃菜 紅蘿蔔片 鴻禧菇 烹大師鰹魚粉 非必需 蠔油 蔥白 蒜頭
452326,娃娃菜蛤蜊雞湯,雞腿肉 抱子芥菜 蛤蜊
453937,瑤柱娃娃菜,高山娃娃菜 乾干貝 雞湯 白胡椒粉 太白粉
449363,娃娃菜蝦球春雨湯,娃娃菜 冬粉 桂冠花枝蝦漿 蒜頭 蔥花 鹽與胡椒粉
441844,娃娃菜燉雞湯,雞腿 娃娃菜 鲜香菇 紅蘿蔔 薑 蒜頭 醬冬瓜 盬
451244,好久沒吃娃娃菜料理了🥺 豆腸娃娃菜🤤,娃娃菜 綠花椰菜花球部分切碎 豆腸 紅蘿蔔 醬油 玉米筍 杏鮑菇 傘菇
454303,干貝風味娃娃菜燉雞片豆腐,烹大師干貝風味 娃娃菜 蒜泥 火鍋豆腐 照燒醬汁 紅蘿蔔片 冷凍毛豆仁 雞胸肉 鵪鶉蛋
445572,XO醬炒娃娃菜,娃娃菜 XO醬 蒜頭
