# 分析摘要
# 最高相似度: 0.721
# 建議門檻: 0.58 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 18
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 200 組相似食譜
# 門檻 0.2: 60 組相似食譜
# 門檻 0.3: 18 組相似食譜
# 門檻 0.4: 9 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
469203,蒜香蝦米娃娃菜,446858,清炒娃娃菜,0.721
469203,蒜香蝦米娃娃菜,464266,香菇蛋香娃娃菜,0.607
471878,娃娃菜炒香菇,446858,清炒娃娃菜,0.532
472647,上湯娃娃菜,453937,瑤柱娃娃菜,0.501
472538,酸辣泡椒娃娃菜(五辛素),472578,椒麻涼拌娃娃菜(五辛素),0.499
469203,蒜香蝦米娃娃菜,439128,清炒(?)娃娃菜,0.466
472578,椒麻涼拌娃娃菜(五辛素),465993,涼拌娃娃菜(五辛素),0.44
464266,香菇蛋香娃娃菜,446858,清炒娃娃菜,0.437
458527,蠔油干貝娃娃菜,439128,清炒(?)娃娃菜,0.426
462927,酸辣娃娃菜金針菇,439128,清炒(?)娃娃菜,0.387
472740,麻油娃娃菜,474154,麻油薑絲炒娃娃菜,0.373
474157,香菇炒娃娃菜,464266,香菇蛋香娃娃菜,0.371
446858,清炒娃娃菜,439128,清炒(?)娃娃菜,0.336
471987,糖醋娃娃菜,472538,酸辣泡椒娃娃菜(五辛素),0.332
464266,香菇蛋香娃娃菜,462050,清冰箱料理/娃娃菜滷,0.326
466518,娃娃菜燜魯豬皮,466276,燒肉燉娃娃菜,0.321
473750,清炒娃娃菜腐皮,439128,清炒(?)娃娃菜,0.319
478468,娃娃菜捲蝦滑,440993,娃娃菜蒸肉,0.307
