id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
474407,小白菜吻仔魚粥,https://icook.tw/recipes/474407,白米、水、鹽、小白菜、糖、吻仔魚、胡椒粉、蒜末、米酒,白米1杯 | 水10杯 | 小白菜150克 | 吻仔魚80克 | 蒜末少許 | 鹽1/2小匙 | 糖少許 | 胡椒粉少許 | 米酒少許,小白菜洗淨，切小段；白米洗淨，瀝乾水分 | 熱鍋加入1大匙油，放入蒜末爆香後，加入吻仔魚炒至香酥，取出備用 | 取一個湯鍋，倒入10杯水煮沸，加入白米煮至軟爛；加入吻仔魚、小白菜，用調味料調味即可,小白菜吻仔魚粥。食材：白米1杯，水10杯，小白菜150克，吻仔魚80克，蒜末少許，鹽1/2小匙，糖少許，胡椒粉少許，米酒少許。做法：小白菜洗淨，切小段；白米洗淨，瀝乾水分，熱鍋加入1大匙油，放入蒜末爆香後，加入吻仔魚炒至香酥，取出備用，取一個湯鍋，倒入10杯水煮沸，加入白米煮至軟爛；加入吻仔魚、小白菜，用調味料調味即可。,小白菜/474407_小白菜吻仔魚粥.jpg
467864,蒜炒金針菇小白菜,https://icook.tw/recipes/467864,金針菇、小白菜、蒜頭、辣椒、香油、鹽巴白胡椒粉,金針菇0.5把 | 小白菜1包 | 蒜頭3顆 | 辣椒1根 | 香油少許 | 鹽巴白胡椒粉少許,"備菜：小白菜切段金針菇切段
將蒜頭切末辣椒切圈 | 熱鍋下油加入蒜頭和辣椒炒香
加入金針菇翻炒待出水
後加入和小白菜翻炒蓋鍋悶煮
最後加入鹽巴白胡椒粉調味
起過放入香油拌勻即可上菜囉","蒜炒金針菇小白菜。食材：金針菇0.5把，小白菜1包，蒜頭3顆，辣椒1根，香油少許，鹽巴白胡椒粉少許。做法：備菜：小白菜切段金針菇切段
將蒜頭切末辣椒切圈，熱鍋下油加入蒜頭和辣椒炒香
加入金針菇翻炒待出水
後加入和小白菜翻炒蓋鍋悶煮
最後加入鹽巴白胡椒粉調味
起過放入香油拌勻即可上菜囉。",小白菜/467864_蒜炒金針菇小白菜.jpg
462213,懶人料理-微波爐-雞肉小白菜,https://icook.tw/recipes/462213,小白菜、雞絞肉、醬油、水、鹽巴、大蒜粉、胡椒粉、香油,小白菜3把 | 雞絞肉1小盒 | 醬油2大匙 | 水2大匙 | 鹽巴少許 | 大蒜粉少許 | 胡椒粉少許 | 香油1大匙,雞絞肉稍微沖洗過濾乾，加香油、一點鹽巴、一點胡椒粉、一點大蒜粉拌勻 | 小白菜洗乾淨，將菜梗葉片剝開分離，菜梗鋪碗底，放上雞絞肉，最後放上菜葉，淋上兩大匙水跟醬油，蓋上保鮮膜微波四分鐘 | 打開來攪拌一下，雞絞肉很容易黏在一起，稍微用筷子攪開，菜葉往下浸到湯汁裡，保鮮膜再蓋上微波2分鐘,懶人料理-微波爐-雞肉小白菜。食材：小白菜3把，雞絞肉1小盒，醬油2大匙，水2大匙，鹽巴少許，大蒜粉少許，胡椒粉少許，香油1大匙。做法：雞絞肉稍微沖洗過濾乾，加香油、一點鹽巴、一點胡椒粉、一點大蒜粉拌勻，小白菜洗乾淨，將菜梗葉片剝開分離，菜梗鋪碗底，放上雞絞肉，最後放上菜葉，淋上兩大匙水跟醬油，蓋上保鮮膜微波四分鐘，打開來攪拌一下，雞絞肉很容易黏在一起，稍微用筷子攪開，菜葉往下浸到湯汁裡，保鮮膜再蓋上微波2分鐘。,小白菜/462213_懶人料理-微波爐-雞肉小白菜.jpg
447706,三杯小白菜,https://icook.tw/recipes/447706,小白菜段、薑絲、蒜碎、辣椒、酒、味霖、醬油、昆布柴魚高湯、香油、九層塔葉,小白菜段1抓 | 薑絲1撮 | 蒜碎1顆份 | 辣椒1根 | 酒5cc | 味霖3cc | 醬油3cc | 昆布柴魚高湯20cc | 香油少許 | 九層塔葉5片,"取小鍋子,放入薑絲,蒜碎,辣椒,酒,味霖及醬油煮滾出香氣續倒入昆布柴魚高湯. | 再滾收乾到9成時放入小白菜段邊拌邊加熱夠熟加香油與九層塔葉拌炒幾次即可.","三杯小白菜。食材：小白菜段1抓，薑絲1撮，蒜碎1顆份，辣椒1根，酒5cc，味霖3cc，醬油3cc，昆布柴魚高湯20cc，香油少許，九層塔葉5片。做法：取小鍋子,放入薑絲,蒜碎,辣椒,酒,味霖及醬油煮滾出香氣續倒入昆布柴魚高湯.，再滾收乾到9成時放入小白菜段邊拌邊加熱夠熟加香油與九層塔葉拌炒幾次即可.。",小白菜/447706_三杯小白菜.jpg
449916,薑絲小白菜 / 家常菜,https://icook.tw/recipes/449916,小白菜、嫩薑絲、油、鹽,小白菜550克 | 嫩薑絲25克 | 油1.5小匙 | 鹽1/3小匙,●小白菜買小農自種沒泡過水耐放，烹煮前一株株沖洗後，剪掉蒂頭再剪食指長段，泡水換水洗淨瀝乾。 | ●嫩薑刷洗乾淨用刨絲器具刨絲或者先切片再切絲。 | ●28吋不沾平底鍋小火加1.5小匙油，放薑絲煸香後先灑鹽。 | ●用雙手抓捧小白菜放進鍋中，蓋上鍋蓋設定計時器2分鐘。 | ●2分鐘到打開鍋蓋從下往上翻拌，開鍋蓋炒30秒讓小白菜熟透，熄火，完成啦。 | 純粹的美味,薑絲小白菜 / 家常菜。食材：小白菜550克，嫩薑絲25克，油1.5小匙，鹽1/3小匙。做法：●小白菜買小農自種沒泡過水耐放，烹煮前一株株沖洗後，剪掉蒂頭再剪食指長段，泡水換水洗淨瀝乾。，●嫩薑刷洗乾淨用刨絲器具刨絲或者先切片再切絲。，●28吋不沾平底鍋小火加1.5小匙油，放薑絲煸香後先灑鹽。，●用雙手抓捧小白菜放進鍋中，蓋上鍋蓋設定計時器2分鐘。，●2分鐘到打開鍋蓋從下往上翻拌，開鍋蓋炒30秒讓小白菜熟透，熄火，完成啦。，純粹的美味。,小白菜/449916_薑絲小白菜___家常菜.jpg
448828,小白菜雞肉湯,https://icook.tw/recipes/448828,雞腿肉、小白菜、水、鹽、米酒,雞腿肉1隻 | 小白菜1把 | 水2碗 | 鹽少許 | 米酒少許,"滾水先將雞腿肉川燙一遍去血水雜質
在滾一鍋水放入川燙好的雞肉加入米酒鹽
在滾一下熬湯底在放入切好的小白菜煮滾就完成了","小白菜雞肉湯。食材：雞腿肉1隻，小白菜1把，水2碗，鹽少許，米酒少許。做法：滾水先將雞腿肉川燙一遍去血水雜質
在滾一鍋水放入川燙好的雞肉加入米酒鹽
在滾一下熬湯底在放入切好的小白菜煮滾就完成了。",小白菜/448828_小白菜雞肉湯.jpg
446118,小白菜炒甜不辣,https://icook.tw/recipes/446118,小白菜、甜不辣條、雞粉、鹽巴、糖,小白菜2把 | 甜不辣條0.5杯 | 雞粉1匙 | 鹽巴1匙 | 糖0.5小匙,小白菜去跟部，切段洗淨備用 | 熱油鍋小火慢煎甜不辣，待甜不辣煎至微黃色 | 加入小白菜稍微翻炒融入甜不辣的香氣加入雞粉、鹽巴、糖煮至小白菜微軟,小白菜炒甜不辣。食材：小白菜2把，甜不辣條0.5杯，雞粉1匙，鹽巴1匙，糖0.5小匙。做法：小白菜去跟部，切段洗淨備用，熱油鍋小火慢煎甜不辣，待甜不辣煎至微黃色，加入小白菜稍微翻炒融入甜不辣的香氣加入雞粉、鹽巴、糖煮至小白菜微軟。,小白菜/446118_小白菜炒甜不辣.jpg
453904,小白菜燴炸腐竹,https://icook.tw/recipes/453904,小白菜、炸腐竹、鹽、食用油、醬油、薑、蒜片、花椒、乾辣椒(切小段),小白菜4棵 | 炸腐竹適量 | 食用油1大匙 | 薑3片 | 蒜片3瓣 | 花椒2克 | 乾辣椒(切小段)3根 | 鹽適量 | 醬油1大匙,炸腐竹淘洗一下，瀝乾水分，備用 | 小白菜洗淨切段，放入沸水中汆燙一下撈出，備用 | 起油鍋，放入薑片、蒜片、花椒、乾辣椒炒香後，倒入適量水煮沸，用鹽、醬油調味；放入炸腐竹煮至變軟，再加入作法2的小白菜炒均，即可關火盛出,小白菜燴炸腐竹。食材：小白菜4棵，炸腐竹適量，食用油1大匙，薑3片，蒜片3瓣，花椒2克，乾辣椒(切小段)3根，鹽適量，醬油1大匙。做法：炸腐竹淘洗一下，瀝乾水分，備用，小白菜洗淨切段，放入沸水中汆燙一下撈出，備用，起油鍋，放入薑片、蒜片、花椒、乾辣椒炒香後，倒入適量水煮沸，用鹽、醬油調味；放入炸腐竹煮至變軟，再加入作法2的小白菜炒均，即可關火盛出。,小白菜/453904_小白菜燴炸腐竹.jpg
436784,清炒小白菜,https://icook.tw/recipes/436784,小白菜、薑(絲)、塩、水、油,小白菜400克 | 薑(絲)10克 | 塩適量 | 水150ml | 油1匙,"準備材料。 | 薑洗淨切絲。小白菜洗淨切段(約4cm)

※美國的小白菜不像台灣的那白白幼幼的。🙄 | 大火熱鍋、下油、薑。 | 聞到薑的香氣，下小白菜和水。
蓋上蓋子悶煮1～2分鐘。 | 見菜軟化，菜梗略透，加半小匙塩拌勻。
試味道，再增減塩或水拌勻。

熄火，完成！","清炒小白菜。食材：小白菜400克，薑(絲)10克，塩適量，水150ml，油1匙。做法：準備材料。，薑洗淨切絲。小白菜洗淨切段(約4cm)

※美國的小白菜不像台灣的那白白幼幼的。🙄，大火熱鍋、下油、薑。，聞到薑的香氣，下小白菜和水。
蓋上蓋子悶煮1～2分鐘。，見菜軟化，菜梗略透，加半小匙塩拌勻。
試味道，再增減塩或水拌勻。

熄火，完成！。",小白菜/436784_清炒小白菜.jpg
433844,小白菜豆皮,https://icook.tw/recipes/433844,小白菜、豆皮、鹽、薑、味精、蒜、米酒、辣椒,小白菜2株 | 豆皮3張 | 薑適量 | 蒜適量 | 辣椒適量 | 鹽少量 | 味精少量 | 米酒適量,"切,略燙 | 切 | 切 | 切 | 薑切絲 | 爆 | 下豆皮炒 | 下小白菜,調味料 | 盛","小白菜豆皮。食材：小白菜2株，豆皮3張，薑適量，蒜適量，辣椒適量，鹽少量，味精少量，米酒適量。做法：切,略燙，切，切，切，薑切絲，爆，下豆皮炒，下小白菜,調味料，盛。",小白菜/433844_小白菜豆皮.jpg
