# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 30
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 184 組相似食譜
# 門檻 0.2: 72 組相似食譜
# 門檻 0.3: 30 組相似食譜
# 門檻 0.4: 17 組相似食譜
# 門檻 0.5: 8 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
436784,清炒小白菜,418842,薑絲炒小白菜,1.0
436784,清炒小白菜,405783,炒小白菜🥬,0.782
418842,薑絲炒小白菜,405783,炒小白菜🥬,0.782
434384,蒜炒小白菜/快炒/5分鐘/簡單快速,405783,炒小白菜🥬,0.678
424940,素食 小白菜炒飯,416776,小白菜煎蛋,0.64
429631,小白菜炒蛋,406925,小白菜炒菇菇,0.626
436784,清炒小白菜,438263,炒青菜｜薑絲小白菜,0.599
438263,炒青菜｜薑絲小白菜,418842,薑絲炒小白菜,0.599
433844,小白菜豆皮,415973,蘑菇小白菜,0.471
438263,炒青菜｜薑絲小白菜,405783,炒小白菜🥬,0.469
437922,小白菜炒肉片（減脂料理）,425372,香菇炒小白菜,0.46
425292,蝦仁清炒小白菜,473712,低卡蝦仁煎🍤🔹樂樂瑪麻,0.453
434384,蒜炒小白菜/快炒/5分鐘/簡單快速,437922,小白菜炒肉片（減脂料理）,0.451
460978,韓式小白菜泡菜(二),411308,小白菜泡菜얼갈이김치,0.437
436784,清炒小白菜,406925,小白菜炒菇菇,0.433
418842,薑絲炒小白菜,406925,小白菜炒菇菇,0.433
467864,蒜炒金針菇小白菜,437922,小白菜炒肉片（減脂料理）,0.409
434384,蒜炒小白菜/快炒/5分鐘/簡單快速,422712,炒小白菜,0.396
467864,蒜炒金針菇小白菜,434384,蒜炒小白菜/快炒/5分鐘/簡單快速,0.377
434384,蒜炒小白菜/快炒/5分鐘/簡單快速,425372,香菇炒小白菜,0.356
439385,60🍱蜂蜜奶油豬肉、蔥爆豬肉、蛋炒小白菜,437922,小白菜炒肉片（減脂料理）,0.354
433844,小白菜豆皮,437922,小白菜炒肉片（減脂料理）,0.35
436784,清炒小白菜,422712,炒小白菜,0.343
422712,炒小白菜,418842,薑絲炒小白菜,0.343
479385,寶寶·吻仔魚小白菜蛋黃粥,474407,小白菜吻仔魚粥,0.342
405783,炒小白菜🥬,406925,小白菜炒菇菇,0.339
433844,小白菜豆皮,425372,香菇炒小白菜,0.325
429631,小白菜炒蛋,416776,小白菜煎蛋,0.32
467864,蒜炒金針菇小白菜,425372,香菇炒小白菜,0.308
437922,小白菜炒肉片（減脂料理）,405783,炒小白菜🥬,0.306
