id,name,document
478968,涼拌小黃瓜,小黃瓜 糖 紅辣椒或辣椒醬
479380,醬漬小黃瓜,小黃瓜 醋 醬油 糖 芝麻油 蒜頭
478269,皮蛋涼拌小黃瓜,皮蛋 小黃瓜 醬油 香菜 白醋 白芝麻 蒜末 糖 蠔油
478038,臘腸炒小黃瓜,臘腸 肝腸 蠔油 小黃瓜 蒜頭
478088,蝦仁炒蛋小黃瓜,蒜頭 紅蘿蔔 小黃瓜 蝦仁 雞蛋 白胡椒
479279,鳳梨涼拌小黃瓜(純素),鳳梨 小黃瓜 砂糖 蘋果醋 檸檬汁 食鹽
477721,涼拌小黃瓜🥒,小黃瓜 蒜頭 辣椒 白醋 糖
471979,蠔油味小黃瓜炒蛋,小黃瓜 雞蛋 蠔油 雞粉
476623,小黃瓜蛋餅,小黃瓜 蛋 蛋餅皮 醬油膏 起士片
478615,麻香涼拌小黃瓜,小黃瓜 蒜泥 紅花椒油 辣椒 紅花椒鹽 醬油 蠔油 醋
478459,《開胃涼拌菜》青梅小黃瓜,小黃瓜 青梅 白醋 薑片 梅乾
476349,涼拌小黃瓜皮蛋,小黃瓜 皮蛋 李錦記 頭道零添加原釀醬油 白醋 麻油 芝麻 辣椒 香菜
458242,芋頭貢丸炒小黃瓜,小黃瓜 芋頭貢丸 蒜 雞湯粉
479621,芝麻油拌小黃瓜蟹肉絲,小黃瓜 蟹肉棒 芝麻油 白芝麻
477182,香辣涼拌小黃瓜,小黃瓜 糖二砂或細砂 榛果伍仁辣椒醬 奧勒岡榛果油頂級
479349,♡雪碧小黃瓜♡,小黃瓜 蒜末 朝天椒 白糖 工研醋 雪碧
468319,小黃瓜炒德國香腸,小黃瓜 德國香腸 雞粉 糖
479135,減醣小菜-奶油小黃瓜,小黃瓜
463175,小黃瓜炒香菇,小黃瓜 香菇 雞粉 紅蘿蔔片 蠔油
467978,小黃瓜炒百葉豆腐,小黃瓜 百葉豆腐 蠔油 雞粉
475780,涼拌鮪魚小黃瓜🎶,小黃瓜 同榮鮪魚醬
477592,涼拌菜 小黃瓜皮蛋佐香菜,小黃瓜 皮蛋 香菜 純香油 醬油 醬油膏 糖
477529,夏日涼拌菜- 辣味韓式小黃瓜,小黃瓜 砂糖 韓式辣味萬用醬 糖 蒜末 韓式辣椒粉 白芝麻
460559,小黃瓜炒麵腸,麵腸 小黃瓜 雞粉 紅蘿蔔片
475468,蒜香雞肉小黃瓜,雞里肌肉 小黃瓜 蒜片 醬油 黑胡椒粉 太白粉 米酒 糖
473165,油潑辣子小黃瓜炒皮蛋,小黃瓜 綠花椰 雞粉 皮蛋 香菜 油潑辣子
477003,小黃瓜優格鮪魚玉米,小黃瓜 無糖優格 鮪魚 玉米 蜂蜜 醬油 胡椒粉
478711,夏日小菜同樂會-小黃瓜沾醬,花生醬 沙拉醬 水果小黃瓜
478982,涼拌小黃瓜雪白菇秋葵,小黃瓜 雪白菇 醬油 秋葵 烏醋 白芝麻 紅蘿蔔 糖 香蒜粒 檸檬汁
473439,香煎小熱狗炒小黃瓜,小熱狗市售 蒜頭 小黃瓜 紅蘿蔔 蕃茄醬 盬
476311,【全素】薑鮮小黃瓜,小黃瓜 里仁 薑香鮮味醬
466815,糖醋豬後腿肉丁炒小黃瓜,糖醋豬後腿肉丁 小黃瓜 番茄醬 蓮藕 糖醋醬 砂糖
466817,咖喱肉絲炒小黃瓜,肉絲 小黃瓜 雞粉 米酒 太白 咖喱粉
471817,辣味涼拌小黃瓜,小黃瓜 蒜末 米醋 辣椒醬
477860,脆皮燒肉佐涼拌小黃瓜,脆皮燒肉 小黃瓜 蒜瓣 天時野櫻莓果醋
468885,味噌小黃瓜,小黃瓜 羅漢果糖 味噌 米酒
461173,海帶結炒小黃瓜,海帶結 小黃瓜 紅蘿蔔片 雞粉 蒜末 蠔油
