# 分析摘要
# 最高相似度: 0.883
# 建議門檻: 0.71 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 44
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 213 組相似食譜
# 門檻 0.2: 92 組相似食譜
# 門檻 0.3: 44 組相似食譜
# 門檻 0.4: 20 組相似食譜
# 門檻 0.5: 8 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
477721,涼拌小黃瓜🥒,475951,涼拌小黃瓜(蒜辣口味）,0.883
477721,涼拌小黃瓜🥒,478571,蒜味涼拌小黃瓜,0.833
478571,蒜味涼拌小黃瓜,475951,涼拌小黃瓜(蒜辣口味）,0.736
478433,夏日小菜同樂會-小黃瓜涼拌菜,473943,凉拌小黃瓜 🥒🥒,0.724
477813,涼拌小黃瓜 / 蛇型,477860,脆皮燒肉佐涼拌小黃瓜,0.698
463175,小黃瓜炒香菇,461173,海帶結炒小黃瓜,0.56
479380,醬漬小黃瓜,475951,涼拌小黃瓜(蒜辣口味）,0.501
471979,蠔油味小黃瓜炒蛋,467978,小黃瓜炒百葉豆腐,0.501
463175,小黃瓜炒香菇,460559,小黃瓜炒麵腸,0.489
478269,皮蛋涼拌小黃瓜,477592,涼拌菜 小黃瓜皮蛋佐香菜,0.466
479176,涼拌小黃瓜食譜（蒜味版）,475951,涼拌小黃瓜(蒜辣口味）,0.461
460559,小黃瓜炒麵腸,461173,海帶結炒小黃瓜,0.445
479380,醬漬小黃瓜,479621,芝麻油拌小黃瓜蟹肉絲,0.432
478750,醃小黃瓜,478433,夏日小菜同樂會-小黃瓜涼拌菜,0.43
478750,醃小黃瓜,473943,凉拌小黃瓜 🥒🥒,0.43
471979,蠔油味小黃瓜炒蛋,463175,小黃瓜炒香菇,0.429
477721,涼拌小黃瓜🥒,478433,夏日小菜同樂會-小黃瓜涼拌菜,0.424
477721,涼拌小黃瓜🥒,473943,凉拌小黃瓜 🥒🥒,0.424
463175,小黃瓜炒香菇,467978,小黃瓜炒百葉豆腐,0.408
478459,《開胃涼拌菜》青梅小黃瓜,473943,凉拌小黃瓜 🥒🥒,0.403
478571,蒜味涼拌小黃瓜,476349,涼拌小黃瓜皮蛋,0.393
471979,蠔油味小黃瓜炒蛋,461173,海帶結炒小黃瓜,0.391
478571,蒜味涼拌小黃瓜,477813,涼拌小黃瓜 / 蛇型,0.387
478750,醃小黃瓜,477529,夏日涼拌菜- 辣味韓式小黃瓜,0.385
478433,夏日小菜同樂會-小黃瓜涼拌菜,475951,涼拌小黃瓜(蒜辣口味）,0.375
473943,凉拌小黃瓜 🥒🥒,475951,涼拌小黃瓜(蒜辣口味）,0.375
467978,小黃瓜炒百葉豆腐,461173,海帶結炒小黃瓜,0.371
477592,涼拌菜 小黃瓜皮蛋佐香菜,473165,油潑辣子小黃瓜炒皮蛋,0.357
478269,皮蛋涼拌小黃瓜,476349,涼拌小黃瓜皮蛋,0.355
478750,醃小黃瓜,479279,鳳梨涼拌小黃瓜(純素),0.354
478269,皮蛋涼拌小黃瓜,473165,油潑辣子小黃瓜炒皮蛋,0.35
478750,醃小黃瓜,466815,糖醋豬後腿肉丁炒小黃瓜,0.347
478615,麻香涼拌小黃瓜,475951,涼拌小黃瓜(蒜辣口味）,0.338
478571,蒜味涼拌小黃瓜,479176,涼拌小黃瓜食譜（蒜味版）,0.337
478750,醃小黃瓜,479135,減醣小菜-奶油小黃瓜,0.334
478088,蝦仁炒蛋小黃瓜,471979,蠔油味小黃瓜炒蛋,0.334
478269,皮蛋涼拌小黃瓜,477529,夏日涼拌菜- 辣味韓式小黃瓜,0.331
477721,涼拌小黃瓜🥒,476349,涼拌小黃瓜皮蛋,0.328
478088,蝦仁炒蛋小黃瓜,473439,香煎小熱狗炒小黃瓜,0.327
478269,皮蛋涼拌小黃瓜,475951,涼拌小黃瓜(蒜辣口味）,0.326
477721,涼拌小黃瓜🥒,477813,涼拌小黃瓜 / 蛇型,0.322
478269,皮蛋涼拌小黃瓜,479176,涼拌小黃瓜食譜（蒜味版）,0.316
479380,醬漬小黃瓜,477721,涼拌小黃瓜🥒,0.315
478269,皮蛋涼拌小黃瓜,461173,海帶結炒小黃瓜,0.31
