id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
478003,醬油山藥,https://icook.tw/recipes/478003,山藥、醬油,山藥200克 | 醬油1小匙,山藥削皮，鍋子噴薄油，放下切片的山藥（厚度不到1公分，太厚就要煎久一點） | 兩面煎出色，這樣子灑上一點胡椒鹽就可以吃，焦脆香口感。 | 這次加上一小匙甜口醬油，翻拌之後收乾出鍋。,醬油山藥。食材：山藥200克，醬油1小匙。做法：山藥削皮，鍋子噴薄油，放下切片的山藥（厚度不到1公分，太厚就要煎久一點），兩面煎出色，這樣子灑上一點胡椒鹽就可以吃，焦脆香口感。，這次加上一小匙甜口醬油，翻拌之後收乾出鍋。。,山藥/478003_醬油山藥.jpg
476835,山藥排骨麵線,https://icook.tw/recipes/476835,排骨、山藥、娃娃菜、麵線、去籽紅棗、枸杞、薑片、米酒(可省略)、鹽、水,排骨400克 | 山藥250克 | 娃娃菜1包 | 麵線3把 | 去籽紅棗3～5顆 | 枸杞少許 | 薑片5片 | 米酒(可省略)0.5大匙 | 鹽適量 | 水1300毫升,鍋中加入冷水（約1200–1300 ml）、川燙後的排骨、薑片、紅棗、米酒，開中大火煮至湯滾，期間可撈除浮沫，湯滾後轉小火，開始計時 40 分鐘 | 加入山藥，繼續煮 10 分鐘，起另一鍋開始煮麵線（麵線煮熟撈起，泡冷水避免糊掉） | 加入枸杞與娃娃菜，再煮 2 分鐘 | 熄火，依口味加鹽,山藥排骨麵線。食材：排骨400克，山藥250克，娃娃菜1包，麵線3把，去籽紅棗3～5顆，枸杞少許，薑片5片，米酒(可省略)0.5大匙，鹽適量，水1300毫升。做法：鍋中加入冷水（約1200–1300 ml）、川燙後的排骨、薑片、紅棗、米酒，開中大火煮至湯滾，期間可撈除浮沫，湯滾後轉小火，開始計時 40 分鐘，加入山藥，繼續煮 10 分鐘，起另一鍋開始煮麵線（麵線煮熟撈起，泡冷水避免糊掉），加入枸杞與娃娃菜，再煮 2 分鐘，熄火，依口味加鹽。,山藥/476835_山藥排骨麵線.jpg
474656,明太子烤山藥,https://icook.tw/recipes/474656,山藥、明太子醬、沙拉醬,山藥1小段 | 明太子醬1大匙 | 沙拉醬1大匙,山藥削外皮切塊狀 | 將明太子和沙拉醬以1:1攪拌均勻 | 均勻抹在山藥上 | 放入氣炸鍋180度 10分鐘 | 烤到表面微焦就完成了,明太子烤山藥。食材：山藥1小段，明太子醬1大匙，沙拉醬1大匙。做法：山藥削外皮切塊狀，將明太子和沙拉醬以1:1攪拌均勻，均勻抹在山藥上，放入氣炸鍋180度 10分鐘，烤到表面微焦就完成了。,山藥/474656_明太子烤山藥.jpg
476698,山藥紅蘿蔔軟骨肉,https://icook.tw/recipes/476698,豬軟骨、洋蔥、薑、蔥、米酒、紅蘿蔔、山藥、醬油、糖,豬軟骨600克 | 洋蔥1顆 | 薑4片 | 蔥1根 | 米酒1大匙 | 紅蘿蔔1條 | 山藥50克 | 醬油1大匙 | 糖1大匙,豬軟骨有先用蔥薑米酒去血水跟清洗渣質。 | 煮一鍋水加入洋蔥，蔥，薑，米酒，將肉燉煮30分。以上都是因為要煮肝連肉，一起煮軟骨才不浪費電，也可以直接當肉骨湯吃了。 | 將紅蘿蔔鋪底，舀一些湯沒過肉一半，上面放山藥燜煮。 | 燜煮十分鐘，適時翻一下。不需要次數太多，不然就會變這樣碎碎的，冷凍過紅蘿蔔跟新鮮山藥很快熟透，就可以出鍋了。,山藥紅蘿蔔軟骨肉。食材：豬軟骨600克，洋蔥1顆，薑4片，蔥1根，米酒1大匙，紅蘿蔔1條，山藥50克，醬油1大匙，糖1大匙。做法：豬軟骨有先用蔥薑米酒去血水跟清洗渣質。，煮一鍋水加入洋蔥，蔥，薑，米酒，將肉燉煮30分。以上都是因為要煮肝連肉，一起煮軟骨才不浪費電，也可以直接當肉骨湯吃了。，將紅蘿蔔鋪底，舀一些湯沒過肉一半，上面放山藥燜煮。，燜煮十分鐘，適時翻一下。不需要次數太多，不然就會變這樣碎碎的，冷凍過紅蘿蔔跟新鮮山藥很快熟透，就可以出鍋了。。,山藥/476698_山藥紅蘿蔔軟骨肉.jpg
467394,山藥,https://icook.tw/recipes/467394,梅花肉塊、蕃茄、紅蘿蔔、玉米、山藥、糖、鹽,梅花肉塊500克 | 蕃茄2個 | 紅蘿蔔1條 | 玉米1支 | 山藥半斤 | 糖1小匙 | 鹽2小匙,梅花肉塊入乾鍋，出了油後放入蕃茄拌炒。 | 蕃茄軟後加一小匙糖。 | 加入水、紅蘿蔔、玉米塊。煮約二十分鐘。 | 山藥。 | 滾約十分鐘即可，加些鹽。又有點鬆軟又帶些Q感。 | 盛入碗中。,山藥。食材：梅花肉塊500克，蕃茄2個，紅蘿蔔1條，玉米1支，山藥半斤，糖1小匙，鹽2小匙。做法：梅花肉塊入乾鍋，出了油後放入蕃茄拌炒。，蕃茄軟後加一小匙糖。，加入水、紅蘿蔔、玉米塊。煮約二十分鐘。，山藥。，滾約十分鐘即可，加些鹽。又有點鬆軟又帶些Q感。，盛入碗中。。,山藥/467394_山藥.jpg
476492,電鍋-蓮子山藥排骨湯,https://icook.tw/recipes/476492,山藥、蓮子、全聯排骨肉、鹽巴,山藥1根 | 蓮子4大匙 | 全聯排骨肉1盒 | 鹽巴6小匙,排骨肉、蓮子、山藥過水洗淨後放入鍋中 | 加水至7分滿 | 放入電鍋 | 外鍋加2杯水 | 彈起後即可。,電鍋-蓮子山藥排骨湯。食材：山藥1根，蓮子4大匙，全聯排骨肉1盒，鹽巴6小匙。做法：排骨肉、蓮子、山藥過水洗淨後放入鍋中，加水至7分滿，放入電鍋，外鍋加2杯水，彈起後即可。。,山藥/476492_電鍋-蓮子山藥排骨湯.jpg
472217,人蔘山藥雞湯,https://icook.tw/recipes/472217,玉米雞、山藥、蔘鬚、老薑、黃耆、鹽、甘草、雞粉、紅棗、清水、枸杞、米酒/黃酒,玉米雞600g | 山藥600g | 老薑6片 | 鹽1茶匙 | 雞粉1茶匙 | 清水3ℓ | 蔘鬚1兩/37g | 黃耆10片 | 甘草2片 | 紅棗8顆 | 枸杞1大匙 | 米酒/黃酒300ml,碗中加入蔘鬚、黃耆、甘草、大棗、枸杞，加米酒或黃酒浸泡一晚 | 戴上手套，將山藥去皮、洗淨，然後切成小片或小塊【泡水防止氧化變色】 | 鍋中加入薑片、汆燙好的玉米雞，再加冷水、藥酒與藥材 | 小火燉煮40~60分鐘 | 加入山藥，繼續燉煮20分鐘 | 調入鹽、雞粉，最後撒上枸杞即可,人蔘山藥雞湯。食材：玉米雞600g，山藥600g，老薑6片，鹽1茶匙，雞粉1茶匙，清水3ℓ，蔘鬚1兩/37g，黃耆10片，甘草2片，紅棗8顆，枸杞1大匙，米酒/黃酒300ml。做法：碗中加入蔘鬚、黃耆、甘草、大棗、枸杞，加米酒或黃酒浸泡一晚，戴上手套，將山藥去皮、洗淨，然後切成小片或小塊【泡水防止氧化變色】，鍋中加入薑片、汆燙好的玉米雞，再加冷水、藥酒與藥材，小火燉煮40~60分鐘，加入山藥，繼續燉煮20分鐘，調入鹽、雞粉，最後撒上枸杞即可。,山藥/472217_人蔘山藥雞湯.jpg
471625,《山藥排骨湯》,https://icook.tw/recipes/471625,軟骨肉或排骨、山藥、枸杞、紅棗、薑片、熱水、飲用水、鹽,軟骨肉或排骨男生手掌大小 | 山藥2個拳頭大小 | 枸杞1小把 | 紅棗5顆 | 薑片3片 | 熱水適量 | 飲用水鍋子7分滿 | 鹽適量,"將軟骨肉用熱水川燙洗一下血水雜質山藥切約1cm厚的條狀
（切的形狀可以看自己喜好）薑片切好備用枸杞、紅棗沖一下水
（紅棗如果沒去核的，用刀子畫一下，不用切斷） | 將肉放鍋內，在放入山藥、枸杞、紅棗、薑片

飲用水加入到7分滿
（最少也要蓋過食材） | 放入電鍋選擇燉湯模式
（有煲湯模式可以用煲湯） | 燉煮時間到，就可以加鹽巴調味
（依照自己喜好加量）","《山藥排骨湯》。食材：軟骨肉或排骨男生手掌大小，山藥2個拳頭大小，枸杞1小把，紅棗5顆，薑片3片，熱水適量，飲用水鍋子7分滿，鹽適量。做法：將軟骨肉用熱水川燙洗一下血水雜質山藥切約1cm厚的條狀
（切的形狀可以看自己喜好）薑片切好備用枸杞、紅棗沖一下水
（紅棗如果沒去核的，用刀子畫一下，不用切斷），將肉放鍋內，在放入山藥、枸杞、紅棗、薑片

飲用水加入到7分滿
（最少也要蓋過食材），放入電鍋選擇燉湯模式
（有煲湯模式可以用煲湯），燉煮時間到，就可以加鹽巴調味
（依照自己喜好加量）。",山藥/471625_《山藥排骨湯》.jpg
457590,山藥雞肉枸杞五穀粥,https://icook.tw/recipes/457590,白米與五穀米、山藥、枸杞、雞腿肉、鹽巴、香菜,白米與五穀米1.5杯 | 山藥100g | 枸杞1小把 | 雞腿肉100g | 鹽巴1小匙 | 香菜幾小葉,山藥去皮切塊，雞肉要先川燙過後切塊(雞肉我是前一天睡前，川燙好冰過的，所以才這個顏色) | 把山藥，雞肉，枸杞，五穀米+白米，鹽放進電鍋一起燉 | 加上香菜 | 完成,山藥雞肉枸杞五穀粥。食材：白米與五穀米1.5杯，山藥100g，枸杞1小把，雞腿肉100g，鹽巴1小匙，香菜幾小葉。做法：山藥去皮切塊，雞肉要先川燙過後切塊(雞肉我是前一天睡前，川燙好冰過的，所以才這個顏色)，把山藥，雞肉，枸杞，五穀米+白米，鹽放進電鍋一起燉，加上香菜，完成。,山藥/457590_山藥雞肉枸杞五穀粥.jpg
471870,山藥補氣雞湯,https://icook.tw/recipes/471870,山藥（全聯切好的、雞腿肉、枸杞、紅棗、黨蔘、米酒、鹽巴/味精、味醂、香菇,山藥（全聯切好的2包 | 雞腿肉1盒 | 枸杞1碗 | 紅棗15顆 | 黨蔘4根 | 米酒1大匙 | 鹽巴/味精3小匙 | 味醂1小匙 | 香菇1碗,雞腿肉皮向下煎到黃金，再翻面，再加入水滾了之後，再換鍋子，調味料 | 山藥、枸杞、紅棗、黨蔘、香菇就可以下去囉，大火滾後可以再用小火燜煮19分鐘，調味料可以自行再調整,山藥補氣雞湯。食材：山藥（全聯切好的2包，雞腿肉1盒，枸杞1碗，紅棗15顆，黨蔘4根，米酒1大匙，鹽巴/味精3小匙，味醂1小匙，香菇1碗。做法：雞腿肉皮向下煎到黃金，再翻面，再加入水滾了之後，再換鍋子，調味料，山藥、枸杞、紅棗、黨蔘、香菇就可以下去囉，大火滾後可以再用小火燜煮19分鐘，調味料可以自行再調整。,山藥/471870_山藥補氣雞湯.jpg
