# 分析摘要
# 最高相似度: 0.520
# 建議門檻: 0.42 (最高相似度的80%)
# 總食譜組合數: 1035
# 當前分析門檻: 0.3
# 符合門檻組合數: 26
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 207 組相似食譜
# 門檻 0.2: 77 組相似食譜
# 門檻 0.3: 26 組相似食譜
# 門檻 0.4: 10 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
457636,山藥枸杞雞湯  電鍋料理,463854,馬告山藥雞湯,0.52
469443,山藥排骨湯,466586,山藥玉米排骨湯,0.519
469737,山藥雞腿湯,473914,山藥蟲草菌菇雞腿湯,0.507
478003,醬油山藥,476698,山藥紅蘿蔔軟骨肉,0.502
466020,紅薯餅（紫山藥餅）,451043,紫山藥煎餅,0.474
471625,《山藥排骨湯》,474650,山藥排骨湯  ｜北鼎多功能蒸燉鍋,0.462
474629,山藥紅蘿蔔玉米排骨湯,459048,山藥蘋果排骨湯,0.419
469443,山藥排骨湯,474650,山藥排骨湯  ｜北鼎多功能蒸燉鍋,0.412
474629,山藥紅蘿蔔玉米排骨湯,474650,山藥排骨湯  ｜北鼎多功能蒸燉鍋,0.41
474629,山藥紅蘿蔔玉米排骨湯,466584,蓮藕山藥排骨湯,0.404
474629,山藥紅蘿蔔玉米排骨湯,469443,山藥排骨湯,0.381
467394,山藥,466584,蓮藕山藥排骨湯,0.375
474629,山藥紅蘿蔔玉米排骨湯,466586,山藥玉米排骨湯,0.372
476492,電鍋-蓮子山藥排骨湯,464300,白木耳山藥甜湯,0.369
457590,山藥雞肉枸杞五穀粥,469443,山藥排骨湯,0.365
471190,山藥排骨湯（電鍋）,474650,山藥排骨湯  ｜北鼎多功能蒸燉鍋,0.365
457590,山藥雞肉枸杞五穀粥,466586,山藥玉米排骨湯,0.356
471625,《山藥排骨湯》,474629,山藥紅蘿蔔玉米排骨湯,0.351
466584,蓮藕山藥排骨湯,471609,哈佛蔬菜湯+山藥排骨湯,0.347
466584,蓮藕山藥排骨湯,459048,山藥蘋果排骨湯,0.336
472462,紅棗山藥涼糕｜Vitamix,474629,山藥紅蘿蔔玉米排骨湯,0.332
471609,哈佛蔬菜湯+山藥排骨湯,468995,豬五花山藥玉米火鍋,0.321
472462,紅棗山藥涼糕｜Vitamix,459048,山藥蘋果排骨湯,0.319
478003,醬油山藥,466120,電鍋出好菜山藥蒸肉餅,0.315
469214,山藥紅豆湯🎶,466020,紅薯餅（紫山藥餅）,0.309
476835,山藥排骨麵線,474650,山藥排骨湯  ｜北鼎多功能蒸燉鍋,0.303
