# 分析摘要
# 最高相似度: 0.717
# 建議門檻: 0.57 (最高相似度的80%)
# 總食譜組合數: 861
# 當前分析門檻: 0.3
# 符合門檻組合數: 24
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 193 組相似食譜
# 門檻 0.2: 61 組相似食譜
# 門檻 0.3: 24 組相似食譜
# 門檻 0.4: 11 組相似食譜
# 門檻 0.5: 6 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
472766,茄汁煮山蘇,462767,蔭瓜山蘇,0.717
462767,蔭瓜山蘇,403805,豆豉山蘇,0.688
472766,茄汁煮山蘇,403805,豆豉山蘇,0.652
285497,📝征服饕者的胃~豆豉山蘇★okane☆,243188,山蘇小魚干,0.613
451307,山蘇炒肉絲,446554,山蘇炒香菇,0.537
403805,豆豉山蘇,285497,📝征服饕者的胃~豆豉山蘇★okane☆,0.504
473407,炒山蘇,430653,快炒山蘇,0.479
446554,山蘇炒香菇,430653,快炒山蘇,0.473
430653,快炒山蘇,365592,小魚乾炒山蘇,0.461
332324,小魚干炒山蘇,243188,山蘇小魚干,0.44
451307,山蘇炒肉絲,430653,快炒山蘇,0.412
452639,樹子炒山蘇,446554,山蘇炒香菇,0.4
430653,快炒山蘇,332324,小魚干炒山蘇,0.39
432271,豆豉小魚乾炒山蘇,285497,📝征服饕者的胃~豆豉山蘇★okane☆,0.367
318533,樹子炒山蘇【飛利浦智慧萬用電子鍋】,285497,📝征服饕者的胃~豆豉山蘇★okane☆,0.361
451864,吻仔魚炒山蘇,390400,鮮蚵炒山蘇,0.353
451307,山蘇炒肉絲,452639,樹子炒山蘇,0.349
452639,樹子炒山蘇,371463,樹子山蘇,0.337
430653,快炒山蘇,272873,❤️樹子炒山蘇❤️,0.337
318533,樹子炒山蘇【飛利浦智慧萬用電子鍋】,294414,薑味樹子山蘇,0.335
401344,樹子小魚山蘇,318533,樹子炒山蘇【飛利浦智慧萬用電子鍋】,0.325
385524,味噌炒山蘇,362026,♡山蘇炒小魚乾♡,0.316
403805,豆豉山蘇,243188,山蘇小魚干,0.309
318533,樹子炒山蘇【飛利浦智慧萬用電子鍋】,243188,山蘇小魚干,0.301
