id,name,document
479142,櫛瓜肉卷 (櫛瓜料理懶人包),里肌肉 櫛瓜 黑胡椒粒 蒜瓣 白胡椒粉 五香粉 蠔油 雞蛋
479194,櫛瓜煎餅,櫛瓜 煎餅粉
474077,蒜香櫛瓜義麵,草蝦 蘑菇 櫛瓜 黑胡椒粗粒 蒜頭
478569,煎櫛瓜,櫛瓜
479657,鮭魚櫛瓜炒飯,鮭魚排挑刺切丁 櫛瓜切丁 蔥切末 隔夜飯 雞蛋 蒜頭切末 白胡椒粉 糖
479247,牛肉炒櫛瓜,櫛瓜 好市多牛肉片
477885,節瓜炒蝦仁,節瓜 蝦仁 香蒜粉
477863,清爽櫛瓜麵,櫛瓜 番茄 好市多胡椒鹽 水煮蛋 美乃滋優格
478228,韓式櫛瓜煎餅,櫛瓜 蛋 醬油 中筋麵粉 白醋 糖 白芝麻
479255,櫛瓜炒鮮蝦,櫛瓜 蝦仁 蒜頭
479459,櫛瓜蒜味鹹豬肉,櫛瓜 鹹豬肉 紅蘿蔔 洋蔥 蒜頭 辣椒 蒜苗 青蔥
477265,櫛瓜豆腐包,李錦記 頭道零添加原釀醬油 家常豆腐 櫛瓜 紅辣椒 蜂蜜 白醋 太白粉
479428,櫛瓜起司堡,櫛瓜 起司片 安食小品黑豆醬油
479391,椒鹽櫛瓜炒雞,去骨雞腿肉切塊 櫛瓜切塊 蔥切末 洋蔥切絲 白胡椒粉 蒜頭切末 花生 低筋麵粉 辣椒 花椒粉
479165,堅果櫛瓜炒雞丁,雞里肌肉 櫛瓜 米酒 蒜頭 醬油 青蔥 太白粉 穀卡卡辣辣堅果
473780,金沙板豆腐燴節瓜,板豆腐 節瓜 金沙風味調味粉
478838,蒜香櫛瓜炒蛋,蒜末 雞蛋 櫛瓜切丁 黑胡椒
475878,櫛瓜水果沙拉,生菜 綜合水果 櫛瓜 水果醋
479607,焗烤/鹽烤櫛瓜,櫛瓜 起司絲 胡椒粒
479736,櫛瓜花枝蝦滑堡,櫛瓜 花枝蝦滑 安食小品黑豆醬油
477440,櫛瓜烘蛋🎶,櫛瓜 雞蛋 蔥 白胡椒粉
475254,地中海櫛瓜橄欖吐司,吐司 奶油 菲達起司 洋蔥 黑橄欖 大蒜 酸豆 櫛瓜小 大蒜泥 乾燥薄荷 鯷魚醬 黑胡椒 檸檬汁 胡椒 新鮮巴西里
476219,沙茶牛肉炒櫛瓜,牛肉片 櫛瓜 沙茶 蒜頭 醬油膏 醬油 酒 太白粉
472707,櫛瓜高麗菜 / 家常菜,高麗菜 櫛瓜 蒜瓣 黑胡椒粒
470880,櫛瓜煎蛋,櫛瓜 雞蛋 奶油
475809,櫛瓜蝦滑捲,櫛瓜 蝦子 雞蛋 低筋麵粉
476528,焗烤嫩蛋節瓜,節瓜中型 雞蛋 胡椒鹽少許 乳酪絲少許
475087,金沙櫛瓜炒雞,去骨雞腿肉切塊 櫛瓜切塊 蔥切末 鹹蛋黃搗碎 蒜頭切末 鹹蛋白切碎 辣椒切段 黑胡椒粉 低筋麵粉 糖 白胡椒粉
473230,泡菜櫛瓜炒雞胸肉,雞胸肉 櫛瓜 泡菜
476481,櫛瓜起司烤餅,金御園蔥抓餅 櫛瓜 起士絲 鮮奶油
475970,蒜香涼拌鮪魚櫛瓜,櫛瓜 水煮鮪魚罐頭 蒜頭 醬油 麻油 砂糖 黑胡椒鹽或白胡椒粉 辣椒 白芝麻
474219,茄汁櫛瓜雞丁,雞胸肉切塊 櫛瓜切片 蒜頭切末 白芝麻 白胡椒粉 番茄醬 低筋麵粉 糖 白醋 清水
477527,清爽櫛瓜壽司捲（蛋素）,櫛瓜 雞蛋1顆 越光米 紅蘿蔔丁 壽司醋 醃漬紫蘇 白芝麻 香菇調味露
477029,每日堅果櫛瓜青醬義大利麵,義大利麵 無調味綜合堅果 櫛瓜 大蒜 九層塔或羅勒 新鮮薄荷 Pecorino羅馬綿羊乳酪 胡椒
470473,櫛瓜牛肉捲,牛小排火鍋肉片 櫛瓜 醬油 日式醬油 味醂 細砂糖 烹大師干貝風味調味粉
476646,櫛瓜花枝漿豆皮捲,李錦記 頭道零添加原釀醬油 櫛瓜 花枝漿 豆包
476336,韭菜菇菇炒櫛瓜麵,李錦記 頭道零添加原釀醬油 櫛瓜 紅蘿蔔 乾香菇 黑蠔菇 韭菜 雞蛋 蒜末
477615,麻油薑泥櫛瓜炒飯（蛋素）,雞蛋 麻油薑泥 福井縣越光米飯 櫛瓜 香菇調味露 白芝麻 玄米油
478654,蒜香奶油櫛瓜杏鮑菇,杏鮑菇切塊 櫛瓜切塊 蒜頭切末 洋蔥切絲 辣椒 黑胡椒粉 無鹽奶油 義大利綜合香料 糖
477997,Vegan 椰奶櫛瓜湯(燜燒鍋版),綠櫛瓜切圓片 洋蔥切丁 大蒜碎 蔬菜高湯 現磨黑胡椒 椰奶 巴西里葉
474107,米紙-香菇豆腐櫛瓜捲,櫛瓜 板豆腐 素蠔油 乾香菇 米紙 薑末 蔥切蔥花
