# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 20
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 175 組相似食譜
# 門檻 0.2: 66 組相似食譜
# 門檻 0.3: 20 組相似食譜
# 門檻 0.4: 9 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
478569,煎櫛瓜,470628,簡單-氣炸櫛瓜,1.0
479255,櫛瓜炒鮮蝦,472321,櫛瓜炒蝦仁,0.645
478796,香煎櫛瓜,471553,氣炸鍋～櫛瓜,0.56
479391,椒鹽櫛瓜炒雞,475087,金沙櫛瓜炒雞,0.519
479428,櫛瓜起司堡,479736,櫛瓜花枝蝦滑堡,0.477
479142,櫛瓜肉卷 (櫛瓜料理懶人包),472707,櫛瓜高麗菜 / 家常菜,0.426
477440,櫛瓜烘蛋🎶,470880,櫛瓜煎蛋,0.426
479142,櫛瓜肉卷 (櫛瓜料理懶人包),477440,櫛瓜烘蛋🎶,0.421
477885,節瓜炒蝦仁,479255,櫛瓜炒鮮蝦,0.411
479657,鮭魚櫛瓜炒飯,477440,櫛瓜烘蛋🎶,0.4
479391,椒鹽櫛瓜炒雞,478654,蒜香奶油櫛瓜杏鮑菇,0.383
479165,堅果櫛瓜炒雞丁,476219,沙茶牛肉炒櫛瓜,0.341
477440,櫛瓜烘蛋🎶,475809,櫛瓜蝦滑捲,0.335
477265,櫛瓜豆腐包,476646,櫛瓜花枝漿豆皮捲,0.329
478569,煎櫛瓜,471553,氣炸鍋～櫛瓜,0.323
471553,氣炸鍋～櫛瓜,470628,簡單-氣炸櫛瓜,0.323
479657,鮭魚櫛瓜炒飯,478838,蒜香櫛瓜炒蛋,0.321
476646,櫛瓜花枝漿豆皮捲,476336,韭菜菇菇炒櫛瓜麵,0.317
478569,煎櫛瓜,477440,櫛瓜烘蛋🎶,0.313
477440,櫛瓜烘蛋🎶,470628,簡單-氣炸櫛瓜,0.313
