# 分析摘要
# 最高相似度: 0.562
# 建議門檻: 0.45 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 30
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 176 組相似食譜
# 門檻 0.2: 75 組相似食譜
# 門檻 0.3: 30 組相似食譜
# 門檻 0.4: 9 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
450682,水蓮肉絲炒金針菇,443683,金針菇豆乾炒水蓮,0.562
465843,水蓮炒豆芽｜水蓮爽脆口感升級作法,461995,水蓮的脆爽小撇步！水蓮炒豆芽,0.53
466814,水蓮煎蛋,432022,水蓮炒蛋,0.513
479468,清炒水蓮,468092,水蓮炒玉米筍,0.508
479468,清炒水蓮,463135,薑絲炒水蓮,0.508
479130,炒水蓮,450854,十分鐘上菜-杏鮑菇炒水蓮,0.493
465843,水蓮炒豆芽｜水蓮爽脆口感升級作法,466334,10分鐘搞定！川燙熱拌水蓮輕鬆上桌,0.475
478492,金沙水蓮杏鮑菇,450854,十分鐘上菜-杏鮑菇炒水蓮,0.444
459864,胡麻醬涼拌水蓮,442385,香菇炒水蓮,0.427
465843,水蓮炒豆芽｜水蓮爽脆口感升級作法,440136,鮮香菇炒水蓮,0.399
466814,水蓮煎蛋,471966,水蓮炒百葉豆腐,0.397
466334,10分鐘搞定！川燙熱拌水蓮輕鬆上桌,444044,豬肉炒水蓮,0.381
460938,破布子炒水蓮,449995,豆乾絲炒水蓮,0.377
479468,清炒水蓮,449995,豆乾絲炒水蓮,0.376
479468,清炒水蓮,444347,雪白菇炒水蓮（三分鐘快炒）,0.374
450682,水蓮肉絲炒金針菇,445833,水蓮炒肉絲,0.37
479468,清炒水蓮,440136,鮮香菇炒水蓮,0.365
459460,水蓮鴻禧菇炒雞肉絲,450682,水蓮肉絲炒金針菇,0.363
479468,清炒水蓮,478250,[快速] 炒水蓮,0.359
470289,豆皮炒水蓮,461995,水蓮的脆爽小撇步！水蓮炒豆芽,0.339
461995,水蓮的脆爽小撇步！水蓮炒豆芽,457131,快速上菜「香菇炒水蓮」脆脆口感好下飯！！,0.336
479468,清炒水蓮,440468,樹子炒水蓮,0.322
466814,水蓮煎蛋,443683,金針菇豆乾炒水蓮,0.322
466814,水蓮煎蛋,450682,水蓮肉絲炒金針菇,0.313
449995,豆乾絲炒水蓮,440136,鮮香菇炒水蓮,0.312
474034,肉片炒水蓮,449995,豆乾絲炒水蓮,0.31
479468,清炒水蓮,468605,紅燒皮蛋炒水蓮,0.307
466814,水蓮煎蛋,470244,什錦水蓮拌粉絲,0.303
443420,雙菇炒水蓮菜,444347,雪白菇炒水蓮（三分鐘快炒）,0.302
478225,水蓮豬肉捲,442385,香菇炒水蓮,0.301
