id,name,document
458937,蒜香炒油菜,油菜 蒜頭
466616,油菜肉末冬粉,冬粉 豬絞肉 紅蘿蔔 油菜 亁香菇 蒜頭
472221,白灼油菜(五辛素),油菜 青江菜 胡蘿蔔 乾辣椒 蒜末 蒸魚豉油 花椒油 植物油 砂糖 味精
470221,蕓薹(油菜類)味噌湯,蕓薹菜油菜類 味噌鹽分8 昆布柴魚高湯
455493,油菜炒蛋,油菜 紅蘿蔔 雞蛋 黑胡椒
460826,燙青菜_油菜_調味,油菜 鵝油香蔥 醬油 胡麻醬 鰹魚露 芝麻香油 柴魚片
453363,沙茶油菜,油菜 生薑 牛頭牌沙茶醬 紅辣椒
457054,油菜炒肉片,梅花豬火鍋肉片 油菜 李錦記舊庄特級蠔油 蒜頭 白胡椒粉 紅蘿蔔
460791,韓式油菜泡菜유채김치,油菜 胡蘿蔔 洋蔥 青蔥 薑 熟白芝麻 蒜頭 蝦皮 白飯 砂糖 粗辣椒片 韓式粗辣椒粉 玉筋魚露 鯷魚高湯
458363,松阪豬炒油菜,油菜 松阪豬 蒜片 醬油 味霖
464552,蒜香油菜炒松阪豬,油菜 蒜末 松阪豬
454126,櫻花蝦炒油菜,油菜 櫻花蝦 蒜末
452726,油菜鱸魚排 / 家常菜,鱸魚排 油菜 老薑片
463585,蒜味油菜炒菇菇/微波料理,油菜 蒜末 雪白菇 楓康吳羽保鮮膜
450755,素沙茶炒油菜,油菜 素羊肉 沙茶醬 薑絲 醬油 炒手水
448873,油菜炒牛肉,牛肉片 油菜 醬油 蒜末 砂糖 辣椒末 米酒 柴魚粉
445798,油菜炒羊肉,羊肉片 油菜段 雞粉 蒜末 太白粉 薑絲 醬油 辣椒片 米酒 麻油 烏醋
444740,醬油浸油菜,油菜 醬油 柴魚片
450174,蒜頭麻油菜頭雞湯,雞 菜頭 麻油 蒜末 薑末 喜歡的材料 米酒
443593,珊瑚菇炒油菜,蒜頭 油菜 珊瑚菇
446753,薑絲炒油菜 / 簡單家常菜,油菜 嫩薑絲
445694,醬香木耳拌油菜,油菜 黑木耳菇菇醬 七味粉
437747,油菜沙茶牛肉蓋飯,油菜 牛肉片 蒜末 辣椒末 沙茶醬 醬油 白胡椒粉 糖
466305,雪裡紅 製作~簡單隨手做,油菜 2包 無碘海塩
422535,炒油菜,油菜 味精 米酒
435101,鹽醃油菜炒豆干丁,白豆干 油菜 蒜頭 辣椒 糖 醬油 白胡椒粉
472673,千歲吉祥雪菜豆腐,板豆腐 油菜 雞蛋 洋蔥丁 乾辣椒 胡椒粉 米酒
430698,肉末炒鹽醃油菜（雪裡紅）,油菜 台糖精製絞肉 蒜頭 辣椒 醬油 醬油膏 白胡椒粉
419335,清炒油菜,油菜 蒜末
424189,蒜炒油菜～可素食,油菜 蒜頭 鰹魚粉素食可不加
417073,吻仔魚油菜,吻仔魚 油菜 味精 蒜 米酒
477150,李錦記 頭道零添加原釀醬油-醬油拌麵,李錦記 頭道零添加原釀醬油 米酒 砂糖 寬麵條 油菜 胡蘿蔔 花枝丸 雞蛋 胡椒粉
461356,自製雪菜(懶人版),小芥菜 油菜 食鹽
423652,蒜炒小松菜 (油菜)  /  簡單家常菜,小松菜 日本油菜 蒜瓣
469780,燙青菜好吃秘訣,小白菜 青江菜 空心菜 油菜 素蠔油醬油膏
478890,和風馬鈴薯燉肉,洋蔥切絲 蘿蔔切塊 酒 馬鈴薯切塊 味霖 好市多牛肉片 醬油 好菇道雪白菇 蒟蒻絲 油菜
409712,油菜炒豬肉條,油菜 豬肉條
414124,秀珍菇炒油菜,油菜 秀珍菇 蒜瓣 薑 安食小品柴魚粉 安食小品黑豆油膏
410382,油菜芥末義大利麵,熟義大利麵 雞柳條 油菜 SB 生蒜泥醬 醬油 洋蔥絲 SB 山葵膏 黑胡椒粒 帕馬森起司粉
408706,XO醬炒油菜,油菜250g 薑 柔魚XO醬新東陽
473652,韓式拌飯,韓式辣醬 醬油 白飯 糖 春川辣炒雞 油菜 玉米粒 洋蔥 小黃瓜 乾海帶芽 太陽蛋
416107,油菜炒腰內肉 / 家常菜,油菜 腰內肉 白胡椒粉 蒜頭 黑胡椒粒 辣椒不吃辣可省略 素蠔油或醬油 太白粉
466787,沙茶豬肉炒麵,內門阿隆師香滷豬腱肉 洋蔥 沙茶 油菜 蒜碎 油麵
464010,古早味番茄疙瘩湯麵🍅,麵粉 番茄 白胡椒粉 雞蛋 雞粉 油菜 番茄醬 蔥 植物油
461588,雙油炒青菜,樂朋LEPONT 黃金鵝香油 鮭魚 油菜 蒜瓣
459571,秀珍菇炒菜 / 家常菜,秀珍菇 蒜瓣 油菜 金弘胡麻油
401115,醬燒豬肉絲油菜,油菜 豬肉絲 烤肉醬 蒜頭
473735,蔬食東北拌飯(五辛素),大麥飯 雞蛋 熱油 胡蘿蔔 青蔥 油菜 小芥菜 蒜頭 平菇 蠔菇 粗辣椒片 櫛瓜 熟白芝麻 醬油 蠔油 砂糖 雞粉 蘋果醋
