# 分析摘要
# 最高相似度: 0.741
# 建議門檻: 0.59 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 22
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 148 組相似食譜
# 門檻 0.2: 48 組相似食譜
# 門檻 0.3: 22 組相似食譜
# 門檻 0.4: 12 組相似食譜
# 門檻 0.5: 8 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
422535,炒油菜,417073,吻仔魚油菜,0.741
464552,蒜香油菜炒松阪豬,419335,清炒油菜,0.596
448873,油菜炒牛肉,437747,油菜沙茶牛肉蓋飯,0.592
435101,鹽醃油菜炒豆干丁,430698,肉末炒鹽醃油菜（雪裡紅）,0.577
454126,櫻花蝦炒油菜,419335,清炒油菜,0.557
458937,蒜香炒油菜,443593,珊瑚菇炒油菜,0.534
458937,蒜香炒油菜,424189,蒜炒油菜～可素食,0.534
414124,秀珍菇炒油菜,459571,秀珍菇炒菜 / 家常菜,0.507
460826,燙青菜_油菜_調味,444740,醬油浸油菜,0.476
458363,松阪豬炒油菜,464552,蒜香油菜炒松阪豬,0.455
463585,蒜味油菜炒菇菇/微波料理,419335,清炒油菜,0.429
458937,蒜香炒油菜,401115,醬燒豬肉絲油菜,0.407
458937,蒜香炒油菜,435101,鹽醃油菜炒豆干丁,0.365
460791,韓式油菜泡菜유채김치,473735,蔬食東北拌飯(五辛素),0.355
437747,油菜沙茶牛肉蓋飯,419335,清炒油菜,0.35
458937,蒜香炒油菜,457054,油菜炒肉片,0.333
464552,蒜香油菜炒松阪豬,454126,櫻花蝦炒油菜,0.332
472673,千歲吉祥雪菜豆腐,477150,李錦記 頭道零添加原釀醬油-醬油拌麵,0.327
448873,油菜炒牛肉,419335,清炒油菜,0.321
458937,蒜香炒油菜,430698,肉末炒鹽醃油菜（雪裡紅）,0.316
458937,蒜香炒油菜,466616,油菜肉末冬粉,0.312
450755,素沙茶炒油菜,437747,油菜沙茶牛肉蓋飯,0.306
