id,name,document
477190,涼拌洋蔥,台灣屏東洋蔥 冰水800ml 細冰糖 本醋醬油
478344,洋蔥味噌湯,洋蔥 豆腐 味噌 蔥花
475421,洋蔥湯,洋蔥 奶油 麵粉
476804,洋蔥滷肉,五花肉條 洋蔥 蔥段 蒜頭切末 白煮蛋 紅蘿蔔 二砂糖 醬油 辣椒醬 八角
476559,洋蔥炒蛋,洋蔥 蛋 蒜頭 烹大師鰹魚粉 醬油
479023,和風涼拌洋蔥,洋蔥 白芝麻 柴魚片 海苔絲 柴魚醬油 米醋 味醂 七味粉
475506,洋蔥水,洋蔥
477826,洋蔥肉捲,洋蔥 絞肉 蔥花 玉米粉 祖傳密醬
477510,洋蔥炒臘肉,洋蔥 臘肉 鮮味炒手
478752,鮪魚洋蔥蛋沙拉,洋蔥 沙拉醬 水煮鮪魚罐頭 水煮蛋
479182,菇菇洋蔥蕃茄,洋蔥 蘑菇 小蕃茄 大蒜
476726,洋蔥玉米通心粉,洋蔥丁 玉米粒 美乃滋 通心粉 粗粒黑胡椒 味付鹽
475913,洋蔥炒黑輪,洋蔥 黑輪片
466813,洋蔥蘋果燉雞湯,全雞 洋蔥 雞粉 蘋果 薑 紅棗
478227,蘋果洋蔥排骨湯,豬小排 蘋果 洋蔥 紅棗 枸杞
477861,泰式涼拌洋蔥,小型洋蔥 泰式酸辣醬 柚子醋 蔥 芝麻油
475089,洋蔥臘肉炒飯,洋蔥 臘肉 白色鴻禧菇 蒜頭 蔥 辣椒 黑胡椒粉 白飯 醬油 米酒
479732,照燒洋蔥肉捲,豬五花肉片 洋蔥絲 醬油 白芝麻粒 酒 太白粉或片栗粉 味霖 糖
465490,洋蔥肉末炒蓮藕,燒肉末 蓮藕 味霖 洋蔥 雞粉
473352,涼拌洋蔥木耳,木耳 洋蔥 柚子醋 白芝麻 七味粉 辣椒
460474,洋蔥木耳炒蛋,洋蔥 雞蛋 雞粉 雲耳 糖
479533,番茄洋蔥特調滷肉飯醬,洋蔥 番茄 蔥 誠泰滷肉飯醬
476982,彩椒洋蔥牛肉捲,李錦記 頭道零添加原釀醬油 紅甜椒條 黃甜椒條 青椒條 洋蔥條 牛肉片 烏醋 米酒 砂糖 太白粉 熟白芝麻
479580,洋蔥培根起士派🍕,無鹽奶油軟化 糖粉過篩 洋蔥丁 培根丁 全蛋 黑胡椒粒 低筋麵粉過篩 綜合香料 黑胡椒 羅勒葉 馬鈴薯泥 匈牙利紅椒粉 奶油 動物性鮮奶油 乳酪絲
479103,洋蔥奶油白酒燉馬祖淡菜,馬祖淡菜 洋蔥 蒜頭 白酒或啤酒 奶油 辣椒 芫荽籽可略 九層塔或香菜可略 胡椒 黃檸檬
474184,奶油洋蔥燉飯,奶油 洋蔥 米 洋菇 毛豆仁 雞湯塊
476439,日式洋蔥炒牛肉,牛梅花肉片 洋蔥中型 日式燒肉醬 蔥白 蒜米 熟白芝麻粒
471588,蘋果洋蔥滷肉,五花肉 洋蔥 華盛頓宇宙脆蘋果 五香滷包 醬油
475481,涼拌洋蔥杏鮑菇,杏鮑菇 小黃瓜 洋蔥 日式醬油
459783,和風洋蔥醬拌茄子,茄子 和風醬 白醋
477085,西式湯品｜法式洋蔥濃湯,洋蔥 麵粉 牛高湯 清水 法國麵包 起司絲 鹽現磨黑胡椒
477854,洋蔥豬肉咖喱可樂餅,咖喱塊 馬鈴薯 洋蔥 豬絞肉 麵粉蛋液麵包粉
471598,法式洋蔥湯,洋蔥 奶油 威士忌 白酒 牛肉高湯 百里香 黑胡椒 麵包 格呂耶爾起司 蕃莤碎
460544,洋蔥炒燒肉,燒肉 洋蔥
477300,蔥爆醬燒洋蔥雞丁,李錦記頭道零添加原釀醬油 米酒 雞肉 蛋液 洋蔥絲 太白粉 青蔥分切成蔥白蔥綠段 糖 辣椒 白胡椒粉 老薑
473379,南瓜洋蔥蔬菜玉米濃湯,康寶玉米濃湯粉 紅蘿蔔絲 南瓜 高麗菜絲
467565,洋蔥雞排,雞排 生抽 洋蔥 米酒 胡椒粉 鎮江醋 糖 雞湯 番茜碎 生粉水
472909,黑胡椒洋蔥炒豬,豬梅花肉片 洋蔥切絲 蒜頭切末 黑胡椒粉 無鹽奶油 醬油 米酒 番茄醬 糖 清水
470942,#洋蔥蛤蜊雞湯,洋蔥 雞腿肉 蛤蜊
460486,海帶芽洋蔥炒蛋,雞蛋 洋蔥 海帶芽 雞粉
476648,減脂 氣炸洋蔥豆腐沙拉,嫩豆腐 洋蔥 素鬆 蛋白粉 高麗菜 黑胡椒粒 小蕃茄
470013,蘋果洋蔥水,華盛頓宇宙脆蘋果 洋蔥
464264,洋蔥燒肉炒豆芽菜,洋蔥 燒肉 豆芽菜 雞粉
469644,洋蔥炒豬肉,豬肉 洋蔥 鴻禧菇 蒜頭 醬油
428978,洋蔥香菜豆腐乳豬肉片,豬肉片 香菜 豆腐乳 洋蔥 米酒 青蔥 白胡椒 辣椒 醬油 味啉 蒜頭
476240,川蜀辣醬炒豬肉洋蔥,豬五花肉片 洋蔥 川蜀麻辣醬
465211,洋蔥玉米炒蛋,洋蔥 蔥 雞蛋 玉米罐頭
468501,洋蔥鴨腿,中型鴨腿 洋蔥 青蔥 醬油 素蠔油 冰糖和八角 酒
