# 分析摘要
# 最高相似度: 0.608
# 建議門檻: 0.49 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 12
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 96 組相似食譜
# 門檻 0.2: 40 組相似食譜
# 門檻 0.3: 12 組相似食譜
# 門檻 0.4: 5 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
460544,洋蔥炒燒肉,464264,洋蔥燒肉炒豆芽菜,0.608
460474,洋蔥木耳炒蛋,460486,海帶芽洋蔥炒蛋,0.571
471588,蘋果洋蔥滷肉,470013,蘋果洋蔥水,0.525
466813,洋蔥蘋果燉雞湯,478227,蘋果洋蔥排骨湯,0.494
476559,洋蔥炒蛋,469644,洋蔥炒豬肉,0.412
460474,洋蔥木耳炒蛋,465211,洋蔥玉米炒蛋,0.385
460486,海帶芽洋蔥炒蛋,465211,洋蔥玉米炒蛋,0.385
479023,和風涼拌洋蔥,473352,涼拌洋蔥木耳,0.329
475421,洋蔥湯,477085,西式湯品｜法式洋蔥濃湯,0.314
475506,洋蔥水,460544,洋蔥炒燒肉,0.314
475506,洋蔥水,470013,蘋果洋蔥水,0.314
475089,洋蔥臘肉炒飯,428978,洋蔥香菜豆腐乳豬肉片,0.307
