id,name,document
479560,番茄牛肋條（下飯）,牛肋條 牛蕃茄切丁 洋蔥絲 小玉米筍 味精 米酒 味醂
463837,香腸蛋牛番茄大享堡,香腸 水煮蛋 美奶滋 牛蕃茄 蕃茄醬 7eleven大享堡
472200,台式牛絞肉番茄炒意麵,牛絞肉 番茄 洋蔥切絲 橄欖油或沙拉油 大蒜切末 黑胡椒粒 意麵 薄鹽醬油 辣椒末 米酒
479085,蘆筍番茄炒蛋,蘆筍 牛蕃茄 雞蛋
453012,番茄肥牛,牛肉片 牛蕃茄 蒜頭切末 蔥花 香菇素蠔油
433712,牛番茄豆腐炒蛋,蛋 中華豆腐 番茄 糖
479713,簡單好吃的金針菇豬肉捲佐蕃茄,金針菇 豬肉片 蠔油 牛蕃茄 番茄醬 溫開水
477752,超簡單的番茄豬肉雞蛋麵,牛番茄 豬肉片 雞蛋 蔥 麵 蒜頭
478519,三分鐘上桌！神級番茄炒蛋做法大公開,牛番茄 雞蛋 蔥 薑片 紹興酒 冰糖
477438,速成茄汁通心粉,通心粉 番茄汁 牛蕃茄 青花椰 蛋 調味
449541,番茄牛肋條,番茄牛肋條 紅蘿蔔 牛番茄 洋蔥 番茄泥 米酒 醬油 黑胡椒 奶油 蒜頭
471992,番茄義大利麵佐烤蘋果牛肋條,蘋果 牛肋條 蘋果醬蘋果泥 醬油
477161,義式蔬菜湯,西洋芹 紅蘿蔔 馬鈴薯 洋蔥 高麗菜 牛蕃茄 培根 蕃茄糊
476258,打拋豬蝦仁🍤飯,豬絞肉 牛蕃茄 九層塔葉 蝦仁 蔬菜
469168,番茄玉米炒蛋,牛番茄 玉米 雞蛋 胡椒粉
475697,焗烤牛肉蕃茄盅｜百慕達微波烤箱,牛蕃茄 牛絞肉 洋蔥 義大利香料 起司絲
475758,番茄雞蛋蔥油餅疙瘩,金御園蔥抓餅 牛番茄 雞蛋 青蔥
479265,親子共食～營養蔬菜牛肉麵,營養麵條 牛蕃茄 豆腐 娃娃菜 牛肉 柴魚調味粉 雞蛋
476393,番茄舞菇炊飯,白米 牛番茄 醬油 舞菇 味醂 紅蘿蔔 黑胡椒
479212,沙茶鮮蝦麵,蝦子 沙茶醬 牛番茄 蒜球 麵 醬油 細砂糖
469045,懶人簡單燉蕃茄牛腩（全聯牛肋條）,全聯牛肋條 蕃茄 洋蔥 紅蘿蔔 醬油 沙茶醬
474926,大蕃茄肉盅｜百慕達微波烤箱,牛番茄 乳酪絲 洋蔥 豬絞肉 米酒 紅椒粉
474268,清爽時蔬湯麵,高麗菜 牛番茄 花椰菜 麵 雞蛋 烹大師
476584,番茄蛋花清湯,牛番茄 雞蛋 青蔥 米酒 雞粉 白胡椒粉
470379,酸梅甜椒,甜椒 牛番茄 紹興酸梅
470442,小魚乾番茄蛋花湯,牛番茄 雞蛋 青蔥
476442,羅宋湯🥘,牛肋條 馬鈴薯 醬油膏 紅蘿蔔 番茄糊可用番茄醬 西洋芹 黑胡椒 洋蔥 糖 牛番茄 月桂葉 食用水
474764,鯛魚紅燒蕃茄麵,鯛魚片 小白菜 牛蕃茄 蒜頭 蔥花 麵條 辣豆瓣醬
473238,番茄蘋果豬肉燉飯,牛蕃茄 蘋果 豬肉 洋蔥 紅蘿蔔 白飯 油花菜
479175,番茄肉醬,牛番茄 小蕃茄 洋蔥 蒜頭 杏鮑菇 豬絞肉 切丁番茄罐頭 番茄糊罐頭 糖 胡椒粉 義大利香料
477847,油醋高麗菜絲豬肉沙拉,高麗菜絲 牛蕃茄 初榨冷壓橄欖油 豬肉片 蘋果醋 肉片調味粉
477896,西班牙海鮮飯,米 透抽 蝦仁 大蝦子 蛤蜊 牛蕃茄 洋蔥 蒜 紅椒 蕃茄糊 番紅花
475321,番茄牛肉粥,牛蕃茄 牛肉絲 蒜頭末 白米 蔥花 番茄醬
475472,田園鮮蔬雞肉捲餅,金御園蔥抓餅 蘿蔓葉 牛番茄 雞胸肉 美乃滋
