id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479560,番茄牛肋條（下飯）,https://icook.tw/recipes/479560,牛肋條、牛蕃茄切丁、洋蔥絲、小玉米筍、鹽巴、味精、米酒、味醂,牛肋條1份 | 牛蕃茄切丁2顆 | 洋蔥絲半顆 | 小玉米筍1盒 | 鹽巴少許 | 味精少許 | 米酒1大匙 | 味醂1湯匙,"牛肋條煎到恰恰，就可以取出備用 | 鍋子不用洗，再倒入一點點油，再加入蕃茄、洋蔥、玉米筍，番茄軟化後，牛肋條就可以放進來囉
米酒、味醂、鹽巴、味精放入，蓋上鍋蓋，轉小火15分鐘完成✅","番茄牛肋條（下飯）。食材：牛肋條1份，牛蕃茄切丁2顆，洋蔥絲半顆，小玉米筍1盒，鹽巴少許，味精少許，米酒1大匙，味醂1湯匙。做法：牛肋條煎到恰恰，就可以取出備用，鍋子不用洗，再倒入一點點油，再加入蕃茄、洋蔥、玉米筍，番茄軟化後，牛肋條就可以放進來囉
米酒、味醂、鹽巴、味精放入，蓋上鍋蓋，轉小火15分鐘完成✅。",牛番茄/479560_番茄牛肋條（下飯）.jpg
475376,無水番茄牛肋,https://icook.tw/recipes/475376,牛肋、牛番茄、小番茄、蘋果、馬鈴薯、紅蘿蔔、洋蔥、蒜頭、辣椒、薑、月桂葉、醬油、米酒、蔥、鹽巴胡椒、糖,牛肋1200-1500g | 牛番茄5顆 | 小番茄300g | 蘋果1顆 | 馬鈴薯2顆 | 紅蘿蔔1根 | 洋蔥1顆 | 蒜頭5瓣 | 辣椒1-2根 | 薑6-8片 | 月桂葉2片 | 醬油2大匙 | 米酒150g | 蔥一小把 | 鹽巴胡椒適量 | 糖微量,"牛肋要適量剃油
（沒剃整鍋會油到爆，如果剃完煮完整鍋還是很油，可以冰隔夜，隔天拿出來加熱前把凝結在最上層的油刮掉再加熱。） | 剃完油牛肋擦乾、切塊用少量鹽巴和黑胡椒乾醃15-20分，這樣煎的時候焦香和梅納反應會比較好。 | 番茄大顆要不要燙熱水去皮或乾脆不去皮都可以，主要影響口感，小顆番茄有果汁機可以和蘋果先打成糊。 | 拿剃下來的牛油塊直接下鍋煸出油，分段把全部牛肉煎到兩面金黃，牛肉拿出備用，倒出多餘的牛油備用。 | 洋蔥切碎和牛油一起炒香，炒到洋蔥都軟化透明，下薑、蒜頭、蔥白、辣椒、醬油、米酒、糖，等糖融化、醬油和米酒的發酵味煮滾揮發一下下，下牛肉，一起炒香 | 大番茄丁和小番茄+蘋果糊全下，拌炒均勻，下馬鈴薯和紅蘿蔔，月桂葉和黑胡椒，開燉中大火半小時，過程番茄會出水，正常狀況不太會糊底，怕有意外可以加一點點水，後續小火30-60分鐘讓整鍋味道融合，再看狀況調整汁水的濃度 | 出鍋前少量鹽巴 | 黑胡椒調整口味，搞定","無水番茄牛肋。食材：牛肋1200-1500g，牛番茄5顆，小番茄300g，蘋果1顆，馬鈴薯2顆，紅蘿蔔1根，洋蔥1顆，蒜頭5瓣，辣椒1-2根，薑6-8片，月桂葉2片，醬油2大匙，米酒150g，蔥一小把，鹽巴胡椒適量，糖微量。做法：牛肋要適量剃油
（沒剃整鍋會油到爆，如果剃完煮完整鍋還是很油，可以冰隔夜，隔天拿出來加熱前把凝結在最上層的油刮掉再加熱。），剃完油牛肋擦乾、切塊用少量鹽巴和黑胡椒乾醃15-20分，這樣煎的時候焦香和梅納反應會比較好。，番茄大顆要不要燙熱水去皮或乾脆不去皮都可以，主要影響口感，小顆番茄有果汁機可以和蘋果先打成糊。，拿剃下來的牛油塊直接下鍋煸出油，分段把全部牛肉煎到兩面金黃，牛肉拿出備用，倒出多餘的牛油備用。，洋蔥切碎和牛油一起炒香，炒到洋蔥都軟化透明，下薑、蒜頭、蔥白、辣椒、醬油、米酒、糖，等糖融化、醬油和米酒的發酵味煮滾揮發一下下，下牛肉，一起炒香，大番茄丁和小番茄+蘋果糊全下，拌炒均勻，下馬鈴薯和紅蘿蔔，月桂葉和黑胡椒，開燉中大火半小時，過程番茄會出水，正常狀況不太會糊底，怕有意外可以加一點點水，後續小火30-60分鐘讓整鍋味道融合，再看狀況調整汁水的濃度，出鍋前少量鹽巴，黑胡椒調整口味，搞定。",牛番茄/475376_無水番茄牛肋.jpg
463837,香腸蛋牛番茄大享堡,https://icook.tw/recipes/463837,香腸、水煮蛋、美奶滋、牛蕃茄、蕃茄醬、7-eleven大享堡,香腸1枝 | 水煮蛋1顆 | 牛蕃茄半顆 | 7-eleven大享堡1個 | 美奶滋少量 | 蕃茄醬少量,燙 | 煎 | 剝殼，切 | 吸油 | 切 | 擺料，淋調味料,香腸蛋牛番茄大享堡。食材：香腸1枝，水煮蛋1顆，牛蕃茄半顆，7-eleven大享堡1個，美奶滋少量，蕃茄醬少量。做法：燙，煎，剝殼，切，吸油，切，擺料，淋調味料。,牛番茄/463837_香腸蛋牛番茄大享堡.jpg
475562,番茄燉牛肋,https://icook.tw/recipes/475562,牛肋條、黑柿番茄、番茄泥、洋蔥、鹽、南薑、黑胡椒粉、紅蘿蔔、魚露、月桂葉,牛肋條960 | 黑柿番茄3大顆 | 洋蔥1顆 | 南薑3片 | 紅蘿蔔2條 | 月桂葉2片 | 番茄泥2大匙 | 鹽1小匙 | 黑胡椒粉1大匙 | 魚露適量,"1、牛肋條用餐巾紙擦乾表面，撒上1小匙鹽跟黑胡椒醃15分鐘
2、番茄、洋蔥切大丁紅蘿蔔切塊 | 熱鍋，鍋內不放油煎香肋條表面即可起鍋 | 1、洋蔥、紅蘿蔔、南薑先下鍋炒香後加入番茄泥翻炒
2、加入番茄丁拌炒到微軟 | 1、將肋條剪成適當大小加入鍋中
2、加水剛好淹過食材即可，加入月桂葉跟1小匙鹽巴、椰糖蓋上鍋蓋煮滾後小火燉煮50分鐘
3、起鍋前加入試一下味道加入適量魚露調整鹹味，開中大火5～8分鐘濃縮湯汁 | 完成！","番茄燉牛肋。食材：牛肋條960，黑柿番茄3大顆，洋蔥1顆，南薑3片，紅蘿蔔2條，月桂葉2片，番茄泥2大匙，鹽1小匙，黑胡椒粉1大匙，魚露適量。做法：1、牛肋條用餐巾紙擦乾表面，撒上1小匙鹽跟黑胡椒醃15分鐘
2、番茄、洋蔥切大丁紅蘿蔔切塊，熱鍋，鍋內不放油煎香肋條表面即可起鍋，1、洋蔥、紅蘿蔔、南薑先下鍋炒香後加入番茄泥翻炒
2、加入番茄丁拌炒到微軟，1、將肋條剪成適當大小加入鍋中
2、加水剛好淹過食材即可，加入月桂葉跟1小匙鹽巴、椰糖蓋上鍋蓋煮滾後小火燉煮50分鐘
3、起鍋前加入試一下味道加入適量魚露調整鹹味，開中大火5～8分鐘濃縮湯汁，完成！。",牛番茄/475562_番茄燉牛肋.jpg
472200,台式牛絞肉番茄炒意麵,https://icook.tw/recipes/472200,牛絞肉、番茄、鹽巴、洋蔥切絲、橄欖油或沙拉油、大蒜切末、黑胡椒粒、意麵、薄鹽醬油、辣椒末、米酒,牛絞肉700克 | 番茄1顆 | 洋蔥切絲1/4顆 | 大蒜切末3瓣 | 意麵1包或一份 | 辣椒末1根 | 鹽巴2.5匙 | 橄欖油或沙拉油3大匙 | 黑胡椒粒3小匙 | 薄鹽醬油1小匙 | 米酒0.5杯,絞肉加入黑胡椒粒、鹽巴，然後拌勻靜置入味，洋蔥切絲、大蒜剁碎、辣椒切碎備用、番茄切丁備用 | 熱鍋加入油，轉中大火，等油和鍋都熱了加入洋蔥大蒜和辣椒翻炒至香氣出來，加入牛絞肉翻炒至肉變色，倒入米酒、薄鹽醬油，再加入番茄繼續攪拌均勻 | 番茄拌勻後中間留一個位置給意麵，利用番茄出的水讓意麵吸飽，放入意麵後馬上蓋鍋蓋，轉中小火5分鐘，適時觀察如果太乾可以加入1 | 3杯水，水不要太多 | 等意麵軟化轉大火收汁，翻炒致水分消失，即可起鍋裝盤,台式牛絞肉番茄炒意麵。食材：牛絞肉700克，番茄1顆，洋蔥切絲1/4顆，大蒜切末3瓣，意麵1包或一份，辣椒末1根，鹽巴2.5匙，橄欖油或沙拉油3大匙，黑胡椒粒3小匙，薄鹽醬油1小匙，米酒0.5杯。做法：絞肉加入黑胡椒粒、鹽巴，然後拌勻靜置入味，洋蔥切絲、大蒜剁碎、辣椒切碎備用、番茄切丁備用，熱鍋加入油，轉中大火，等油和鍋都熱了加入洋蔥大蒜和辣椒翻炒至香氣出來，加入牛絞肉翻炒至肉變色，倒入米酒、薄鹽醬油，再加入番茄繼續攪拌均勻，番茄拌勻後中間留一個位置給意麵，利用番茄出的水讓意麵吸飽，放入意麵後馬上蓋鍋蓋，轉中小火5分鐘，適時觀察如果太乾可以加入1，3杯水，水不要太多，等意麵軟化轉大火收汁，翻炒致水分消失，即可起鍋裝盤。,牛番茄/472200_台式牛絞肉番茄炒意麵.jpg
479085,蘆筍番茄炒蛋,https://icook.tw/recipes/479085,蘆筍、牛蕃茄、雞蛋,蘆筍200克 | 牛蕃茄2顆 | 雞蛋3顆,先炒番茄，超軟 | 下蘆筍，一起炒。 | 最後下雞蛋，蛋熟就可以起鍋。,蘆筍番茄炒蛋。食材：蘆筍200克，牛蕃茄2顆，雞蛋3顆。做法：先炒番茄，超軟，下蘆筍，一起炒。，最後下雞蛋，蛋熟就可以起鍋。。,牛番茄/479085_蘆筍番茄炒蛋.jpg
453012,番茄肥牛,https://icook.tw/recipes/453012,牛肉片、牛蕃茄、蒜頭切末、蔥花、香菇素蠔油、沙拉油,牛肉片1盒 | 牛蕃茄1顆 | 蒜頭切末1瓣 | 蔥花些許 | 香菇素蠔油1大匙 | 沙拉油1大匙,"將牛蕃茄劃十字，下滾水鍋燙過去皮。
( 去皮會使口感更佳，也更容易煮成糊狀 )
再將蒜頭與青蔥切末，去皮番茄切成小塊即可 | 倒入少量沙拉油，下蒜末爆香後
將牛蕃茄下鍋炒過，加入一碗水煮至糊狀
(茄紅素要藉由油脂，才會釋放出來喲～)
加入牛肉片和香菇素蠔油一起炒至牛肉變色
加上蔥花就可以起鍋啦～

簡單又美味的減醣料理，就可以上桌啦！","番茄肥牛。食材：牛肉片1盒，牛蕃茄1顆，蒜頭切末1瓣，蔥花些許，香菇素蠔油1大匙，沙拉油1大匙。做法：將牛蕃茄劃十字，下滾水鍋燙過去皮。
( 去皮會使口感更佳，也更容易煮成糊狀 )
再將蒜頭與青蔥切末，去皮番茄切成小塊即可，倒入少量沙拉油，下蒜末爆香後
將牛蕃茄下鍋炒過，加入一碗水煮至糊狀
(茄紅素要藉由油脂，才會釋放出來喲～)
加入牛肉片和香菇素蠔油一起炒至牛肉變色
加上蔥花就可以起鍋啦～

簡單又美味的減醣料理，就可以上桌啦！。",牛番茄/453012_番茄肥牛.jpg
433712,牛番茄豆腐炒蛋,https://icook.tw/recipes/433712,蛋、中華豆腐、番茄、鹽、糖,蛋2顆 | 中華豆腐1盒 | 番茄2顆 | 鹽少許 | 糖少許,"材料有蛋、豆腐、番茄 | 把食材切好備料，番茄要切丁 | 雞蛋打散，加在豆腐裡 | 雞蛋豆腐下鍋炒約8分熟起鍋 | 把番切炒軟後，在加入剛剛炒得8分熟雞蛋豆腐一起炒，放入鹽跟糖少許 | 香噴噴的番茄豆腐炒蛋完成 | 醬～醬～醬～醬～美味的牛番茄豆腐炒蛋出爐囉

真的是色香味俱全呢，看了就讓人食指大動，白飯都可以多吃一碗了，真的是很下飯","牛番茄豆腐炒蛋。食材：蛋2顆，中華豆腐1盒，番茄2顆，鹽少許，糖少許。做法：材料有蛋、豆腐、番茄，把食材切好備料，番茄要切丁，雞蛋打散，加在豆腐裡，雞蛋豆腐下鍋炒約8分熟起鍋，把番切炒軟後，在加入剛剛炒得8分熟雞蛋豆腐一起炒，放入鹽跟糖少許，香噴噴的番茄豆腐炒蛋完成，醬～醬～醬～醬～美味的牛番茄豆腐炒蛋出爐囉

真的是色香味俱全呢，看了就讓人食指大動，白飯都可以多吃一碗了，真的是很下飯。",牛番茄/433712_牛番茄豆腐炒蛋.jpg
477103,麻油香煎番茄蛋,https://icook.tw/recipes/477103,牛番茄、雞蛋、蔥花、麻油、鹽,牛番茄2小顆 | 雞蛋4個 | 蔥花1大匙 | 麻油1大匙 | 鹽1匙,"先用麻油炒軟番茄 | 把雞蛋打散，加一點鹽調味 | 倒入蛋液 | 煎到兩面金黃 | 最後撒上蔥花，完成~
(筷架感謝貓貓蕨手作贊助)","麻油香煎番茄蛋。食材：牛番茄2小顆，雞蛋4個，蔥花1大匙，麻油1大匙，鹽1匙。做法：先用麻油炒軟番茄，把雞蛋打散，加一點鹽調味，倒入蛋液，煎到兩面金黃，最後撒上蔥花，完成~
(筷架感謝貓貓蕨手作贊助)。",牛番茄/477103_麻油香煎番茄蛋.jpg
478373,番茄蛋豆腐湯,https://icook.tw/recipes/478373,牛番茄、板豆腐、蛋,牛番茄200 | 板豆腐150克 | 蛋3顆,加點油，先把番茄炒軟，加水。 | 可以加高湯包，接著加入想吃的料，煮滾。 | 加蛋，就可以起鍋，加蔥。 | 我最後加麵，完成一餐。,番茄蛋豆腐湯。食材：牛番茄200，板豆腐150克，蛋3顆。做法：加點油，先把番茄炒軟，加水。，可以加高湯包，接著加入想吃的料，煮滾。，加蛋，就可以起鍋，加蔥。，我最後加麵，完成一餐。。,牛番茄/478373_番茄蛋豆腐湯.jpg
