# 分析摘要
# 最高相似度: 0.756
# 建議門檻: 0.60 (最高相似度的80%)
# 總食譜組合數: 1176
# 當前分析門檻: 0.3
# 符合門檻組合數: 25
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 253 組相似食譜
# 門檻 0.2: 99 組相似食譜
# 門檻 0.3: 25 組相似食譜
# 門檻 0.4: 10 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
475758,番茄雞蛋蔥油餅疙瘩,470442,小魚乾番茄蛋花湯,0.756
477705,番茄炒蛋 (無油版),473682,蕃茄炒蛋,0.664
470442,小魚乾番茄蛋花湯,474632,香菇風味番茄炒蛋,0.649
476584,番茄蛋花清湯,470442,小魚乾番茄蛋花湯,0.57
473682,蕃茄炒蛋,474632,香菇風味番茄炒蛋,0.534
475758,番茄雞蛋蔥油餅疙瘩,474632,香菇風味番茄炒蛋,0.491
451146,蕃茄燉馬鈴薯牛肋條,476442,羅宋湯🥘,0.453
475758,番茄雞蛋蔥油餅疙瘩,476584,番茄蛋花清湯,0.431
476584,番茄蛋花清湯,474634,蕃茄炒雞胸肉,0.405
473682,蕃茄炒蛋,470442,小魚乾番茄蛋花湯,0.404
464041,蕃茄燉牛肋,451146,蕃茄燉馬鈴薯牛肋條,0.391
470510,紅燒蕃茄牛肋（使用夏普0水鍋）,469045,懶人簡單燉蕃茄牛腩（全聯牛肋條）,0.387
476584,番茄蛋花清湯,474632,香菇風味番茄炒蛋,0.37
475758,番茄雞蛋蔥油餅疙瘩,475472,田園鮮蔬雞肉捲餅,0.363
477752,超簡單的番茄豬肉雞蛋麵,470442,小魚乾番茄蛋花湯,0.358
451146,蕃茄燉馬鈴薯牛肋條,475325,蕃茄燉牛肉,0.352
477161,義式蔬菜湯,476442,羅宋湯🥘,0.346
477705,番茄炒蛋 (無油版),474632,香菇風味番茄炒蛋,0.335
477752,超簡單的番茄豬肉雞蛋麵,473682,蕃茄炒蛋,0.33
464041,蕃茄燉牛肋,476442,羅宋湯🥘,0.32
477103,麻油香煎番茄蛋,470442,小魚乾番茄蛋花湯,0.316
449541,番茄牛肋條,476393,番茄舞菇炊飯,0.305
473682,蕃茄炒蛋,475758,番茄雞蛋蔥油餅疙瘩,0.305
475376,無水番茄牛肋,449541,番茄牛肋條,0.303
469168,番茄玉米炒蛋,470442,小魚乾番茄蛋花湯,0.301
