id,name,document
478251,椒鹽玉米,玉米 蒜頭 椒鹽 蔥
477719,玉米蛋,玉米粒罐 蛋 奶油 盬
479070,減脂料理～大黃瓜玉米雞丁,玉米 大黃瓜 鹽味雞胸肉 蒜頭
479722,玉米蘿蔔湯,白蘿蔔 紅蘿蔔 玉米 香菜 胡椒粉 雞粉
479753,玉米高麗菜水餃,豬絞肉 高麗菜 醬油 玉米粒 雞蛋 餃子皮 胡椒粉 糖
475134,肉末玉米,豬絞肉 玉米粒 醬油 蔥花 蠔油 米酒 白胡椒粉
478497,香料玉米排,玉米 煙燻風味香料粉 黑胡椒 巴西里末 芫荽末 九層塔末 上面三樣綠綠的可加可不加 帕馬森起司
478092,玉米排骨湯,水果玉米 豬小排 胡蘿蔔 鰹魚粉 蔥花
477750,玉米蝦仁蛋,玉米罐頭 蝦仁 黑胡椒粒 蛋
474709,玉米雞湯,雞腿肉 山藥 玉米 薑片 米酒 味醂 味精 麻油 洋蔥
477299,狗尾草玉米雞湯,狗尾草 玉米 全聯全雞
479779,皮蛋玉米瘦肉粥,絞肉或肉絲全聯或市場100元 玉米一整罐 雞蛋3顆打蛋花 蔥5支切蔥花 皮蛋3顆 鴻禧菇一包 可放可不放 高湯一罐 可放可不放 水我是看飯量加的 雞粉 白飯我是用煮好的 比較快 蒜頭5顆切末 胡椒粉
476768,玉米雞肉煎餅,雞胸肉 廣達香永偉鮮嫩玉米粒 洋蔥切碎 麵包粉 雞蛋 廣達香美乃滋 醬油 胡椒粉 廣達香蜂蜜芥末醬
476726,洋蔥玉米通心粉,洋蔥丁 玉米粒 美乃滋 通心粉 粗粒黑胡椒 味付鹽
478718,免揉玉米餅,玉米粒 速發酵母 細砂糖 中筋麵粉
478688,蘿蔔玉米排骨湯,玉米 白蘿蔔 豬小排 味精 雞湯塊
475883,玉米蒸肉餅,豬絞肉 玉米粒 醬油 蔥花 米酒 太白粉 胡椒粉
475038,鮪魚玉米吐司,晨光吐司 鮪魚罐頭 玉米罐頭 美乃滋
475460,椒鹽玉米塊,玉米 自己喜愛的椒鹽粉
477978,高麗菜玉米豬肉水餃,五花肉 水餃皮 玉米罐 味精 高麗菜 素蠔油
477599,奶油玉米蘑菇濃湯,蘑菇 培根 洋蔥丁 蘿蔔丁 馬鈴薯小顆 康寶金黃玉米濃湯2人份 綠巨人玉米醬 鮮奶油 牛奶 奶油 起司片 雞粉
477646,起士玉米炒蛋,玉米罐頭 起士絲 雞蛋
474795,培根玉米筍,玉米筍 培根 胡椒粉 胡椒粒
477533,塔香椒鹽玉米,玉米罐頭 生蛋黃 玉米粉麵粉或酥炸粉亦可
479055,🥕玉米高麗菜炒飯🌽,高麗菜 紅蘿蔔 洋蔥 雞蛋 玉米罐頭 冷飯或隔夜飯 低鹽醬油 胡椒粉
476719,蔥花麵包＆玉米麵包,蔥 玉米粒 沙拉醬 高筋麵粉 湯種 雞蛋 砂糖 速發酵母 奶粉 奶油
476076,玉米起司蛋捲,雞蛋 鮮奶油 玉米粒 起司片
469168,番茄玉米炒蛋,牛番茄 玉米 雞蛋 胡椒粉
478043,高麗菜玉米豬肉蛋餅,高麗菜玉米絞肉餡 雞蛋 蛋餅皮
473134,烤玉米筍,帶殼玉米筍 乾香麻辣子
475113,奶油玉米炒雞丁,玉米罐頭 紅椒 黑胡椒 芹菜 奶油 雞胸
469566,玉米鍋貼,玉米粒 紅蘿蔔切小塊 雞蛋 速發酵母 中筋麵粉
474304,高湯煮玉米,烹大師香菇風味 玉米
474242,玉米蛋香蝦餅,蝦仁 玉米粒 麵粉 雞蛋
479007,清甜玉米蓮藕湯、雞絲同步完成,蓮藕 黃玉米 紅棗 去骨雞腿
473006,台式玉米雞蛋湯,玉米罐頭 洋蔥 太白粉 雞蛋 黑胡椒粉 火腿 熱狗腸 食鹽 植物油 雞粉 砂糖
467979,蒜香奶油毛豆炒玉米,毛豆 玉米粒 雞粉 紅蘿蔔 蒜香奶油
476953,鯷魚炒櫛瓜玉米筍,櫛瓜 玉米筍 鯷魚 蒜頭 辣椒
477172,韓式魚板玉米蘿蔔湯-電鍋,全聯韓式魚板 玉米 米血糕 蘿蔔丁
477003,小黃瓜優格鮪魚玉米,小黃瓜 無糖優格 鮪魚 玉米 蜂蜜 醬油 胡椒粉
474629,山藥紅蘿蔔玉米排骨湯,香菜 紅棗 枸杞 薑片 排骨 蘋果 玉米 紅蘿蔔 日本山藥
474778,蛋炒肉末玉米粒,絞肉 玉米粒罐頭 蛋 蒜末 蔥 老抽
474395,玉米麵饅頭(純素),中筋麵粉 細玉米麵 速發酵母 細砂糖 植物油 溫水
461976,四季豆醬炒玉米筍,四季豆 玉米筍 雞粉 芝麻 烤肉醬
471994,玉米蘿蔔排骨湯,全聯燉湯排骨 玉米 白蘿蔔 紅蘿蔔 香菜 黑胡椒粉 米酒 薑片
474257,古早味玉米蛋花湯,玉米粒 雞蛋
