# 分析摘要
# 最高相似度: 0.645
# 建議門檻: 0.52 (最高相似度的80%)
# 總食譜組合數: 1035
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 177 組相似食譜
# 門檻 0.2: 51 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 8 組相似食譜
# 門檻 0.5: 6 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
475134,肉末玉米,475883,玉米蒸肉餅,0.645
478718,免揉玉米餅,474395,玉米麵饅頭(純素),0.61
478718,免揉玉米餅,469566,玉米鍋貼,0.608
479722,玉米蘿蔔湯,471994,玉米蘿蔔排骨湯,0.545
476076,玉米起司蛋捲,474257,古早味玉米蛋花湯,0.527
474242,玉米蛋香蝦餅,474257,古早味玉米蛋花湯,0.506
479753,玉米高麗菜水餃,475883,玉米蒸肉餅,0.485
469566,玉米鍋貼,474257,古早味玉米蛋花湯,0.462
478251,椒鹽玉米,479070,減脂料理～大黃瓜玉米雞丁,0.399
479753,玉米高麗菜水餃,474257,古早味玉米蛋花湯,0.399
474629,山藥紅蘿蔔玉米排骨湯,471994,玉米蘿蔔排骨湯,0.36
479753,玉米高麗菜水餃,475134,肉末玉米,0.357
477750,玉米蝦仁蛋,474242,玉米蛋香蝦餅,0.347
469566,玉米鍋貼,474395,玉米麵饅頭(純素),0.343
477599,奶油玉米蘑菇濃湯,476076,玉米起司蛋捲,0.34
479722,玉米蘿蔔湯,474629,山藥紅蘿蔔玉米排骨湯,0.324
479722,玉米蘿蔔湯,467979,蒜香奶油毛豆炒玉米,0.321
479753,玉米高麗菜水餃,479055,🥕玉米高麗菜炒飯🌽,0.308
476719,蔥花麵包＆玉米麵包,474257,古早味玉米蛋花湯,0.307
