id,name,document
474795,培根玉米筍,玉米筍 培根 胡椒粉 胡椒粒
473134,烤玉米筍,帶殼玉米筍 乾香麻辣子
476953,鯷魚炒櫛瓜玉米筍,櫛瓜 玉米筍 鯷魚 蒜頭 辣椒
461976,四季豆醬炒玉米筍,四季豆 玉米筍 雞粉 芝麻 烤肉醬
458432,［減醣］烤玉米筍,玉米筍 醬油 醋 羅漢果糖
477798,玉米筍香腸雙蔥佛卡夏,番茄紅醬 高筋麵粉 炒熟洋蔥絲 德式香腸片 帕馬森乳酪粉 熟玉米筍 義式香料 青蔥末 速發酵母 乳酪絲 帕馬森起司粉
457757,甜豆炒玉米筍,甜豆 玉米筍 雞粉 紅蘿蔔片
475310,蒜香櫛瓜蝦仁玉米筍,櫛瓜 玉米筍 蝦仁 蒜片 黑胡椒粉 奶油 米酒
469471,金沙茭白筍玉米筍,鹹蛋 茭白荀 玉米筍 蒜頭 胡椒粉
467919,秋葵炒玉米筍,秋葵 洋蔥 紅蘿蔔 玉米筍 蒜蓉醬
468092,水蓮炒玉米筍,水蓮 玉米筍 蒜頭
466838,三色小菜/玉米秋葵玉米筍,秋葵 玉米筍 玉米粒罐頭含鹽 柴魚片 青蔥 白芝麻 川燙用
425055,金沙玉米筍,玉米筍 鹹鴨蛋 蔥末 蒜末 辣椒
458873,甜豆玉米筍,玉米筍 甜豆 雪白菇 蒜末 胡椒粉 米酒
459943,炒甜椒玉米筍,彩椒 玉米筍 蒜片 蒜末
459954,玉米筍肉捲捲,豬火鍋肉片 玉米筍 日式醬油 味霖 清水
462373,焗烤馬鈴薯蝦仁毛豆玉米筍,馬鈴薯 蝦仁 冷凍毛豆仁 玉米筍 乳酪絲
450223,玉米筍煎蛋,玉米筍 蛋 調味
453928,奶油蒜香玉米筍,玉米筍 奶油 醬油 蒜頭 香菇素蠔油 鮮香菇 砂糖 金針菇
452207,奶油水煎玉米筍,玉米筍 羽衣甘藍可省略 奶油 黑胡椒
450230,小黃瓜炒玉米筍,小黃瓜 玉米筍 胡椒粒
443730,肉醬玉米筍,玉米筍 肉醬罐頭 蔥花
453743,金沙杏鮑菇玉米筍,杏鮑菇小支 鹹蛋 蔥 蒜頭 糖
450637,青江菜炒玉米筍 / 家常菜,青江菜 玉米筍 蒜瓣
438922,椒鹽玉米筍,玉米筍 蒜頭 辣椒 蔥花 檸檬汁 白胡椒粉 花椒粉
443670,甜不辣炒玉米筍,甜不辣 玉米筍大 小黃瓜 黑胡椒粒 紅蘿蔔 蒜頭
446534,蒜味奶油玉米筍,玉米筍 金針菇 蔥 黑胡椒粒 奶油
443259,玉米筍肉卷,玉米筍 豬肉片 醬油 味霖 白芝麻
444995,清蒸帶殼玉米筍,帶殼玉米筍
448247,醬燒玉米筍小黃瓜,玉米筍 小黃瓜 蝦子
444937,芹菜玉米筍炒花枝,花枝 芹菜 玉米筍 辣椒
448614,蒜香金針菇玉米筍,玉米筍 金針菇 醬油 蒜頭 青蔥 辣椒
441509,玉米筍四季豆肉醬,豬絞肉 四季豆 玉米筍 杏鮑菇 蒜頭 薑
440580,香料烤玉米筍,玉米筍 乾燥奧勒岡葉
447450,舞菇炒雞胸肉玉米筍,好菇道舞菇 雞胸肉切片 米酒 玉米筍 小黃瓜 白胡椒粉 黑胡椒粒 蒜頭 日本太白粉
451206,椒鹽蒜香麵腸玉米筍 / 家常菜,麵腸 洋蔥 玉米筍 香菜 蒜瓣 白胡椒粉 黑胡椒粒
445993,鹽烤帶殼玉米筍,帶殼玉米筍 花椒
439285,龍鬚菜玉米筍 / 家常菜,龍鬚菜 玉米筍 蒜瓣 黑胡椒粒
455846,第一晚：糖醋肉，奶油蒜味西蘭花玉米筍,二層肉 花揶菜 玉米筍 蛤蜊 鳳梨罐頭 紅椒
449662,🌺瘦身-涼拌綠竹筍&燙花椰菜玉米筍🌺,綠竹筍 花椰菜 玉米筍 冰糖或砂糖 美奶滋
445559,舞菇玉米筍菜脯雞湯,土雞切塊 好菇道舞菇 玉米筍 菜脯 雞粉 薑片
436668,《涼拌蘆筍＆玉米筍》,玉米筍 蘆筍 美乃滋 胡麻醬 油醋醬 和風醬類
433916,玉米筍炒花椰菜,白花椰菜 玉米筍 蒜瓣 安食小品醬鹽
444377,泰式辣拌花椰菜/玉米筍,花椰菜 玉米筍 蒜鹽 泰佳品 九層塔辣醬
444400,什錦炒玉米筍(五辛素),玉米筍 胡蘿蔔 川耳 蒜頭 香菇粉 白胡椒粉
