# 分析摘要
# 最高相似度: 0.640
# 建議門檻: 0.51 (最高相似度的80%)
# 總食譜組合數: 990
# 當前分析門檻: 0.3
# 符合門檻組合數: 16
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 110 組相似食譜
# 門檻 0.2: 60 組相似食譜
# 門檻 0.3: 16 組相似食譜
# 門檻 0.4: 8 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
473134,烤玉米筍,444995,清蒸帶殼玉米筍,0.64
444995,清蒸帶殼玉米筍,445993,鹽烤帶殼玉米筍,0.64
469471,金沙茭白筍玉米筍,453743,金沙杏鮑菇玉米筍,0.456
474795,培根玉米筍,450230,小黃瓜炒玉米筍,0.453
453928,奶油蒜香玉米筍,446534,蒜味奶油玉米筍,0.432
450230,小黃瓜炒玉米筍,448247,醬燒玉米筍小黃瓜,0.43
453928,奶油蒜香玉米筍,448614,蒜香金針菇玉米筍,0.422
473134,烤玉米筍,445993,鹽烤帶殼玉米筍,0.409
451206,椒鹽蒜香麵腸玉米筍 / 家常菜,439285,龍鬚菜玉米筍 / 家常菜,0.38
450637,青江菜炒玉米筍 / 家常菜,439285,龍鬚菜玉米筍 / 家常菜,0.353
476953,鯷魚炒櫛瓜玉米筍,448614,蒜香金針菇玉米筍,0.323
450637,青江菜炒玉米筍 / 家常菜,433916,玉米筍炒花椰菜,0.321
446534,蒜味奶油玉米筍,448614,蒜香金針菇玉米筍,0.318
443730,肉醬玉米筍,438922,椒鹽玉米筍,0.31
458432,［減醣］烤玉米筍,448614,蒜香金針菇玉米筍,0.301
452207,奶油水煎玉米筍,446534,蒜味奶油玉米筍,0.301
