id,name,document
436645,甜豌豆炒雞胸肉,甜豌豆 雞胸肉 紅蘿蔔
437603,簡單好料理：金沙甜豌豆,甜豌豆 鹹蛋 蒜頭
434216,甜豌豆炒時蔬,甜豌豆 杏包菇 黑木耳 紅蘿蔔絲 蒜頭
468936,家常涼拌甜豆(五辛素),甜豌豆甜豆 蒜頭 紅辣椒 日式紅油 醬油 味醂 味素
477081,地中海料理｜鹽漬黃檸檬香料燉雞翅,雞翅小腿 二節翅 小茴香粉 紅甜椒 咖哩粉 黃甜椒 凱宴辣椒粉 鹽漬黃檸檬 煙燻紅甜椒粉 葡萄乾 鹽與現磨黑胡椒 豌豆 白酒 清水 香菜
455783,奶香炒烏龍,烏龍麵 秀珍菇 糖 奶油 醬油 甜豌豆 蠔油 洋蔥
446399,10分鐘上菜-水炒甜豆,甜豌豆 蒜頭 紅蘿蔔
457324,玉米番茄燉飯,白米 綠巨人生機無鹽玉米粒 番茄 洋蔥 甜豌豆 豬絞肉 雞高湯 義大利綜合香料
458930,炒荷蘭豆,豌豆 甜椒 秀珍菇 黑木耳 蒜頭 烹大師
429638,雞肉鍋飯,去骨雞腿肉 甜椒 櫛瓜 蘑菇 番茄 萊姆 蝦子 甜豌豆 蒜頭 米
334699,干貝炒甜豌豆,干貝 甜豆 紅蘿蔔 大蒜
324143,甜豌豆炒干貝,甜豆 鮮干貝 蒜末 胡椒 米酒
322642,甜豌豆炒軟絲,軟絲 甜豆 蒜末 米酒 鮮味炒手 胡椒
434469,蔬食豌豆濃湯｜Vitamix調理機,蔬菜高湯熱 冷凍甜豌豆解凍 羽衣甘藍 新鮮義大利巴西里葉 洋蔥去皮 大蒜去皮 鹽可自行調整
416910,鳯梨蝦抱美人腿(筊白筍),茭白筍3支 蝦子 胡椒粉 甜豌豆 鳯梨 蒜頭
417085,木耳炒甜豆(五辛素),甜豌豆 荷蘭豆 乾木耳 鮮木耳 胡蘿蔔 杏鮑菇 蒜頭 辣椒 香菇素蠔油 香菇粉 白胡椒粉 太白粉
418461,日式鮮筍炊飯(蔬食),白米 麻竹筍 鰹魚醬油 美白菇 醬油 鴻喜菇 清酒 甜豌豆 味醂 薑 蔥 清水 胡麻油 黑胡椒粉 辣椒絲
456279,在家烤披薩 ～海鮮口味 & 仿六小福口味,高筋麵粉 糖 透抽 蝦仁 牛絞肉 酵母粉 蟹肉棒 豬絞肉 新鮮去皮番茄 泡打粉 新鮮干貝 德式香腸 洋蔥末 紅黃椒 青椒 蒜 溫水 綠豌豆 洋蔥 蘑菇 披薩用起司 紅黃甜椒 雞胸 黑胡椒
440694,和風海鮮披薩（蛋餅皮版）,冷凍蛋餅皮 花枝丸 粗黑胡椒粉 蝦仁 烤肉醬或大阪燒醬 鱘味棒 美乃滋 洋蔥 香鬆飯友 甜玉米粒 鳳梨片鳳梨罐頭 冷凍豌豆 柴魚片 起司絲
255271,副食品-甜豌豆泥,甜豌豆
417045,印度綠咖喱抓飯ग्रीन पुलाव,泰國茉莉香米 清水 蔬菜高湯 原味優格 洋蔥 奶油 番茄 肉桂 青辣椒 水煮蛋 小黃瓜 月桂葉 薑 馬鈴薯 丁香 蒜頭 胡蘿蔔 砂糖 白荳蔻 香菜 甜豆 豌豆 辣椒粉 孜然 清水 四季豆 孜然粉 腰果 咖喱粉 芫荽籽粉 黑胡椒粉
395233,烤咖哩雞腿排佐沙拉,無雞腿 紅甜椒 SB 天然純咖哩粉 黃甜椒 SB 特製咖哩粉 雪莉酒醋 青椒 韓式辣椒粉 亞麻子油 櫛瓜 研磨黑胡椒 花椰菜 萵苣 百里香 蒜末 豌豆嬰 無糖優格 雞蛋
343153,綠咖哩紐約客牛排飯,紐約客牛排 飯 甜豌豆 玉米筍 九層塔 辣椒 綠咖哩粉 檸檬葉 椰漿 糖 魚露
351420,什錦蔬菜起司烘蛋 （清冰箱超方便）,蛋 甜豌豆 黑胡椒粉 青椒 杯子蛋糕6連 鴻禧菇 烘培紙或杯子蛋糕紙模 培根 馬鈴薯 焗烤乳酪絲
386102,防疫宅料理~~粉紅胡椒蒜燒蝦熱沙拉,白刺蝦去腸泥開背 去腥鹽巴 粉紅胡椒粒 去腥米酒頭 白胡椒粉 黃色甜椒切塊 喜馬拉雅岩鹽 紅色甜椒切塊 青椒切塊 蒜頭拍扁切碎 裝飾小番茄對切 裝飾 豌豆嬰
351823,甜玉米蛋沙拉,綠巨人天然特甜玉米粒 水煮蛋 火腿丁 豌豆苗 美乃滋 胡椒粉 辣椒粉
346965,玉米筍肉捲,五花肉片 玉米筍 烤肉醬 豌豆苗 白開水 甜橙 七味唐辛子粉 白芝麻粒
333647,馬來西亞－芙蓉燒包,粗豬絞肉 紫洋蔥 麵粉 甜豌豆去夾取豆 糖 白油 雪白油 白糖 蠔油 醬油 五香粉 玉米粉 食油
