# 分析摘要
# 最高相似度: 0.659
# 建議門檻: 0.53 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 11
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 168 組相似食譜
# 門檻 0.2: 48 組相似食譜
# 門檻 0.3: 11 組相似食譜
# 門檻 0.4: 6 組相似食譜
# 門檻 0.5: 2 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
324143,甜豌豆炒干貝,322642,甜豌豆炒軟絲,0.659
408056,便當店清炒豌豆(五辛素),417085,木耳炒甜豆(五辛素),0.617
436645,甜豌豆炒雞胸肉,446399,10分鐘上菜-水炒甜豆,0.457
446399,10分鐘上菜-水炒甜豆,255271,副食品-甜豌豆泥,0.455
437603,簡單好料理：金沙甜豌豆,446399,10分鐘上菜-水炒甜豆,0.425
295756,馬鈴薯燉肉,275075,馬鈴薯蔬菜燉肉,0.425
446399,10分鐘上菜-水炒甜豆,323011,蟹管肉炒飯（寶寶副食品1Y2M)全聯食譜,0.375
446399,10分鐘上菜-水炒甜豆,242917,素蔬什錦菇 #罐頭料理,0.341
437603,簡單好料理：金沙甜豌豆,255271,副食品-甜豌豆泥,0.335
436645,甜豌豆炒雞胸肉,255271,副食品-甜豌豆泥,0.33
343153,綠咖哩紐約客牛排飯,320896,泰國藍象綠咖喱,0.309
