id,name,document
456503,韓式醃白蘿蔔,白蘿蔔 二砂糖 壽司醋
475367,白蘿蔔燒肉片,白蘿蔔 豬五花肉片 蔥白 白胡椒粉 醬油 蔥綠 米酒 味醂 二砂糖
475639,素燒白蘿蔔湯,白蘿蔔 乾香菇 八角 月桂葉 薑片 醬油 蠔油 鮮味炒手 蔥花
470673,紅燒白蘿蔔,絞肉豬 白蘿蔔 薑片 蔥白蔥綠 辣椒 蒜片 醬油 糖
479476,電鍋出好菜—日式白蘿蔔佃煮,白蘿蔔 海帶結 日式高湯包 油豆腐 醬油3大匙 日式油豆腐 二砂糖
477337,百香大根（百香果醃白蘿蔔）,白蘿蔔 百香果 糖
472057,酸甜醃白蘿蔔,白蘿蔔 檸檬汁 糖 氣泡水
470871,白蘿蔔肉粥,白蘿蔔 豬絞肉 蝦皮 醬油 白米 紅頭酥 香菜
460475,清燉牛肉洋蔥白蘿蔔,牛嫩煎里脊 洋蔥 白蘿蔔 雞粉 滷包 米酒
473822,烤烏魚子佐蒜苗白蘿蔔,烏魚子 白蘿蔔 蒜苗 高粱酒
473326,清燉白蘿蔔牛肉湯/家常菜,牛腩 白蘿蔔 雞骨架 米酒 洋蔥 薑 青蔥 八角
463345,滷白蘿蔔,白蘿蔔 醬油
478918,菜頭排骨貢丸湯,菜頭 排骨 貢丸 玉米
471183,小菜_醃白蘿蔔（超簡單快速）,白蘿蔔 水果醋
465207,白蘿蔔燒肉,五花肉 白蘿蔔 蔥 薑 蒜 辣椒 醬油 豆瓣醬 米酒 冰糖
451333,白蘿蔔香菇肉絲粥（電子鍋）,白蘿蔔 肉絲 米酒 乾香菇 油蔥酥 雞粉 米 胡椒粉
479562,紅燒蘿蔔 / 家常菜,白蘿蔔 老薑片 蒜瓣 蠔油
479722,玉米蘿蔔湯,白蘿蔔 紅蘿蔔 玉米 香菜 胡椒粉 雞粉
479515,炒蘿蔔絲,白蘿蔔 糖 香菇素蠔油
477176,蘿蔔糕,白蘿蔔泥 香腸丁 乾蝦米 味醂 乾香菇 白胡椒 泡完香菇的水 油蔥酥 水磨在來米粉
479245,炸蘿蔔糕,蘿蔔糕 麵粉
462230,醬油醃白蘿蔔,醬油 蒜頭辣椒 蘿蔔 糖 玻璃罐
461590,醬滷白蘿蔔,白蘿蔔 薑 蒜頭 素蠔油 白胡椒粉
462897,白蘿蔔豬肉餡水餃,小條白蘿蔔 絞肉 蔥花 醬油
470559,冬季限定～白蘿蔔牛腩湯（附蘸醬）,牛腩 白蘿蔔 蒜末 薑片 辣椒 八角 香菜末 香菜 醬油
461515,醃製紅蘿蔔白蘿蔔,紅蘿蔔丁 白蘿蔔 蒜頭 辣椒
479556,蒜苗炒蘿蔔糕,蘿蔔糕 香菜 蒜苗
473910,蘿蔔蒸肉,白蘿蔔 豬絞肉 蔥花 切碎 薑末 蠔油
463014,日式白蘿蔔牛肉湯,牛腱心 洋蔥 白蘿蔔 柴魚醬油
478688,蘿蔔玉米排骨湯,玉米 白蘿蔔 豬小排 味精 雞湯塊
478954,彩色蕃茄蘿蔔沙拉,各色彩色蕃茄 彩色蘿蔔 香菜可不用 蒜頭可不用 紅酒醋視個人口味調整 初榨橄欖油視個人口味調整 鹽視個人口味調整 黑胡椒粉可不用
477329,味噌炒紅蘿蔔豬肉,豬瘦絞肉 米酒 胡椒 味噌 糖 紅蘿蔔 大蒜 毛豆 海苔
457197,無水白蘿蔔燉肉,豬梅花肉切塊 白蘿蔔 八角 月桂葉 黑胡椒粉 醬油 糖 紹興酒
473243,特福鮮呼吸電子壓力鍋-白蘿蔔雞腿藥膳湯,藥膳藥材 鮮味炒手 米酒 帶骨雞腿肉 白蘿蔔
455089,白蘿蔔牛肉湯,牛肋條 牛腱 老薑 白蘿蔔 八角 米酒 蔥 醬油 冰糖 白胡椒粉
477452,青檸醃蘿蔔,白蘿蔔 檸檬 替代檸檬現成檸檬冰角 白醋 冰糖
472314,台式蘿蔔糕,白蘿蔔絲 在來米舊米最好 鹽巴16克 白胡椒粉2克
473933,台式蘿蔔泡菜/素,白蘿蔔 紅蘿蔔 蒜 白糖 糯米醋 辣椒 冰梅
476714,蘿蔔貢丸排骨湯,胛心排骨 白蘿蔔 貢丸 老薑 香菜 芹菜 米酒 白胡椒粒 雞粉
478875,麻香蘿蔔絲餅,白蘿蔔 胡蘿蔔 蔥花 蛋 麵粉 紅花椒鹽
478852,日式豚肉佃煮蘿蔔,豬肉片 白蘿蔔 醬油 紅蘿蔔 味琳 薑片 米酒 蔥白段 糖 蒜頭 洋蔥絲 蔥花
479398,菜脯炒蘿蔔糕,蘿蔔糕 雞蛋 蒜頭 菜脯 黑甜醬油 魚露 白胡椒粉 食用油或奶油 辣椒醬可省略
471220,蘿蔔魚丸湯,三鮮丸 花枝魚丸 白蘿蔔 老薑 芹菜 香菜 米酒 雞粉 白胡椒粉
476383,簡易蘿蔔絲餅,白蘿蔔 紅蘿蔔 蝦皮 雞蛋 青蔥 香菜 中筋麵粉 白胡椒
478219,醃漬蘿蔔（柚子風味）,白蘿蔔 柚子茶 香菇調味露 壺釀米醋
439699,白蘿蔔冬粉湯,白蘿蔔 冬粉 白胡椒粉 芹菜末 油蔥
476350,辣牛肉蘿蔔湯,李錦記 頭道零添加原釀醬油 牛肉 切片 辣椒粉 白蘿蔔 切片 蔥 切段 昆布高湯 豆芽 蒜泥
