# 分析摘要
# 最高相似度: 0.524
# 建議門檻: 0.42 (最高相似度的80%)
# 總食譜組合數: 1081
# 當前分析門檻: 0.3
# 符合門檻組合數: 12
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 134 組相似食譜
# 門檻 0.2: 57 組相似食譜
# 門檻 0.3: 12 組相似食譜
# 門檻 0.4: 2 組相似食譜
# 門檻 0.5: 1 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
476714,蘿蔔貢丸排骨湯,471220,蘿蔔魚丸湯,0.524
479245,炸蘿蔔糕,479556,蒜苗炒蘿蔔糕,0.405
451333,白蘿蔔香菇肉絲粥（電子鍋）,479722,玉米蘿蔔湯,0.395
479245,炸蘿蔔糕,478875,麻香蘿蔔絲餅,0.357
475639,素燒白蘿蔔湯,457197,無水白蘿蔔燉肉,0.355
473822,烤烏魚子佐蒜苗白蘿蔔,479556,蒜苗炒蘿蔔糕,0.342
463345,滷白蘿蔔,465207,白蘿蔔燒肉,0.315
461590,醬滷白蘿蔔,461515,醃製紅蘿蔔白蘿蔔,0.315
470673,紅燒白蘿蔔,470559,冬季限定～白蘿蔔牛腩湯（附蘸醬）,0.313
465207,白蘿蔔燒肉,455089,白蘿蔔牛肉湯,0.313
455089,白蘿蔔牛肉湯,471220,蘿蔔魚丸湯,0.303
473326,清燉白蘿蔔牛肉湯/家常菜,470559,冬季限定～白蘿蔔牛腩湯（附蘸醬）,0.302
