id,name,document
479426,金沙秋葵,秋葵 鹹鴨蛋 蒜頭
476663,秋葵蒸蛋,雞蛋 柴魚粉 秋葵
479361,秋葵薑飲OkraGinger Drink,秋葵Okra 有機薑nonGMOGinger 清水pure water
478982,涼拌小黃瓜雪白菇秋葵,小黃瓜 雪白菇 醬油 秋葵 烏醋 白芝麻 紅蘿蔔 糖 香蒜粒 檸檬汁
477106,香蒜辣炒秋葵,植物油 秋葵 蒜頭 紅辣椒 醬油 素蠔油 細砂糖
476125,麻香秋葵肉捲,秋葵 豬肉片 18味花椒鵝香辣油 白芝麻
479751,蔭豆吻仔魚炒秋葵,秋葵 吻仔魚 蔭豆鼓
472247,山藥秋葵拌飯,山藥 秋葵 蜂蜜 白飯 柚香檸檬沾淋醬
460509,咖喱板豆腐炒秋葵,板豆腐 秋葵 咖喱粉 雞粉
464645,炒秋葵,黑木耳 秋葵 絞肉 蔥薑蒜辣椒
466716,蒜蓉秋葵,秋葵 蒜末 辣椒末 蔥花 蠔油 熱油 清高湯
466233,秋葵豬肉卷,秋葵 梅花豬肉片火鍋用 醬油 米酒 蠔油 白胡椒粉
476993,養肌輕料理｜秋葵海苔豆漿玉子燒,秋葵 豆漿 雞蛋 日式干貝柴魚醬油 味醂 海苔
465549,香炸秋葵,秋葵 中筋麵粉 玉米粉 紅椒粉 香蒜粉 胡椒鹽粉 白芝麻
466172,香煎秋葵豬肉捲,秋葵 里肌豬肉片 義興嘉釀醬油 辣椒 蒜頭 砂糖
467919,秋葵炒玉米筍,秋葵 洋蔥 紅蘿蔔 玉米筍 蒜蓉醬
467029,秋葵炒蛋（蛋素）,秋葵 雞蛋 香菇調味露 黑胡椒粉 玄米油 白芝麻粒 紅蘿蔔丁
464951,涼拌皮蛋秋葵,秋葵 皮蛋 鰹魚醬油 芝麻油 白芝麻
469274,秋葵炒蛋  ( 家常菜懶人包 ),秋葵 雞蛋
466976,秋葵鮮蚵豆腐,秋葵 鮮蚵 嫩豆腐 薑末 蒜末 豆豉 醬油 米酒 砂糖
463924,味噌秋葵肉醬,秋葵 絞肉 洋蔥碎 味噌 醬油 米酒 砂糖
467004,微波版秋葵炒貢丸,秋葵 貢丸 沙茶醬 蒜末 醬油
457868,天婦羅秋葵,秋葵 低筋麵粉 雞蛋也可不加
462299,涼拌秋葵海帶芽,海帶芽 秋葵 白芝麻 蒜泥 雞晶粉或鹽巴
463551,胡椒秋葵醬雞排,雞胸肉 秋葵 胡麻醬 醬油 米酒 黑胡椒 玉米粉
462191,日式秋葵蒸蛋,秋葵 蟹肉棒 鰹魚露 雞蛋 醬油 米酒 雞粉
461479,秋葵炒嫩蛋,雞蛋 熟秋葵 烹大師 雞油或任一種油
461482,夏日秋葵沙拉 ☀️,秋葵 桂冠沙拉醬
458389,醬燒秋葵,秋葵 柴魚醬油
