id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
479426,金沙秋葵,https://icook.tw/recipes/479426,秋葵、鹹鴨蛋、蒜頭,秋葵300g | 鹹鴨蛋1~2顆 | 蒜頭2瓣,1.準備所有食材，清理與清洗之(秋葵可用一點鹽搓揉去除表面絨毛再清洗)。 | 2.蒜頭切末，秋葵切去蒂頭，切1公分圓段，鹹鴨蛋去殼，取出蛋黃壓散(泥)，蛋白切細丁。 | 3.起鍋，開小火，倒入1大匙的食用油，放入蒜末與鹹蛋白炒出香氣。 | 4.轉中火，放入秋葵拌炒。 | 5.約炒1.5-2分鐘，至秋葵轉透綠熟成(脆口無莢生)，即可先起鍋。 | 6.續鍋轉小火，再加入1大匙的食用油，放入鹹蛋黃，拌炒至起泡泡。 | 7.再加入炒好的秋葵(步驟5.)快速翻拌，使其裹上金沙，即可關火。 | 8.起鍋盛盤。,金沙秋葵。食材：秋葵300g，鹹鴨蛋1~2顆，蒜頭2瓣。做法：1.準備所有食材，清理與清洗之(秋葵可用一點鹽搓揉去除表面絨毛再清洗)。，2.蒜頭切末，秋葵切去蒂頭，切1公分圓段，鹹鴨蛋去殼，取出蛋黃壓散(泥)，蛋白切細丁。，3.起鍋，開小火，倒入1大匙的食用油，放入蒜末與鹹蛋白炒出香氣。，4.轉中火，放入秋葵拌炒。，5.約炒1.5-2分鐘，至秋葵轉透綠熟成(脆口無莢生)，即可先起鍋。，6.續鍋轉小火，再加入1大匙的食用油，放入鹹蛋黃，拌炒至起泡泡。，7.再加入炒好的秋葵(步驟5.)快速翻拌，使其裹上金沙，即可關火。，8.起鍋盛盤。。,秋葵/479426_金沙秋葵.jpg
476663,秋葵蒸蛋,https://icook.tw/recipes/476663,雞蛋、水、柴魚粉、秋葵,雞蛋2顆 | 水220cc | 柴魚粉1大匙 | 秋葵適量,將蛋跟水加入柴魚粉混合過篩備用！秋葵切小片備用！ | 將蛋液倒入容器（用小叉子將氣泡戳掉） | 放入蒸烤箱 | 按蒸氣模式！100度15分鐘 | 光滑又水噹噹的蒸蛋就完成囉！,秋葵蒸蛋。食材：雞蛋2顆，水220cc，柴魚粉1大匙，秋葵適量。做法：將蛋跟水加入柴魚粉混合過篩備用！秋葵切小片備用！，將蛋液倒入容器（用小叉子將氣泡戳掉），放入蒸烤箱，按蒸氣模式！100度15分鐘，光滑又水噹噹的蒸蛋就完成囉！。,秋葵/476663_秋葵蒸蛋.jpg
479361,秋葵薑飲OkraGinger Drink,https://icook.tw/recipes/479361,秋葵Okra、有機薑nonGMOGinger、清水pure water,秋葵Okra3條 pieces | 有機薑nonGMOGinger3片slices | 清水pure water3杯cups,"選秋葵如手指般長，有機薑連皮。
Choose okra that is as long as a finger and organic ginger with the skin. | 洗乾淨切片、切丁。
Wash, slice and dice. | 將秋葵和有機薑放入清水中，大火煮開，然後轉小火煮大概30分鐘。
Place okra and organic ginger in water, bring to a boil over high heat, then simmer for about 30 minutes. | 煮至秋葵及薑味溢出，秋葵色澤變黃。水量少了一半。
Cook until the okra and ginger flavor comes out and the okra turns yellow. The amount of water was reduced by half. | 隔渣過濾後，只享用飲料。
After filtering, just enjoy the drink. | 可加鹽或者蜂蜜。冷飲或熱飲，都可以。
You can add salt or honey. Drink it hot or cold.","秋葵薑飲OkraGinger Drink。食材：秋葵Okra3條 pieces，有機薑nonGMOGinger3片slices，清水pure water3杯cups。做法：選秋葵如手指般長，有機薑連皮。
Choose okra that is as long as a finger and organic ginger with the skin.，洗乾淨切片、切丁。
Wash, slice and dice.，將秋葵和有機薑放入清水中，大火煮開，然後轉小火煮大概30分鐘。
Place okra and organic ginger in water, bring to a boil over high heat, then simmer for about 30 minutes.，煮至秋葵及薑味溢出，秋葵色澤變黃。水量少了一半。
Cook until the okra and ginger flavor comes out and the okra turns yellow. The amount of water was reduced by half.，隔渣過濾後，只享用飲料。
After filtering, just enjoy the drink.，可加鹽或者蜂蜜。冷飲或熱飲，都可以。
You can add salt or honey. Drink it hot or cold.。",秋葵/479361_秋葵薑飲OkraGinger_Drink.jpg
478982,涼拌小黃瓜雪白菇秋葵,https://icook.tw/recipes/478982,小黃瓜、雪白菇、醬油、秋葵、烏醋、白芝麻、紅蘿蔔、糖、香油、香蒜粒、檸檬汁,小黃瓜3條 | 雪白菇1包 | 秋葵7根 | 紅蘿蔔一小塊 | 醬油2大匙 | 烏醋1大匙 | 糖1小匙 | 香蒜粒1小匙 | 檸檬汁少量 | 白芝麻少量 | 香油少許,"1.小黃瓜切片，加入鹽巴加少量糖，放置10分鐘，再去清處理
2.雪白菇洗清、秋葵把頭和毛去掉，汆燙後、撈起瀝乾水份備用 | 將調味醬調和在一起(可依個人喜好調整) | 處理好食材後 | 放入器皿中 | 將調味醬倒入拌勻，放入冰箱冷藏後取出味道會更佳。 | 上菜前，灑一些白芝麻和一些香油，味道會更棒","涼拌小黃瓜雪白菇秋葵。食材：小黃瓜3條，雪白菇1包，秋葵7根，紅蘿蔔一小塊，醬油2大匙，烏醋1大匙，糖1小匙，香蒜粒1小匙，檸檬汁少量，白芝麻少量，香油少許。做法：1.小黃瓜切片，加入鹽巴加少量糖，放置10分鐘，再去清處理
2.雪白菇洗清、秋葵把頭和毛去掉，汆燙後、撈起瀝乾水份備用，將調味醬調和在一起(可依個人喜好調整)，處理好食材後，放入器皿中，將調味醬倒入拌勻，放入冰箱冷藏後取出味道會更佳。，上菜前，灑一些白芝麻和一些香油，味道會更棒。",秋葵/478982_涼拌小黃瓜雪白菇秋葵.jpg
477106,香蒜辣炒秋葵,https://icook.tw/recipes/477106,水、植物油、秋葵、鹽、蒜頭、紅辣椒、醬油、素蠔油、細砂糖🍬,水800毫升 | 植物油1小匙 | 鹽0.5小匙 | 秋葵300克 | 蒜頭5瓣 | 紅辣椒1根 | 醬油2小匙 | 素蠔油1大匙 | 鹽0.5小匙 | 細砂糖🍬1小匙 | 植物油1大匙,蒜頭清洗後切成蒜末，紅辣椒清洗後切成辣椒圈 | 準備川燙水 | 將川燙水煮滾 | 加入清洗後的秋葵川燙2分鐘 | 將川燙後的秋葵撈起，切除蒂頭 | 秋葵切斜刀塊 | 炒鍋熱鍋後，加入植物油 | 以小火將蒜末和辣椒圈炒香 | 加入醬油、素蠔油、鹽和細砂糖，拌炒至細砂糖溶解 | 加入秋葵拌炒均勻 | 呈盤後即完成,香蒜辣炒秋葵。食材：水800毫升，植物油1小匙，鹽0.5小匙，秋葵300克，蒜頭5瓣，紅辣椒1根，醬油2小匙，素蠔油1大匙，鹽0.5小匙，細砂糖🍬1小匙，植物油1大匙。做法：蒜頭清洗後切成蒜末，紅辣椒清洗後切成辣椒圈，準備川燙水，將川燙水煮滾，加入清洗後的秋葵川燙2分鐘，將川燙後的秋葵撈起，切除蒂頭，秋葵切斜刀塊，炒鍋熱鍋後，加入植物油，以小火將蒜末和辣椒圈炒香，加入醬油、素蠔油、鹽和細砂糖，拌炒至細砂糖溶解，加入秋葵拌炒均勻，呈盤後即完成。,秋葵/477106_香蒜辣炒秋葵.jpg
476125,麻香秋葵肉捲,https://icook.tw/recipes/476125,秋葵、豬肉片、18味花椒鵝香辣油、白芝麻,秋葵12根 | 豬肉片12片 | 18味花椒鵝香辣油兩大匙 | 白芝麻適量,將秋葵去頭。 | 用豬肉片將秋葵包裹起來。 | 熱鍋下油，放入肉捲。 | 煎至金黃再倒入醬汁 | 蓋上鍋蓋悶煮10分鐘後開蓋收汁即可。 | 裝盤即可上桌。,麻香秋葵肉捲。食材：秋葵12根，豬肉片12片，18味花椒鵝香辣油兩大匙，白芝麻適量。做法：將秋葵去頭。，用豬肉片將秋葵包裹起來。，熱鍋下油，放入肉捲。，煎至金黃再倒入醬汁，蓋上鍋蓋悶煮10分鐘後開蓋收汁即可。，裝盤即可上桌。。,秋葵/476125_麻香秋葵肉捲.jpg
479751,蔭豆吻仔魚炒秋葵,https://icook.tw/recipes/479751,秋葵、吻仔魚、蔭豆鼓,秋葵12 | 吻仔魚1把 | 蔭豆鼓1小匙,蒜頭五瓣切碎爆香 | 放入秋葵（清洗後去蒂斜切）、吻仔魚 | 炒熟放入蔭豆 | 拌勻即可起鍋。,蔭豆吻仔魚炒秋葵。食材：秋葵12，吻仔魚1把，蔭豆鼓1小匙。做法：蒜頭五瓣切碎爆香，放入秋葵（清洗後去蒂斜切）、吻仔魚，炒熟放入蔭豆，拌勻即可起鍋。。,秋葵/479751_蔭豆吻仔魚炒秋葵.jpg
472247,山藥秋葵拌飯,https://icook.tw/recipes/472247,山藥、秋葵、蜂蜜、白飯、柚香檸檬沾淋醬、鹽巴,山藥1小塊 | 秋葵3~4根 | 白飯1碗 | 鹽巴少許 | 蜂蜜12克 | 柚香檸檬沾淋醬15cc,準備食材。 | 使用鹽巴把秋葵表面搓一搓，目的是去除表面絨毛。 | 秋葵洗淨，而後把蒂頭上面一圈削掉。 | 川燙秋葵。 | 起鍋後過涼水冰鎮。 | 山藥洗淨去皮後，放入袋子中，使用玻璃罐將其壓碎。 | 秋葵切小段。 | 把柚香檸檬沾淋醬和蜂蜜混合均勻。 | 組裝→先放白飯+山藥泥+秋葵+淋上醬汁。完成!!!!!,山藥秋葵拌飯。食材：山藥1小塊，秋葵3~4根，白飯1碗，鹽巴少許，蜂蜜12克，柚香檸檬沾淋醬15cc。做法：準備食材。，使用鹽巴把秋葵表面搓一搓，目的是去除表面絨毛。，秋葵洗淨，而後把蒂頭上面一圈削掉。，川燙秋葵。，起鍋後過涼水冰鎮。，山藥洗淨去皮後，放入袋子中，使用玻璃罐將其壓碎。，秋葵切小段。，把柚香檸檬沾淋醬和蜂蜜混合均勻。，組裝→先放白飯+山藥泥+秋葵+淋上醬汁。完成!!!!!。,秋葵/472247_山藥秋葵拌飯.jpg
460509,咖喱板豆腐炒秋葵,https://icook.tw/recipes/460509,板豆腐、秋葵、咖喱粉、雞粉、鹽,板豆腐1塊 | 秋葵8根 | 咖喱粉1茶匙 | 雞粉1茶匙 | 鹽0.5茶匙,將板豆腐切塊、秋葵洗淨切成適口大小備用 | 熱油鍋將板豆腐煎至金黃加入咖喱粉、雞粉和鹽拌炒至香味散發加入秋葵拌炒至軟,咖喱板豆腐炒秋葵。食材：板豆腐1塊，秋葵8根，咖喱粉1茶匙，雞粉1茶匙，鹽0.5茶匙。做法：將板豆腐切塊、秋葵洗淨切成適口大小備用，熱油鍋將板豆腐煎至金黃加入咖喱粉、雞粉和鹽拌炒至香味散發加入秋葵拌炒至軟。,秋葵/460509_咖喱板豆腐炒秋葵.jpg
464645,炒秋葵,https://icook.tw/recipes/464645,黑木耳、秋葵、絞肉、蔥薑蒜辣椒,黑木耳幾片 | 秋葵幾枝 | 絞肉適量 | 蔥薑蒜辣椒適量,"1,秋葵斜切成小塊。
2.蔥薑蒜炒香 | 加入絞肉炒熟 | 倒入秋葵與黑木耳 | 醬油1匙、醬油膏一匙、少許鹽巴 | 快速拌炒 | 起鍋!","炒秋葵。食材：黑木耳幾片，秋葵幾枝，絞肉適量，蔥薑蒜辣椒適量。做法：1,秋葵斜切成小塊。
2.蔥薑蒜炒香，加入絞肉炒熟，倒入秋葵與黑木耳，醬油1匙、醬油膏一匙、少許鹽巴，快速拌炒，起鍋!。",秋葵/464645_炒秋葵.jpg
466716,蒜蓉秋葵,https://icook.tw/recipes/466716,秋葵、蒜末、辣椒末、蔥花、蠔油、熱油、清高湯,秋葵20根 | 蒜末20克 | 辣椒末3克 | 蔥花5克 | 蠔油15克 | 熱油20克 | 清高湯30克,準備好所需要的食材。 | 秋葵以鹽稍搓揉掉表面的毛刺，消除蒂頭周圍的老組織（可保留一點蒂頭，避免汆燙時黏液流出） ，清洗乾淨後放入已燒開的熱水鍋中汆燙。 | 撈起濾乾熱水，放入含有冰塊的冰飲用水中，冰鎮冷卻。 | 將蒜末、辣椒末、蔥花、蠔油放入大碗中，淋上燒滾熱的沙拉油，攪拌均勻後再加入高湯，再次將所有醬汁攪拌均勻。 | 將冰鎮過的秋葵撲疊在盤中，在澆淋上拌好的蒜蓉醬汁即可~,蒜蓉秋葵。食材：秋葵20根，蒜末20克，辣椒末3克，蔥花5克，蠔油15克，熱油20克，清高湯30克。做法：準備好所需要的食材。，秋葵以鹽稍搓揉掉表面的毛刺，消除蒂頭周圍的老組織（可保留一點蒂頭，避免汆燙時黏液流出） ，清洗乾淨後放入已燒開的熱水鍋中汆燙。，撈起濾乾熱水，放入含有冰塊的冰飲用水中，冰鎮冷卻。，將蒜末、辣椒末、蔥花、蠔油放入大碗中，淋上燒滾熱的沙拉油，攪拌均勻後再加入高湯，再次將所有醬汁攪拌均勻。，將冰鎮過的秋葵撲疊在盤中，在澆淋上拌好的蒜蓉醬汁即可~。,秋葵/466716_蒜蓉秋葵.jpg
