# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1035
# 當前分析門檻: 0.3
# 符合門檻組合數: 16
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 219 組相似食譜
# 門檻 0.2: 62 組相似食譜
# 門檻 0.3: 16 組相似食譜
# 門檻 0.4: 6 組相似食譜
# 門檻 0.5: 5 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
461481,鹽水燙秋葵,457125,蒸秋葵,1.0
461481,鹽水燙秋葵,461483,清燙秋葵 ⛱️,1.0
457125,蒸秋葵,461483,清燙秋葵 ⛱️,1.0
271464,家常菜~秋葵炒蛋,467919,秋葵炒玉米筍,0.625
476663,秋葵蒸蛋,469274,秋葵炒蛋  ( 家常菜懶人包 ),0.581
468397,寶寶副食品-秋葵煎蛋,469274,秋葵炒蛋  ( 家常菜懶人包 ),0.433
271464,家常菜~秋葵炒蛋,468397,寶寶副食品-秋葵煎蛋,0.36
469274,秋葵炒蛋  ( 家常菜懶人包 ),461481,鹽水燙秋葵,0.359
469274,秋葵炒蛋  ( 家常菜懶人包 ),457125,蒸秋葵,0.359
469274,秋葵炒蛋  ( 家常菜懶人包 ),461483,清燙秋葵 ⛱️,0.359
469274,秋葵炒蛋  ( 家常菜懶人包 ),462191,日式秋葵蒸蛋,0.351
476993,養肌輕料理｜秋葵海苔豆漿玉子燒,469274,秋葵炒蛋  ( 家常菜懶人包 ),0.336
469274,秋葵炒蛋  ( 家常菜懶人包 ),461479,秋葵炒嫩蛋,0.335
478936,鴨血牛肉燴秋葵,466233,秋葵豬肉卷,0.322
479426,金沙秋葵,468397,寶寶副食品-秋葵煎蛋,0.315
467029,秋葵炒蛋（蛋素）,469274,秋葵炒蛋  ( 家常菜懶人包 ),0.304
