id,name,document
476270,腐乳空心菜,空心菜 蒜頭 豆腐乳
458239,空心菜雞蛋湯,空心菜 蒜頭 雞蛋 白胡椒粉
478671,沙茶牛肉炒空心菜,牛肉片 空心菜 沙茶醬 白胡椒粉 糖 米酒 醬油 蒜末 辣椒末
476149,沙茶肉絲空心菜,空心菜 蒜頭 辣椒 米酒 肉絲 沙茶醬約35克
478381,清爽開胃 魚露空心菜,空心菜 魚露 醬油 米酒 糖 辣椒
458211,空心菜小魚乾湯,空心菜 蒜頭 小魚乾
460417,空心菜炒杏鮑菇,空心菜 杏鮑菇 雞粉 蒜末
466542,空心菜炒羊肉,羊肉 空心菜 醬油 蒜末 米酒 辣椒末 柴魚粉
461671,空心菜湯,空心菜 魚乾 蒜頭
465358,蝦醬空心菜,空心菜 洗淨切段 蒜瓣 切碎 蝦米 紅蔥頭 切碎 高粱酒 紅辣椒 切圈 蝦醬視口味喜好取用 蠔油 砂糖 魚露 白胡椒粉可略
466533,沙茶肉絲空心菜炒麵,豬肉絲 空心菜 洋蔥絲 辣椒 蒜末 醬油膏或蠔油 沙茶醬 開水或高湯 油麵熱水先燙過
462368,空心菜炒香菇,空心菜 香菇 蒜末 鰹魚調味料
462127,沙茶羊肉空心菜,純鵝油或橄欖油 空心菜 沙茶醬 羊肉片 米酒頭 醬油 長辣椒 日本太白粉 朝天椒 蒜末 蛋白
458094,空心菜炒美白菇,空心菜 美白菇 雞粉 蒜末
460212,泡菜炒空心菜,空心菜 韓式泡菜 素燥 醬油 味霖
462076,蒸空心菜配鯛魚,冷凍鯛魚 空心菜 米酒 鴻喜菇 蠔油 豆腐
460162,蒜香培根空心菜,空心菜 蒜片 培根
461589,鵝油香蔥拌空心菜,空心菜 黃金香蔥鵝油 黃金鵝香油原味 鵝油香蔥 鹽汆燙用 鹽調味用
446526,炒空心菜,空心菜 蒜頭 辣椒
449587,空心菜炒回鍋肉,空心菜 豬五花肉 洋蔥 白胡椒粉 蒜 醬油 辣椒 豆瓣醬 糖
443249,芝麻空心菜,空心菜 蒜泥 白芝麻 香菇粉
465745,"簡單的料理食譜❤️
豆包炒空心菜🍽️",豆包 豆腸 空心菜 番茄 香菇 杏鮑菇
445425,清炒空心菜,空心菜 鮮香菇 胡蘿蔔 蒜頭
444180,荷包蛋炒空心菜,空心菜 雞蛋 蒜片 辣椒 醬油 胡椒粉 米酒
441984,豆乳醬空心菜,空心菜 蒜頭 豆乳醬
436484,皮蛋空心菜,空心菜 皮蛋 蒜末 辣椒 米酒
444402,辣炒空心菜梗,空心菜梗 豬絞肉 蒜頭 辣椒 米酒 白醬油 雞粉 白胡椒粉
449344,蒜香豆豉空心菜炒五花肉,空心菜 全聯五花肉 辣椒 蒜末 豆豉
439878,沙茶牛肉空心菜,空心菜 牛肉炒肉片全聯 蒜頭 辣椒 沙茶醬
441676,自製鹹豬肉炒空心菜,五花肉 米酒 鹹豬肉 蒜末 空心菜 花椒 蒜片 五香粉 辣椒 黑胡椒
