# 分析摘要
# 最高相似度: 0.774
# 建議門檻: 0.62 (最高相似度的80%)
# 總食譜組合數: 1035
# 當前分析門檻: 0.3
# 符合門檻組合數: 43
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 308 組相似食譜
# 門檻 0.2: 106 組相似食譜
# 門檻 0.3: 43 組相似食譜
# 門檻 0.4: 16 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
446526,炒空心菜,443625,蒜炒空心菜,0.774
442927,沙茶炒空心菜,444631,沙茶肉片炒空心菜,0.64
446526,炒空心菜,439878,沙茶牛肉空心菜,0.547
476149,沙茶肉絲空心菜,448586,空心菜炒肉絲,0.474
476149,沙茶肉絲空心菜,446526,炒空心菜,0.469
478671,沙茶牛肉炒空心菜,466542,空心菜炒羊肉,0.468
460417,空心菜炒杏鮑菇,458094,空心菜炒美白菇,0.468
478381,清爽開胃 魚露空心菜,443625,蒜炒空心菜,0.448
443625,蒜炒空心菜,436484,皮蛋空心菜,0.43
460417,空心菜炒杏鮑菇,442927,沙茶炒空心菜,0.429
460417,空心菜炒杏鮑菇,444631,沙茶肉片炒空心菜,0.426
460417,空心菜炒杏鮑菇,448586,空心菜炒肉絲,0.423
443625,蒜炒空心菜,439878,沙茶牛肉空心菜,0.423
468237,◆蝦醬空心菜,446526,炒空心菜,0.415
458094,空心菜炒美白菇,442927,沙茶炒空心菜,0.406
458094,空心菜炒美白菇,444631,沙茶肉片炒空心菜,0.403
458094,空心菜炒美白菇,448586,空心菜炒肉絲,0.4
468586,清炒宜蘭溫泉空心菜,442927,沙茶炒空心菜,0.392
478381,清爽開胃 魚露空心菜,444180,荷包蛋炒空心菜,0.382
448586,空心菜炒肉絲,442927,沙茶炒空心菜,0.367
443625,蒜炒空心菜,449344,蒜香豆豉空心菜炒五花肉,0.365
448586,空心菜炒肉絲,444631,沙茶肉片炒空心菜,0.364
476149,沙茶肉絲空心菜,443625,蒜炒空心菜,0.363
458239,空心菜雞蛋湯,444180,荷包蛋炒空心菜,0.362
448897,沙茶空心菜,442927,沙茶炒空心菜,0.36
476270,腐乳空心菜,446526,炒空心菜,0.348
458211,空心菜小魚乾湯,446526,炒空心菜,0.348
461671,空心菜湯,446526,炒空心菜,0.348
446526,炒空心菜,441984,豆乳醬空心菜,0.348
478381,清爽開胃 魚露空心菜,446526,炒空心菜,0.346
478381,清爽開胃 魚露空心菜,436484,皮蛋空心菜,0.338
442927,沙茶炒空心菜,439878,沙茶牛肉空心菜,0.336
478381,清爽開胃 魚露空心菜,448586,空心菜炒肉絲,0.335
446526,炒空心菜,436484,皮蛋空心菜,0.333
478671,沙茶牛肉炒空心菜,448586,空心菜炒肉絲,0.328
466542,空心菜炒羊肉,448586,空心菜炒肉絲,0.327
468237,◆蝦醬空心菜,443625,蒜炒空心菜,0.321
460417,空心菜炒杏鮑菇,465745,"簡單的料理食譜❤️
豆包炒空心菜🍽️",0.321
443625,蒜炒空心菜,444180,荷包蛋炒空心菜,0.319
460162,蒜香培根空心菜,444180,荷包蛋炒空心菜,0.309
446526,炒空心菜,444402,辣炒空心菜梗,0.308
458239,空心菜雞蛋湯,446526,炒空心菜,0.302
448586,空心菜炒肉絲,436484,皮蛋空心菜,0.302
