id,name,document
477038,金沙茭白筍,茭白筍 鹹鴨蛋 蔥 辣椒 蒜 糖 白胡椒粉
468588,筊白筍炒肉絲,筊白筍 肉絲 紅蘿蔔絲 醬油 胡椒粉 太白粉
479721,炒蝦仁茭白筍豆子,蝦仁 豆子 茭白筍 蒜頭 胡椒粉
476287,醬燒皎白筍,皎白筍 砂糖 蠔油 醬油
476955,茭白筍炒五花肉,茭白筍 五花肉 醬油 蠔油 雞粉 糖 白胡椒
476330,皎白筍炒肉絲,皎白筍 紅蘿蔔切絲 醬油米酒 好市多雞里肌 白胡椒粉 昆布醬油 蔥白蔥綠 蒜末 芹菜管
473396,椒鹽筊白筍,筊白筍 蒜 椒鹽粉 蔥
469555,筊白筍炒墨魚花枝漿,筊白筍 墨魚花枝漿 雞粉
477018,蔥蒜香金沙茭白筍,茭白筍 鹹蛋 蔥蒜末
468592,電子鍋雞胸肉茭白筍日式炊飯,雞胸肉 筊白筍 醬油 紅蘿蔔絲 毛豆 糖 煙燻豆包 胡椒粉 米 太白粉
476315,茭白筍剝皮辣椒雞蓋飯,茭白筍 剝皮辣椒 雞腿肉 洋蔥 雞蛋 白飯 剝皮辣椒汁 醬油 味醂
475393,肉末炒雙筍（皎白筍、蘆筍）,絞肉 皎白筍 蠔油 竹筍 醬油 蒜頭切末 白胡椒 辣椒 米酒或紹興
460476,筊白筍炒秀珍菇,筊白筍 秀珍菇 雞粉 蒜末
476660,鹹蛋筊白筍原釀醬香炊飯,李錦記 頭道零添加原釀醬油 鵝油香蔥 白米 筊白筍 胡蘿蔔 新鮮香菇中型 鹹鴨蛋 清水 蔥花
459461,茭白筍炒燒肉,茭白筍 燒肉 雞粉 紅蘿蔔片
469471,金沙茭白筍玉米筍,鹹蛋 茭白荀 玉米筍 蒜頭 胡椒粉
466176,茭白筍燴雞胸,雞胸肉 紅蘿蔔 茭白荀 香菇素蠔油 乾香菇 胡椒粉 蒜 玉米粉
446640,炒茭白筍,茭白荀 蔥段 味精 魷魚
464650,清甜水煮茭白筍,茭白筍 美乃滋
462323,青醬茭白筍,茭白荀 青醬
460724,筊白筍芋頭貢丸蛋花湯,筊白筍 桂冠芋頭貢丸 中型鮮香菇 雞蛋 蔥花與胡蘿蔔絲 鹽與胡椒粉
455812,培根茭白筍,茭白筍 培根 蒜末 胡椒粉
458520,豆瓣炒筊白筍,筊白筍切塊 豬絞肉 辣椒醬或豆瓣醬 蒜末 醬油 蔥花 糖
459637,筊白筍炒鮮香菇,筊白筍 新鮮中型香菇 胡蘿蔔 蒜頭 蔥花 鹽與胡椒粉
450822,茭白筍,茭白筍 肉片 芹菜
464217,茭白筍炒肉 / 家常菜 / 腹肌餐,埔里茭白筍 腰內肉 白胡椒粉 蒜瓣中型 黑胡椒粒 玄米油或酪梨油 五香粉 醬油 玉米粉或太白粉
452280,金沙美人腿,美人腿筊白筍 鹹鴨蛋 蔥末 辣椒 蒜末 藤椒油
449912,燜茭白筍,茭白筍 紅蘿蔔片 蒜頭 高鮮味精可省略 蔥
450205,茭白筍炒蛋,茭白荀 紅蘿蔔 雞蛋 薄鹽醬油 蔥 黑胡椒粉
459258,簡單出好菜：茭白筍炒蝦仁,茭白筍 蝦仁 紅蘿蔔 蒜頭
450947,茭白筍金針湯,筊白筍 金針去硬梗 肉片
450281,茭白筍炒香菇,茭白筍 鮮香菇 鮮味炒手水
449655,筊白筍炒肉片,茭白筍 肉片
459833,下飯神器：香煎鮭魚佐茭白筍,鮭魚 茭白筍 薑
446389,茭白筍炒肉絲,茭白筍 肉絲 雞粉 蒜末 糖 米酒 醬油 太白粉
448514,金沙嫩肉筊白筍,筊白筍 豬後腿肉片 鹹蛋 紅蘿蔔絲木耳 香菇絲 薑絲 醬油 糖 胡椒粉 太白粉
453476,泡菜牛肉滑蛋茭白筍,茭白筍 泡菜 牛肉絲 白芝麻 雞蛋 粗辣椒粉或辣椒
448113,北方式茭白筍,茭白筍削皮切塊 蒜碎 花椒粒 八角 酒 味霖 醬油 蕃茄膏 昆布柴魚高湯
449387,茭白筍酸菜炒肉,茭白荀 酸菜 梅花肉 蒜頭 小米椒 醬油 胡椒 米酒 糖
448233,泰風涼拌茭白筍,茭白筍淨重 食鹽 泰式甜雞醬 檸檬汁 砂糖 味精
