# 分析摘要
# 最高相似度: 0.684
# 建議門檻: 0.55 (最高相似度的80%)
# 總食譜組合數: 1128
# 當前分析門檻: 0.3
# 符合門檻組合數: 28
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 261 組相似食譜
# 門檻 0.2: 83 組相似食譜
# 門檻 0.3: 28 組相似食譜
# 門檻 0.4: 13 組相似食譜
# 門檻 0.5: 6 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
450822,茭白筍,449655,筊白筍炒肉片,0.684
477018,蔥蒜香金沙茭白筍,449970,金沙茭白筍(無油版),0.622
468588,筊白筍炒肉絲,468592,電子鍋雞胸肉茭白筍日式炊飯,0.602
479721,炒蝦仁茭白筍豆子,459258,簡單出好菜：茭白筍炒蝦仁,0.56
450947,茭白筍金針湯,449655,筊白筍炒肉片,0.525
477515,金沙鹽昆布茭白筍,449970,金沙茭白筍(無油版),0.508
468588,筊白筍炒肉絲,446389,茭白筍炒肉絲,0.497
472767,金沙茭白筍｜「烹大師」干貝風味,449970,金沙茭白筍(無油版),0.491
468666,金沙筊白筍,449970,金沙茭白筍(無油版),0.433
477038,金沙茭白筍,452280,金沙美人腿,0.426
469555,筊白筍炒墨魚花枝漿,460476,筊白筍炒秀珍菇,0.413
476287,醬燒皎白筍,475393,肉末炒雙筍（皎白筍、蘆筍）,0.407
459461,茭白筍炒燒肉,449912,燜茭白筍,0.406
468666,金沙筊白筍,460476,筊白筍炒秀珍菇,0.383
477038,金沙茭白筍,467699,茭白筍炒蛋🎶,0.379
468588,筊白筍炒肉絲,448514,金沙嫩肉筊白筍,0.367
450822,茭白筍,450947,茭白筍金針湯,0.359
476955,茭白筍炒五花肉,475393,肉末炒雙筍（皎白筍、蘆筍）,0.357
477038,金沙茭白筍,472767,金沙茭白筍｜「烹大師」干貝風味,0.348
460476,筊白筍炒秀珍菇,446389,茭白筍炒肉絲,0.347
469471,金沙茭白筍玉米筍,449970,金沙茭白筍(無油版),0.339
476287,醬燒皎白筍,476955,茭白筍炒五花肉,0.336
467699,茭白筍炒蛋🎶,459258,簡單出好菜：茭白筍炒蝦仁,0.326
477515,金沙鹽昆布茭白筍,477018,蔥蒜香金沙茭白筍,0.316
476660,鹹蛋筊白筍原釀醬香炊飯,459637,筊白筍炒鮮香菇,0.311
472767,金沙茭白筍｜「烹大師」干貝風味,469471,金沙茭白筍玉米筍,0.307
477018,蔥蒜香金沙茭白筍,472767,金沙茭白筍｜「烹大師」干貝風味,0.306
479721,炒蝦仁茭白筍豆子,469471,金沙茭白筍玉米筍,0.303
