id,name,document
466773,◆紅蔥頭炒蔬菜,紅蔥頭 小玉米筍 四季豆 柴魚粉
409853,紅蔥頭韭菜,韭菜 紅蔥頭絲 辣椒 酒 味霖 醬油 昆布柴魚高湯
401006,紅蔥頭油酥,紅蔥頭 植物油
478715,簡易版雞肉飯（雞腿肉）/樸實的經典好味道,雞腿 紅蔥頭 醬油 砂糖 白胡椒
405150,自炸豬油---豬油拌飯/拌麵,紅蔥頭 米酒
420367,脆煎干貝佐紅蔥頭奶油醬,扇貝 紅蔥頭 鮮奶 鮮奶油 無鹽奶油 豆蔻粉
468914,橄欖紅蔥油,紅蔥頭
395198,蔥香豬油,八角 薑 蔥 紅蔥頭
475715,家庭小菜｜簡單 美味 南瓜排骨盅,南瓜 排骨 紅蔥頭 蒜頭 薑片 生抽 生油
477422,蒜香火腿蛋炒飯,白飯 火腿腸 蛋 蒜頭 紅蔥頭 蔥 植物油 醬油 白胡椒粉 黑胡椒粒
397691,lanni 炸油蔥酥,紅蔥頭 芥花油豬油或其他植物油
475069,魯肉飯,豬五花肉 紅蔥頭 雞蛋 大蒜 米酒 醬油 醬油膏 冰糖
472615,【蒼蠅頭】,韭菜花 豬絞肉 豆鼓 紅蔥頭 米酒
476390,青龍炒小魚乾-快速版🍳,青龍辣椒 豆豉小魚乾 紅蔥頭 鮮味炒手
477794,竹筍蛤蠣粥,綠竹筍 蛤蠣 白飯 白胡椒 蒜頭 紅蔥頭 蝦米 乾香菇 香菜
474505,海南雞飯,雞腿肉 蔥段 薑片 白米 醬油 紅蔥頭 薑末 米酒 蒜頭 蔥末 糖 芝麻油
477959,麻香米紙腸粉,米紙 蝦仁適大小 紅花椒油 蔥白 薑片 川辣椒麻十三香 紅蔥頭 米酒 醬油 糖
477810,簡易上手家常油飯😋😋,長糯米 肉絲 麻油 乾魷魚 米酒 乾香菇 醬油 蝦米 姜絲 紅蔥頭
475886,越式咖哩雞｜咖哩雞這樣煮更夠味,帶骨雞腿 地瓜 糖 香茅 魚露 紅蔥頭 越南咖哩粉 洋蔥 椰漿
468457,👍豬板油紅蔥醬 ~簡單隨手做,紅蔥頭 黑毛豬豬板油
475651,蒜蓉金針菇,金針菇 蒜頭 紅蔥頭 小米辣朝天椒 蔥 細砂糖 醬油 素蠔油 植物油
477531,越式豬腳湯,豬腳 香茅 雞粉 紅蔥頭 糖 羅望子醬 魚露 香菜根 番茄
385223,絲瓜蛤蜊麵線,蛤蜊 絲瓜 薑絲 油蔥酥
399296,炒麵,高麗菜 乾式麵條 蔥 青蒜 醬油 白胡椒粉 辣椒 烏醋 油蔥酥
475282,古早味油飯,糯米 紅蔥頭 豬肉絲 香菇 冬蝦 乾魷魚 薑末 麻油 醬油 胡椒粉 糖 花生
475267,蘿蔔糕,高湯水 白蘿蔔 乾香菇 蝦米 絞肉 紅蔥頭 再來米粉 白胡椒 醬油 米酒
476746,越南番茄豬肉米線湯,番茄 洋蔥 檸檬汁 五花肉 胡椒粉 白醋 紅蔥頭 魚露 雞粉 豆芽菜 糖 生菜
475151,香辣珠貝醬,小顆珠貝 櫻花蝦 紅蔥頭 切碎 朝天椒 切碎 白胡椒粉 砂糖 金門高粱酒 玄米油
477484,北部粽/栗子蛋黃粽/台灣小吃,粽葉 栗子 鹹蛋黃 肉絲 香菇 紅蔥頭 蝦皮 白胡椒粉 醬油 米酒 長糯米 油蔥酥
374590,油蔥拌麵,白拉麵 豆芽菜 油蔥酥蔥油 空心菜 辣油 肉燥 醬油 醬油膏 白胡椒粉
475449,「叻沙」那碗微酸辣帶椰漿香的好滋味,叻沙料理包 豆芽菜 炸豆腐 香菇 小番茄 九層塔 紅蔥頭酥 豬肉片
477474,香菇肉羹/台灣小吃,鼠肉 竹筍 醬油 香菇 木耳 白胡椒粉 紅蔥頭 米酒 蒜 太白粉 地瓜粉 雞蛋 白菜
474922,催淚皮蛋醬,瑞祥皮蛋 切碎 蒜瓣 切碎 紅蔥頭 切碎 砂糖 朝天椒 切碎 蠔油 芫荽 切碎 玄米油
473190,麻辣煮芥菜,芥菜 紅蔥頭絲 酒 味霖 郫縣豆瓣醬 花椒粒 昆布柴魚高湯
477365,李錦記 頭道零添加原釀醬油-炒意麵,李錦記 頭道零添加原釀醬油 胡蘿蔔 豬肉片 意麵 高麗菜 蒜頭 薑片 紅蔥頭 蝦米
434920,炒米粉,米粉 五花肉 紅蔥頭 蝦米 香菇 紅蘿蔔 高麗菜
474832,泰式涼拌薄荷肉,豬絞肉 生菜 檸檬汁 薄荷葉 粗辣椒粉 紫洋蔥 紅蔥頭 魚露 青蔥 砂糖 香菜 味精
474337,簡易蜜汁叉燒,豬後腿肉 紅蔥頭 拍扁 白胡椒粉 醬油 叉燒醬 蠔油 蜂蜜 花雕酒
477321,豆腐苦瓜封,白玉苦瓜 板豆腐 香菇 蒜頭 玉米罐頭 紅蔥頭 五香粉 青蔥 玉米粉 黑豆豉 小魚乾 醬油 黑糖 米酒
400837,#164 蒜頭拌麵線,白麵 蒜頭 醬油 青蔥 砂糖 白胡椒粉 紅蔥頭油
470396,家庭小菜｜蒿筍炒肉片 簡單 健康菜式,蒿筍 瘦肉片 生抽 蒜頭 粟粉 紅蔥頭 清水 薑
477449,李錦記 頭道零添加原釀醬油-花生魯三層肉,李錦記 頭道零添加原釀醬油 三層肉 杏鮑菇 花生 米酒 砂糖 胡椒粉 薑片 紅蔥頭 蒜頭
473412,刈包,三層肉 醬油 蠔油 米酒 蔥 蒜頭 薑 八角 桂皮 月桂葉 冰糖 老抽 紅蔥頭
477326,越式香辣排骨湯（冬粉）,排骨 香菇 辣椒 蘑菇 蒜頭 蔥 紅蔥頭 糖 雞粉 洋蔥切半 胡椒粉 桂皮
477539,越式紅燒牛腩,牛腩 大蒜切片 洋蔥 紅蔥頭切碎 香茅 糖 紅蘿蔔 牛腩粉 番茄 薑黃粉 肉桂 肉桂粉 八角 椰子水 太白粉
462017,氣炸雞翅膀,雞翅膀 醬油 蠔油 蒜頭 紅蔥頭
459253,油蔥酥,紅蔥頭
475154,家庭小菜｜ 蕗蕎菜炒火鴨絲 時節小菜,蕗蕎 燒鴨脾 豆粉或粟米粉 燒鴨翼 菜脯 薑片 紅蔥頭片
471496,臘味古早粥,臘腸 肝腸 白米 白胡椒粉 鮮香菇 高麗菜 紅蔥頭酥 蔥
477393,醬香肉末煸豆乾毛豆(李錦記頭道原釀醬油),李錦記 頭道零添加原釀醬油 米酒 胡椒粉 豬絞肉粗 杏鮑菇 豆乾 熟毛豆 紅蔥頭
