# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1225
# 當前分析門檻: 0.3
# 符合門檻組合數: 19
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 205 組相似食譜
# 門檻 0.2: 55 組相似食譜
# 門檻 0.3: 19 組相似食譜
# 門檻 0.4: 7 組相似食譜
# 門檻 0.5: 4 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
468914,橄欖紅蔥油,459253,油蔥酥,1.0
475151,香辣珠貝醬,474922,催淚皮蛋醬,0.681
477449,李錦記 頭道零添加原釀醬油-花生魯三層肉,477393,醬香肉末煸豆乾毛豆(李錦記頭道原釀醬油),0.515
409853,紅蔥頭韭菜,473190,麻辣煮芥菜,0.503
405150,自炸豬油---豬油拌飯/拌麵,468914,橄欖紅蔥油,0.469
405150,自炸豬油---豬油拌飯/拌麵,459253,油蔥酥,0.469
401006,紅蔥頭油酥,477422,蒜香火腿蛋炒飯,0.418
401006,紅蔥頭油酥,475651,蒜蓉金針菇,0.385
477365,李錦記 頭道零添加原釀醬油-炒意麵,477449,李錦記 頭道零添加原釀醬油-花生魯三層肉,0.369
405150,自炸豬油---豬油拌飯/拌麵,472615,【蒼蠅頭】,0.343
395198,蔥香豬油,473412,刈包,0.343
477794,竹筍蛤蠣粥,475267,蘿蔔糕,0.326
401006,紅蔥頭油酥,468914,橄欖紅蔥油,0.325
401006,紅蔥頭油酥,459253,油蔥酥,0.325
468914,橄欖紅蔥油,395198,蔥香豬油,0.325
395198,蔥香豬油,459253,油蔥酥,0.325
477810,簡易上手家常油飯😋😋,477484,北部粽/栗子蛋黃粽/台灣小吃,0.323
477531,越式豬腳湯,476746,越南番茄豬肉米線湯,0.318
473412,刈包,462017,氣炸雞翅膀,0.314
