id,name,document
478997,紅蘿蔔炒蛋,紅蘿蔔 蛋 蔥 胡椒粉
478937,胡蘿蔔馬芬,胡蘿蔔絲 蘋果絲 麵粉 碎堅果 蛋 砂糖 泡打粉 小蘇打粉 肉桂粉 香草精
477329,味噌炒紅蘿蔔豬肉,豬瘦絞肉 米酒 胡椒 味噌 糖 紅蘿蔔 大蒜 毛豆 海苔
476698,山藥紅蘿蔔軟骨肉,豬軟骨 洋蔥 薑 蔥 米酒 紅蘿蔔 山藥 醬油 糖
465867,紅蘿蔔金針菇炒蛋,紅蘿蔔 金針菇 雞蛋 雞粉
479446,超級簡單  紅蘿蔔蛋沙拉✌🏻,雞蛋 紅蘿蔔丁 低脂沙拉醬
469861,紅蘿蔔炒青椒,青椒 杏鮑菇 紅蘿蔔絲 醬油 味噌
469116,紅蘿蔔炒高麗菜,高麗菜 小條紅蘿蔔 蒜頭
462260,紅蘿蔔絲炒麵腸,紅蘿蔔 麵腸 雞粉 蔥 糖
470733,馬鈴薯紅蘿蔔燉肉,豬梅花火鍋薄切肉片 澳洲白玉馬鈴薯 香菇醬油 紅蘿蔔 味醂 洋蔥 米酒水 青蔥 胡椒粉 柴魚片
474629,山藥紅蘿蔔玉米排骨湯,香菜 紅棗 枸杞 薑片 排骨 蘋果 玉米 紅蘿蔔 日本山藥
463045,紅蘿蔔絲炒米血,紅蘿蔔 米血 蠔油 蔥 雞粉 糖
474220,香菜胡蘿蔔丸子(純素),胡蘿蔔 香菜 中筋麵粉 食鹽 五香粉 十三香 太白粉 白胡椒粉 植物油 小蘇打粉
470817,紅蘿蔔蘋果全麥蛋糕,胡蘿蔔 蘋果 全麥麵粉 蛋 泡打粉 蜂蜜 肉桂粉 葡萄乾 白蘭地泡葡萄乾用 融化的奶油 綜合堅果
464199,炒紅蘿蔔,紅蘿蔔 糖 蒜片 芝麻油
463987,胡蘿蔔絲瓜,絲瓜 胡蘿蔔 薑片 蒜頭 楓康吳羽保鮮膜
479702,佃煮馬鈴薯🥔紅蘿蔔🥕杏鮑菇🍄,馬鈴薯 紅蘿蔔 杏鮑菇 昆布醬油
472222,白菜滷不要紅蘿蔔🥕,白菜 乾香菇 蒜頭 糖 薑片 白胡椒 辣椒 沙茶醬
464735,芝麻紅蘿蔔蛋糕,紅蘿蔔 蘋果 芝麻 堅果 雞蛋 希臘優格
465353,牛奶紅蘿蔔煎餅,牛奶 低筋麵粉 切碎紅蘿蔔
470905,甜椒紅蘿蔔炒牛肉,全聯牛肉片 紅蘿蔔 醬油 甜椒 味霖 白芝麻 米酒
464633,胡蘿蔔炒蛋 / 家常菜,胡蘿蔔 雞蛋 蒜瓣 玄米油或酪梨油
462898,紅蘿蔔炒蛋水餃,紅蘿蔔 雞蛋
471271,炒牛蒡雞蛋紅蘿蔔（蛋素）,紅蘿蔔絲 雞蛋 醃漬牛蒡 白芝麻粒 香菇調味露 巴西里葉
466177,［微波料理］紅蘿蔔蒸蛋,蛋 高湯水 薄鹽醬油 料紅蘿蔔碎 玉米粒
468683,胡蘿蔔豬肉水煎包,中筋麵粉 速發酵母 胡蘿蔔絲 砂糖 豬絞肉 植物油 蒜頭 薑黃粉 青蔥 溫水 香油植物油 醬油蠔油米酒 雞粉十三香白胡椒粉
467078,胡蘿蔔亞麻仁抹醬,紅蘿蔔 亞麻籽粉 孜然
469328,香料胡蘿蔔佐中東芝麻醬｜Vitamix,胡蘿蔔去皮 橄欖油可選 好水 印度綜合香料 檸檬去皮 香檳醋 大蒜 腰果烤過 維他顧白芝麻粒烤過 猶太鹽 黑胡椒粉
466841,紅蘿蔔刨片炒肉片,紅蘿蔔 梅花火鍋豬肉片 蒜片 蔥
460228,紅蘿蔔雞蛋蔥油餅,蛋 蔥 紅蘿蔔 蔥油餅 番茄醬
455427,胡蘿蔔粥,胡蘿蔔 洋蔥 素火腿 豆腐 鴻禧菇 白飯 調味 胡椒粉
467654,黑豆紅蘿蔔大麥炊飯（全素）,紅蘿蔔絲 白芝麻粒 北海道鹽黑豆 越光米 日本大麥 玄米油 紫蘇香鬆
467492,涼拌胡蘿蔔絲(五辛素),胡蘿蔔淨重 洋蔥淨重 烏醋 香菜 醬油 色拉油 蒜頭 砂糖 味精 粗辣椒麵 熟白芝麻 五香粉
454957,紅蘿蔔甜不辣,紅蘿蔔 麵粉 雞蛋 二砂糖
467527,洋蔥胡蘿蔔燉排骨（電鍋版）,豬子排 洋蔥 醬油 紅蘿蔔小 米酒 蒜頭 素蠔油 老薑 青蔥 黑胡椒粒可略
454597,胡蘿蔔蛋糕,紅蘿蔔 雞蛋 Cream Cheese 細砂糖 無鹽奶油 6 寸圓形蛋糕模 或 香草籽 或 香草精 6 寸圓形烤紙 中筋麵粉 糖粉 手持攪拌機 肉桂粉 刮刀 泡打粉 蘇打粉
464830,油爆蒜香紅蘿蔔沙拉,紅蘿蔔 胡椒 大蒜碎 新鮮香草義大利歐芹平葉巴西利 芫荽籽 熟白芝麻 糖 檸檬汁
464611,百分百紅蘿蔔🥕濃湯,紅蘿蔔 洋蔥 牛奶 鮮奶油
460172,薑汁紅蘿蔔馬鈴薯濃湯,胡蘿蔔 馬鈴薯 雞高湯 薑
460424,紅蘿蔔炒馬鈴薯 / 家常菜,馬鈴薯 紅蘿蔔 蒜頭 蔥綠 黑胡椒粒 白胡椒粉
466402,蓮藕玉米紅蘿蔔蓮子瘦肉湯,梅花豬肉 玉米 紅蘿蔔 蓮藕 蓮子
