# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 1081
# 當前分析門檻: 0.3
# 符合門檻組合數: 29
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 172 組相似食譜
# 門檻 0.2: 59 組相似食譜
# 門檻 0.3: 29 組相似食譜
# 門檻 0.4: 11 組相似食譜
# 門檻 0.5: 7 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
466603,紅蘿蔔炒蛋 / 家常菜,468971,紅蘿蔔炒蛋 / 省錢家常菜,1.0
466603,紅蘿蔔炒蛋 / 家常菜,462898,紅蘿蔔炒蛋水餃,1.0
468971,紅蘿蔔炒蛋 / 省錢家常菜,462898,紅蘿蔔炒蛋水餃,1.0
465867,紅蘿蔔金針菇炒蛋,467188,塔香紅蘿蔔絲炒金針菇,0.702
465867,紅蘿蔔金針菇炒蛋,466603,紅蘿蔔炒蛋 / 家常菜,0.506
465867,紅蘿蔔金針菇炒蛋,468971,紅蘿蔔炒蛋 / 省錢家常菜,0.506
465867,紅蘿蔔金針菇炒蛋,462898,紅蘿蔔炒蛋水餃,0.506
464199,炒紅蘿蔔,466841,紅蘿蔔刨片炒肉片,0.489
466603,紅蘿蔔炒蛋 / 家常菜,454957,紅蘿蔔甜不辣,0.453
468971,紅蘿蔔炒蛋 / 省錢家常菜,454957,紅蘿蔔甜不辣,0.453
462898,紅蘿蔔炒蛋水餃,454957,紅蘿蔔甜不辣,0.453
471406,胡蘿蔔炒蛋🎶,466603,紅蘿蔔炒蛋 / 家常菜,0.398
471406,胡蘿蔔炒蛋🎶,468971,紅蘿蔔炒蛋 / 省錢家常菜,0.398
471406,胡蘿蔔炒蛋🎶,462898,紅蘿蔔炒蛋水餃,0.398
465867,紅蘿蔔金針菇炒蛋,462260,紅蘿蔔絲炒麵腸,0.391
471406,胡蘿蔔炒蛋🎶,464633,胡蘿蔔炒蛋 / 家常菜,0.372
466603,紅蘿蔔炒蛋 / 家常菜,464735,芝麻紅蘿蔔蛋糕,0.335
468971,紅蘿蔔炒蛋 / 省錢家常菜,464735,芝麻紅蘿蔔蛋糕,0.335
464735,芝麻紅蘿蔔蛋糕,462898,紅蘿蔔炒蛋水餃,0.335
462260,紅蘿蔔絲炒麵腸,467188,塔香紅蘿蔔絲炒金針菇,0.334
471406,胡蘿蔔炒蛋🎶,474220,香菜胡蘿蔔丸子(純素),0.328
478997,紅蘿蔔炒蛋,470733,馬鈴薯紅蘿蔔燉肉,0.322
462260,紅蘿蔔絲炒麵腸,463045,紅蘿蔔絲炒米血,0.322
479446,超級簡單  紅蘿蔔蛋沙拉✌🏻,466603,紅蘿蔔炒蛋 / 家常菜,0.313
479446,超級簡單  紅蘿蔔蛋沙拉✌🏻,468971,紅蘿蔔炒蛋 / 省錢家常菜,0.313
479446,超級簡單  紅蘿蔔蛋沙拉✌🏻,462898,紅蘿蔔炒蛋水餃,0.313
476698,山藥紅蘿蔔軟骨肉,467527,洋蔥胡蘿蔔燉排骨（電鍋版）,0.309
465867,紅蘿蔔金針菇炒蛋,463045,紅蘿蔔絲炒米血,0.309
465353,牛奶紅蘿蔔煎餅,464611,百分百紅蘿蔔🥕濃湯,0.307
