id,name,document
475070,炒紅鳳菜,紅鳳菜 味精 薑片切絲
476212,麻油炒紅鳳菜,紅鳳菜 薑片 麻油
463882,素羊肉炒紅鳳菜,紅鳳菜 薑絲 素羊肉 麻油 米酒
375078,紅鳳菜煎餅,紅鳳菜 麵粉中 低筋皆可 地瓜粉可略 白胡椒粉 雞蛋可略
374121,紅鳳菜煎蛋,紅鳳菜 雞蛋 蒜頭 醬油
370158,樹子紅鳳菜,紅鳳菜 蒜碎 辣椒 酒 樹子 昆布柴魚高湯
335651,麻油紅鳳菜,紅鳳菜 麻油 薑
342237,紅鳳菜拌菇(夏至時令),紅鳳菜 杏鮑菇 豆皮 白芝麻 胡麻醬 薑片 麻油
311304,豬肉炒紅鳳菜,紅鳳菜 豬肉絲 薑絲 蒜 米酒料理用 黑麻油
410323,乾煎鮭魚 薑黃飯,鮭魚 紅鳳菜 玉米筍 蘆筍 紅蘿蔔 小黃瓜 白米 藜麥 薑黃粉 蒟蒻米
251763,紅鳳菜炒豬肉,紅鳳菜 豬肉絲 薑絲 鮮味炒手 九層塔 米酒 麻油
225421,【副食品】紅鳳菜泥 電子鍋烹飪,紅鳳菜
202907,紅鳳菜素沙茶,紅鳳菜 素沙茶或葷沙茶即可
197817,拌紅鳳菜（紅菜）～全素,紅菜 薑絲 麻油 昆布粉
177473,麻油紅鳳菜炒豬心,紅鳳菜 豬心 薑片 麻油 米酒 枸杞
299423,彩米五穀拼盤(彩米養生飯),栗子南瓜中1 6個 地瓜中1條 栗子20顆 芋頭中1 2個 彩米紅紅麴 彩米綠芥菜 彩米黃薑黃 彩米紫紅鳳菜
138618,悶燒紅鳳菜(月子料理),紅鳳菜 薑絲
108045,美味紅鳳菜(紅菜),紅鳳菜紅菜 五花肉 薑絲 蒜片 麻油 酒
107604,紅鳳菜豬肉捲 佐腐乳芝麻醬,紅鳳菜 火鍋豬肉片 嫩薑薑絲 蒜末 豆腐乳 麻油 糖 芝麻醬 醬油
105379,紅鳳菜拌炸醬『維力炸醬』,紅鳳菜 維力炸醬 蒜末
86682,超簡單又快速-麻油紅鳳菜,紅鳳菜 麻油 蒜頭
205370,香椿起司鐵觀音麵/素食,紅蘿蔔 毛豆 香菇 玉米粒 辣椒 薑 板豆腐 長輩自製香椿醬 綠之巢有機紅鳳菜 VIOLIFE帕瑪森起司 鐵觀音麵 七味粉
121269,補血麻油雞蛋麵線~~五木拉麵,五木銀絲麵 雞蛋 中薑絲 枸杞 紅鳳菜 麻油 米酒
