id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
475070,炒紅鳳菜,https://icook.tw/recipes/475070,油、紅鳳菜、鹽巴、味精、薑片切絲,油9湯匙 | 紅鳳菜1至2把 | 鹽巴半匙 | 味精半匙 | 薑片切絲隨意,"1.先熱鍋加入油 | 並將油均勻散佈於鍋中
2.加入薑拌炒爆香 | 再加入紅鳳菜拌炒
3.可加入半米杯的水量 | 使紅鳳菜均衡熟","炒紅鳳菜。食材：油9湯匙，紅鳳菜1至2把，鹽巴半匙，味精半匙，薑片切絲隨意。做法：1.先熱鍋加入油，並將油均勻散佈於鍋中
2.加入薑拌炒爆香，再加入紅鳳菜拌炒
3.可加入半米杯的水量，使紅鳳菜均衡熟。",紅鳳菜/475070_炒紅鳳菜.jpg
476212,麻油炒紅鳳菜,https://icook.tw/recipes/476212,紅鳳菜、薑片、麻油、鹽巴,紅鳳菜1把 | 薑片適量 | 麻油適量 | 鹽巴一點點🤏,備料準備好 | 鍋中倒入麻油再放薑片 | 薑片煸到香味出來再放菜 | 這是還沒變色的青菜 | 炒到青菜稍微變色也軟了就可以加入一點點鹽巴，也可以不加鹽 | 完成囉！,麻油炒紅鳳菜。食材：紅鳳菜1把，薑片適量，麻油適量，鹽巴一點點🤏。做法：備料準備好，鍋中倒入麻油再放薑片，薑片煸到香味出來再放菜，這是還沒變色的青菜，炒到青菜稍微變色也軟了就可以加入一點點鹽巴，也可以不加鹽，完成囉！。,紅鳳菜/476212_麻油炒紅鳳菜.jpg
463882,素羊肉炒紅鳳菜,https://icook.tw/recipes/463882,紅鳳菜、薑絲、素羊肉、麻油、米酒、鹽,紅鳳菜1把 | 薑絲少許 | 素羊肉少許 | 麻油少許 | 米酒酌量 | 鹽少許,紅鳳菜洗淨切適口長度，薑切絲備用。 | 麻油熱鍋放入薑絲略炒，再放入素羊肉炒香。 | 最後放入紅鳳菜炒至微軟，淋上少許米酒後加少許鹽調味即可裝盤。,素羊肉炒紅鳳菜。食材：紅鳳菜1把，薑絲少許，素羊肉少許，麻油少許，米酒酌量，鹽少許。做法：紅鳳菜洗淨切適口長度，薑切絲備用。，麻油熱鍋放入薑絲略炒，再放入素羊肉炒香。，最後放入紅鳳菜炒至微軟，淋上少許米酒後加少許鹽調味即可裝盤。。,紅鳳菜/463882_素羊肉炒紅鳳菜.jpg
375078,紅鳳菜煎餅,https://icook.tw/recipes/375078,紅鳳菜、麵粉(中、低筋皆可)、鹽、地瓜粉(可略)、白胡椒粉、雞蛋(可略),紅鳳菜1小把 | 麵粉(中 | 低筋皆可)100g | 地瓜粉(可略)1湯匙 | 雞蛋(可略)1顆 | 鹽適量 | 白胡椒粉少許,"將紅鳳菜切小片備用
把粉類、鹽、白胡椒粉混合加適量水拌勻
再打入雞蛋混合完畢，加入紅鳳菜攪拌均勻 | 熱油鍋，湯匙挖麵糊放入
小火慢煎，煎至兩面金黃即可 | 今天又做了一次
加少許糖提味，果然不錯😋","紅鳳菜煎餅。食材：紅鳳菜1小把，麵粉(中，低筋皆可)100g，地瓜粉(可略)1湯匙，雞蛋(可略)1顆，鹽適量，白胡椒粉少許。做法：將紅鳳菜切小片備用
把粉類、鹽、白胡椒粉混合加適量水拌勻
再打入雞蛋混合完畢，加入紅鳳菜攪拌均勻，熱油鍋，湯匙挖麵糊放入
小火慢煎，煎至兩面金黃即可，今天又做了一次
加少許糖提味，果然不錯😋。",紅鳳菜/375078_紅鳳菜煎餅.jpg
374121,紅鳳菜煎蛋,https://icook.tw/recipes/374121,紅鳳菜、雞蛋、蒜頭、醬油,紅鳳菜一小撮約5~6株 | 雞蛋6顆 | 蒜頭1瓣 | 醬油適量,"將紅鳳菜洗淨切小片、蒜頭切碎
與雞蛋、醬油充分打散混合
倒入已燒熱起泡的油鍋
拿鍋鏟輕輕推動蛋液使其逐漸凝固
將凝固的蛋翻面 | 小火煎熟即可","紅鳳菜煎蛋。食材：紅鳳菜一小撮約5~6株，雞蛋6顆，蒜頭1瓣，醬油適量。做法：將紅鳳菜洗淨切小片、蒜頭切碎
與雞蛋、醬油充分打散混合
倒入已燒熱起泡的油鍋
拿鍋鏟輕輕推動蛋液使其逐漸凝固
將凝固的蛋翻面，小火煎熟即可。",紅鳳菜/374121_紅鳳菜煎蛋.jpg
370158,樹子紅鳳菜,https://icook.tw/recipes/370158,紅鳳菜、蒜碎、辣椒、酒、樹子、昆布柴魚高湯,紅鳳菜70g | 蒜碎1顆分 | 辣椒1根 | 酒1小匙 | 樹子1小匙 | 昆布柴魚高湯20cc,"紅鳳菜去硬莖段切備用. | 取小鍋子,放入蒜碎,辣椒,酒及樹子煮滾出香氣,需倒入昆布柴魚高湯. | 再滾,收乾到9成時放入步驟1邊拌邊加熱,煮至紅鳳菜夠熟即可.","樹子紅鳳菜。食材：紅鳳菜70g，蒜碎1顆分，辣椒1根，酒1小匙，樹子1小匙，昆布柴魚高湯20cc。做法：紅鳳菜去硬莖段切備用.，取小鍋子,放入蒜碎,辣椒,酒及樹子煮滾出香氣,需倒入昆布柴魚高湯.，再滾,收乾到9成時放入步驟1邊拌邊加熱,煮至紅鳳菜夠熟即可.。",紅鳳菜/370158_樹子紅鳳菜.jpg
335651,麻油紅鳳菜,https://icook.tw/recipes/335651,紅鳳菜、麻油、薑,紅鳳菜200克 | 麻油2茶匙 | 薑5克,將紅鳳菜葉摘下洗淨切小段，薑洗淨切絲備用。 | 熱鍋，下2茶匙麻油，下薑絲。 | 出麻油與薑絲味後，下紅鳳菜，炒至葉子軟即可起鍋🍵,麻油紅鳳菜。食材：紅鳳菜200克，麻油2茶匙，薑5克。做法：將紅鳳菜葉摘下洗淨切小段，薑洗淨切絲備用。，熱鍋，下2茶匙麻油，下薑絲。，出麻油與薑絲味後，下紅鳳菜，炒至葉子軟即可起鍋🍵。,紅鳳菜/335651_麻油紅鳳菜.jpg
342237,紅鳳菜拌菇(夏至時令),https://icook.tw/recipes/342237,紅鳳菜、杏鮑菇、豆皮、白芝麻、胡麻醬、薑片、麻油,紅鳳菜1把 | 杏鮑菇3朵 | 豆皮3片 | 白芝麻適量 | 胡麻醬適量 | 薑片適量 | 麻油適量,食材們。紅鳳菜切段。 | 杏鮑菇撕條，豆皮切條。 | 倒麻油，下薑片爆香後，倒入杏鮑菇和豆皮，開中火炒。 | 紅鳳菜川燙後撈起，將水份瀝乾後，倒入杏鮑菇中小火拌炒。 | 起盤，灑白芝麻和淋胡麻醬，完成。,紅鳳菜拌菇(夏至時令)。食材：紅鳳菜1把，杏鮑菇3朵，豆皮3片，白芝麻適量，胡麻醬適量，薑片適量，麻油適量。做法：食材們。紅鳳菜切段。，杏鮑菇撕條，豆皮切條。，倒麻油，下薑片爆香後，倒入杏鮑菇和豆皮，開中火炒。，紅鳳菜川燙後撈起，將水份瀝乾後，倒入杏鮑菇中小火拌炒。，起盤，灑白芝麻和淋胡麻醬，完成。。,紅鳳菜/342237_紅鳳菜拌菇(夏至時令).jpg
311304,豬肉炒紅鳳菜,https://icook.tw/recipes/311304,紅鳳菜、豬肉絲、薑絲、蒜、米酒（料理用）、黑麻油、鹽,紅鳳菜1把 | 豬肉絲少許 | 薑絲少許 | 蒜3顆 | 米酒（料理用）50cc | 黑麻油少許 | 鹽少許,先炒薑絲與豬肉 | 待豬肉表面都熟了，放大蒜炒一下，然後放紅鳳菜、米酒下去悶 | 起鍋前加黑麻油、鹽巴，就完成囉！,豬肉炒紅鳳菜。食材：紅鳳菜1把，豬肉絲少許，薑絲少許，蒜3顆，米酒（料理用）50cc，黑麻油少許，鹽少許。做法：先炒薑絲與豬肉，待豬肉表面都熟了，放大蒜炒一下，然後放紅鳳菜、米酒下去悶，起鍋前加黑麻油、鹽巴，就完成囉！。,紅鳳菜/311304_豬肉炒紅鳳菜.jpg
410323,乾煎鮭魚 薑黃飯,https://icook.tw/recipes/410323,鮭魚、紅鳳菜、玉米筍、蘆筍、紅蘿蔔、小黃瓜、白米、藜麥、薑黃粉、蒟蒻米,鮭魚半片 | 紅鳳菜100克 | 玉米筍1-2根 | 蘆筍四根 | 紅蘿蔔適量 | 小黃瓜適量 | 白米4/1杯 | 藜麥少許 | 薑黃粉少許 | 蒟蒻米5/1杯,"乾煎鮭魚薑片炒紅鳳菜
川燙蘆筍玉米筍紅蘿蔔片小黃瓜薑黃藜麥飯（內有添加蒟蒻米喔）","乾煎鮭魚 薑黃飯。食材：鮭魚半片，紅鳳菜100克，玉米筍1-2根，蘆筍四根，紅蘿蔔適量，小黃瓜適量，白米4/1杯，藜麥少許，薑黃粉少許，蒟蒻米5/1杯。做法：乾煎鮭魚薑片炒紅鳳菜
川燙蘆筍玉米筍紅蘿蔔片小黃瓜薑黃藜麥飯（內有添加蒟蒻米喔）。",紅鳳菜/410323_乾煎鮭魚_薑黃飯.jpg
