# 分析摘要
# 最高相似度: 1.000
# 建議門檻: 0.80 (最高相似度的80%)
# 總食譜組合數: 861
# 當前分析門檻: 0.3
# 符合門檻組合數: 67
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 230 組相似食譜
# 門檻 0.2: 125 組相似食譜
# 門檻 0.3: 67 組相似食譜
# 門檻 0.4: 40 組相似食譜
# 門檻 0.5: 24 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
335651,麻油紅鳳菜,275978,麻油炒紅菜,1.0
243115,早食「紅鳳菜」補血超健康,138618,悶燒紅鳳菜(月子料理),1.0
179469,麻油薑絲紅鳳菜,158216,麻油炒紅鳳菜～,1.0
243115,早食「紅鳳菜」補血超健康,179469,麻油薑絲紅鳳菜,0.805
243115,早食「紅鳳菜」補血超健康,158216,麻油炒紅鳳菜～,0.805
179469,麻油薑絲紅鳳菜,138618,悶燒紅鳳菜(月子料理),0.805
158216,麻油炒紅鳳菜～,138618,悶燒紅鳳菜(月子料理),0.805
335651,麻油紅鳳菜,179469,麻油薑絲紅鳳菜,0.714
335651,麻油紅鳳菜,158216,麻油炒紅鳳菜～,0.714
275978,麻油炒紅菜,179469,麻油薑絲紅鳳菜,0.714
275978,麻油炒紅菜,158216,麻油炒紅鳳菜～,0.714
476212,麻油炒紅鳳菜,335651,麻油紅鳳菜,0.616
476212,麻油炒紅鳳菜,275978,麻油炒紅菜,0.616
335651,麻油紅鳳菜,86682,超簡單又快速-麻油紅鳳菜,0.567
275978,麻油炒紅菜,86682,超簡單又快速-麻油紅鳳菜,0.567
335651,麻油紅鳳菜,225421,【副食品】紅鳳菜泥 電子鍋烹飪,0.558
225421,【副食品】紅鳳菜泥 電子鍋烹飪,275978,麻油炒紅菜,0.558
374121,紅鳳菜煎蛋,86682,超簡單又快速-麻油紅鳳菜,0.556
463882,素羊肉炒紅鳳菜,179469,麻油薑絲紅鳳菜,0.555
463882,素羊肉炒紅鳳菜,158216,麻油炒紅鳳菜～,0.555
243115,早食「紅鳳菜」補血超健康,103126,芝麻油炒紅菜,0.541
138618,悶燒紅鳳菜(月子料理),103126,芝麻油炒紅菜,0.541
476212,麻油炒紅鳳菜,177473,麻油紅鳳菜炒豬心,0.526
329067,[快速] 炒紅鳳菜,86682,超簡單又快速-麻油紅鳳菜,0.526
243115,早食「紅鳳菜」補血超健康,225421,【副食品】紅鳳菜泥 電子鍋烹飪,0.495
225421,【副食品】紅鳳菜泥 電子鍋烹飪,138618,悶燒紅鳳菜(月子料理),0.495
463882,素羊肉炒紅鳳菜,243115,早食「紅鳳菜」補血超健康,0.447
463882,素羊肉炒紅鳳菜,138618,悶燒紅鳳菜(月子料理),0.447
476212,麻油炒紅鳳菜,179469,麻油薑絲紅鳳菜,0.44
476212,麻油炒紅鳳菜,158216,麻油炒紅鳳菜～,0.44
177473,麻油紅鳳菜炒豬心,121269,補血麻油雞蛋麵線~~五木拉麵,0.437
179469,麻油薑絲紅鳳菜,103126,芝麻油炒紅菜,0.436
158216,麻油炒紅鳳菜～,103126,芝麻油炒紅菜,0.436
197817,拌紅鳳菜（紅菜）～全素,179469,麻油薑絲紅鳳菜,0.422
197817,拌紅鳳菜（紅菜）～全素,158216,麻油炒紅鳳菜～,0.422
476212,麻油炒紅鳳菜,342237,紅鳳菜拌菇(夏至時令),0.42
251763,紅鳳菜炒豬肉,179469,麻油薑絲紅鳳菜,0.406
251763,紅鳳菜炒豬肉,158216,麻油炒紅鳳菜～,0.406
179469,麻油薑絲紅鳳菜,86682,超簡單又快速-麻油紅鳳菜,0.405
158216,麻油炒紅鳳菜～,86682,超簡單又快速-麻油紅鳳菜,0.405
225421,【副食品】紅鳳菜泥 電子鍋烹飪,179469,麻油薑絲紅鳳菜,0.398
225421,【副食品】紅鳳菜泥 電子鍋烹飪,158216,麻油炒紅鳳菜～,0.398
463882,素羊肉炒紅鳳菜,335651,麻油紅鳳菜,0.397
463882,素羊肉炒紅鳳菜,275978,麻油炒紅菜,0.397
476212,麻油炒紅鳳菜,396612,實用便當28,0.382
463882,素羊肉炒紅鳳菜,251763,紅鳳菜炒豬肉,0.378
374121,紅鳳菜煎蛋,329067,[快速] 炒紅鳳菜,0.375
311304,豬肉炒紅鳳菜,243115,早食「紅鳳菜」補血超健康,0.359
311304,豬肉炒紅鳳菜,138618,悶燒紅鳳菜(月子料理),0.359
179469,麻油薑絲紅鳳菜,108045,美味紅鳳菜(紅菜),0.358
158216,麻油炒紅鳳菜～,108045,美味紅鳳菜(紅菜),0.358
335651,麻油紅鳳菜,141455,麻油紅菜,0.355
275978,麻油炒紅菜,141455,麻油紅菜,0.355
476212,麻油炒紅鳳菜,86682,超簡單又快速-麻油紅鳳菜,0.349
311304,豬肉炒紅鳳菜,251763,紅鳳菜炒豬肉,0.346
476212,麻油炒紅鳳菜,225421,【副食品】紅鳳菜泥 電子鍋烹飪,0.344
251763,紅鳳菜炒豬肉,243115,早食「紅鳳菜」補血超健康,0.327
251763,紅鳳菜炒豬肉,138618,悶燒紅鳳菜(月子料理),0.327
335651,麻油紅鳳菜,177473,麻油紅鳳菜炒豬心,0.324
275978,麻油炒紅菜,177473,麻油紅鳳菜炒豬心,0.324
225421,【副食品】紅鳳菜泥 電子鍋烹飪,86682,超簡單又快速-麻油紅鳳菜,0.316
