id,name,document
479469,絲瓜炒蛋,絲瓜 蛋 薑片 雞粉
477342,絲瓜蛤蜊,絲瓜 蛤蜊 米酒 生薑 枸杞 白胡椒
477036,絲瓜蛤蠣,絲瓜 薑絲 蛤蠣 紅蘿蔔
477675,絲瓜捲,絲瓜 越南春捲皮米紙 杏鮑菇小條 玉米粒 美乃滋 黑胡椒粒 麵包粉 蛋
473155,絲瓜木耳炒蛋,絲瓜 雞蛋 雞粉 木耳
478486,炒絲瓜,蘋果絲瓜 味醂 薑 鮮味炒手
479161,絲瓜蛤蜊麵線,蛤蜊 絲瓜 鴻禧菇 紅蘿蔔 麵線 雞蛋 蒜頭 蔥 二砂糖
477964,絲瓜蛋花湯,絲瓜 蛋 蒜頭 蔥
477116,絲瓜麵線,絲瓜 麵線 雞蛋 麻油 薑片
478299,⭐️絲瓜年糕,絲瓜 年糕 洋蔥
476779,絲瓜蛤蜊麵,絲瓜 蛤蜊 薑絲 蝦米 米酒
476583,絲瓜煎蛋湯,絲瓜 雞蛋 老薑 米酒 雞粉 白胡椒粉 枸杞
477490,絲瓜蝦仁炒麵,絲瓜 瘦肉 黃麵 味精 蝦仁
468399,日式炒絲瓜,絲瓜 海帶芽 日式醬油 雞粉
459721,絲瓜雞腿麵,絲瓜 烤雞腿 雞粉 鹽水意麵 蒜末
476054,干貝燴絲瓜,絲瓜 玉米筍 干貝 枸杞 薑
474415,澎湖絲瓜炒蛋,雞蛋 澎湖絲瓜 小顆蒜頭 乾香菇 薑片 鰹魚粉
461647,絲瓜炒豆腸,絲瓜 豆腸 雞粉 蒜末 糖
462263,絲瓜炒素腰花,絲瓜 素腰花 雞粉 紅蘿蔔絲 糖 冬粉
475864,蒜炒絲瓜湯,蒜頭切末 絲瓜切片 干貝粉
473162,蒜香絲瓜,絲瓜 蒜頭 鮮味炒手
479244,十分鐘上菜-颱風絲瓜麵,絲瓜 薑 虱目魚丸 枸杞 五木細關東麵
461630,絲瓜燒肉雞絲麵,絲瓜 雞絲麵 雞粉 燒肉 蒜末
465545,絲瓜海帶芽炒冬粉,絲瓜 冬 粉 雞粉 海帶芽
475631,鹹蛋炒絲瓜 🥒🥚,絲瓜 鹹蛋 薑末 白胡椒粉 白開水 鮮味抄手
473161,昆布鹽嫩雞胸炒絲瓜,雞胸肉 絲瓜 雞粉 米酒
466915,絲瓜三鮮,絲瓜 白玉菇 毛豆仁 木耳 薑絲 香菇粉 胡椒粉 勾芡水
460616,XO醬炒絲瓜,絲瓜 XO醬 雞粉 蒜末
477316,蛋香蒜香蛤蜊絲瓜,絲瓜 蛤蜊 蛋 蒜末 麻油
476291,絲瓜砂鍋粥 超簡單,米 蝦米 蒜頭 鰹魚粉 雞蛋 枸杞
478545,10分鐘上菜-枸杞炒絲瓜,絲瓜 薑 枸杞
469454,絲瓜豆腐湯,絲瓜 嫩豆腐 鰹魚高湯包
470967,🥚絲瓜雞蛋麵,關廟細麵 絲瓜 雞蛋 大蒜蒜苗 去尾蝦仁 雞高湯
473245,蛤蠣絲瓜魚肉燉飯,絲瓜 蛤蜊 雪白菇 胡蘿蔔 虱目魚肉 白飯 高湯磚
465122,絲瓜什錦炒麵,絲瓜白蝦 好勁道寛麵 7eleven煙燻豬肝 味精 炒蛋 雞里肌肉
466448,絲瓜煎餅,絲瓜小 金針菇 薑末 火腿丁 蔥白 咖哩粉 蝦米蝦皮 雞粉 雞蛋 中筋麵粉
466705,鹹蛋絲瓜麵線,鹹蛋 絲瓜 麵線 薑絲 米酒 胡椒粉
460005,絲瓜炒杏鮑菇,絲瓜 杏鮑菇 蒜末 雞粉 糖
466805,◆蝦米褒絲瓜,絲瓜 蝦米 米酒
463987,胡蘿蔔絲瓜,絲瓜 胡蘿蔔 薑片 蒜頭 楓康吳羽保鮮膜
