# 分析摘要
# 最高相似度: 0.745
# 建議門檻: 0.60 (最高相似度的80%)
# 總食譜組合數: 946
# 當前分析門檻: 0.3
# 符合門檻組合數: 45
#
# 不同門檻下的相似食譜數量
# 門檻 0.1: 209 組相似食譜
# 門檻 0.2: 101 組相似食譜
# 門檻 0.3: 45 組相似食譜
# 門檻 0.4: 13 組相似食譜
# 門檻 0.5: 3 組相似食譜
#
# 相似度結果 (高於 0.3)
食譜1_ID,食譜1_名稱,食譜2_ID,食譜2_名稱,相似度
476779,絲瓜蛤蜊麵,466805,◆蝦米褒絲瓜,0.745
468399,日式炒絲瓜,465545,絲瓜海帶芽炒冬粉,0.732
477964,絲瓜蛋花湯,473162,蒜香絲瓜,0.688
477964,絲瓜蛋花湯,463987,胡蘿蔔絲瓜,0.457
476054,干貝燴絲瓜,478545,10分鐘上菜-枸杞炒絲瓜,0.456
479244,十分鐘上菜-颱風絲瓜麵,478545,10分鐘上菜-枸杞炒絲瓜,0.456
461647,絲瓜炒豆腸,460616,XO醬炒絲瓜,0.453
461647,絲瓜炒豆腸,460005,絲瓜炒杏鮑菇,0.453
460616,XO醬炒絲瓜,460005,絲瓜炒杏鮑菇,0.453
462263,絲瓜炒素腰花,460485,絲瓜雞絲冬粉,0.443
477116,絲瓜麵線,477316,蛋香蒜香蛤蜊絲瓜,0.428
479469,絲瓜炒蛋,477116,絲瓜麵線,0.427
477964,絲瓜蛋花湯,476291,絲瓜砂鍋粥 超簡單,0.403
476779,絲瓜蛤蜊麵,466705,鹹蛋絲瓜麵線,0.395
477342,絲瓜蛤蜊,478545,10分鐘上菜-枸杞炒絲瓜,0.392
476583,絲瓜煎蛋湯,478545,10分鐘上菜-枸杞炒絲瓜,0.392
479469,絲瓜炒蛋,463987,胡蘿蔔絲瓜,0.384
476291,絲瓜砂鍋粥 超簡單,466805,◆蝦米褒絲瓜,0.371
478486,炒絲瓜,473162,蒜香絲瓜,0.368
459721,絲瓜雞腿麵,461647,絲瓜炒豆腸,0.364
459721,絲瓜雞腿麵,460616,XO醬炒絲瓜,0.364
459721,絲瓜雞腿麵,460005,絲瓜炒杏鮑菇,0.364
461647,絲瓜炒豆腸,461630,絲瓜燒肉雞絲麵,0.364
461630,絲瓜燒肉雞絲麵,460616,XO醬炒絲瓜,0.364
461630,絲瓜燒肉雞絲麵,460005,絲瓜炒杏鮑菇,0.364
476291,絲瓜砂鍋粥 超簡單,478545,10分鐘上菜-枸杞炒絲瓜,0.36
479161,絲瓜蛤蜊麵線,477964,絲瓜蛋花湯,0.358
473161,昆布鹽嫩雞胸炒絲瓜,466805,◆蝦米褒絲瓜,0.356
477342,絲瓜蛤蜊,476779,絲瓜蛤蜊麵,0.353
466705,鹹蛋絲瓜麵線,467411,絲瓜雞蛋麵線,0.352
477116,絲瓜麵線,467411,絲瓜雞蛋麵線,0.351
479469,絲瓜炒蛋,465545,絲瓜海帶芽炒冬粉,0.341
473162,蒜香絲瓜,467411,絲瓜雞蛋麵線,0.337
474415,澎湖絲瓜炒蛋,476291,絲瓜砂鍋粥 超簡單,0.323
476583,絲瓜煎蛋湯,473161,昆布鹽嫩雞胸炒絲瓜,0.318
466915,絲瓜三鮮,466705,鹹蛋絲瓜麵線,0.316
473162,蒜香絲瓜,463987,胡蘿蔔絲瓜,0.315
473155,絲瓜木耳炒蛋,476583,絲瓜煎蛋湯,0.314
479469,絲瓜炒蛋,477218,蛤蜊絲瓜,0.312
461647,絲瓜炒豆腸,477316,蛋香蒜香蛤蜊絲瓜,0.311
460616,XO醬炒絲瓜,477316,蛋香蒜香蛤蜊絲瓜,0.311
477316,蛋香蒜香蛤蜊絲瓜,460005,絲瓜炒杏鮑菇,0.311
479161,絲瓜蛤蜊麵線,477116,絲瓜麵線,0.31
478545,10分鐘上菜-枸杞炒絲瓜,468444,絲瓜炒蛤蜊,0.308
477218,蛤蜊絲瓜,476779,絲瓜蛤蜊麵,0.307
